Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Agraylea,FALSE,2,PH,uni,SPEC,TRUE,cold,,15.07,18.86,,,115635,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,,Trichoptera
Albertathyas,FALSE,,,,,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,,Other Non-Insect
Albertathyas montana,FALSE,,,,,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,montana,Other Non-Insect
Allocladius,FALSE,,,,,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Allocladius,,,,,,Chironomidae
Allocosmoecus partitus,FALSE,2,SC,uni,HEAD,TRUE,cool,,17.01,20.43,,,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,,Trichoptera
Allognosta,FALSE,,,,,,,,,,,,130160,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Beridinae,,,Allognosta,,,,,,Diptera
Allomyia,FALSE,1i,,,,,,Less30,,,,,116438,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,Allomyia,,,,,,Trichoptera
Alloperla,FALSE,,,,,,,Less30,,,,,103203,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,,,Alloperla,,,,,,Plecoptera
Alotanypus,FALSE,5,PR,multi,GENE,,warm,,20.84,24.19,,,206646,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Alotanypus,,,,,,Chironomidae
Altmanella,FALSE,,,,,,,Less30,,,,,974298,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,,Oligochaeta
Ameletus,FALSE,3,SC,uni,RHEO,,cool,,14.96,20.01,cool,,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,,Ephemeroptera
Americorophium,FALSE,NA,CG,multi,BRAC,,,Less30,,,,,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,,Other Non-Insect
Ametor,FALSE,2,PR,semi,GENE,TRUE,cool,,17.63,21.38,,,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,,Coleoptera
Ametropus,FALSE,,,,,,,,,,,,101074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ametropodidae,,,,Ametropus,,,,,,Ephemeroptera
Amiocentrus,FALSE,3,CG,uni,RHEO,,cowa,,19.27,22.37,,,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Amiocentrus,,,,,,Trichoptera
Amphicosmoecus,FALSE,,,,,,,Less30,,,,,116253,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,,Trichoptera
Amphipoda,FALSE,5,CG,UNKN,GENE,,warm,,20.84,25.21,,,93294,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,,,,,,Other Non-Insect
Amphizoa,FALSE,1i,PR,semi,SPEC,TRUE,,Less30,,,,,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,,Coleoptera
Ampumixis,FALSE,,,,,,cool,,17.92,20.83,,,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,,Coleoptera
Ampumixis dispar,FALSE,2,CG,semi,RHEO,,cool,,17.92,20.83,,,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,,Coleoptera
Anacaena,FALSE,NA,PR,uni,GENE,,,Less30,,,,,112878,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Anacaena,,,,,,Coleoptera
Anafroptilum/Procloeon,FALSE,3,CG,multi,DEPO,,warm,,20.32,24.39,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,,Ephemeroptera
Anagapetus,FALSE,2,SC,uni,RHEO,TRUE,cold,,14.41,18.60,,,117154,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Anagapetini,,Anagapetus,,,,,,Trichoptera
Anax,FALSE,,,,,,,Less30,,,,,101597,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Anax,,,,,,Odonata
Ancylidae,FALSE,5,SC,multi,GENE,,warm,,22.84,26.21,,,76568,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Ancylidae,,,,,,,,,,Other Non-Insect
Anisogammaridae,FALSE,,,,,,cowa,,19.91,22.65,,,203113,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Anisogammaridae,,,,,,,,,,Other Non-Insect
Anisoptera,FALSE,4,PR,UNKN,GENE,,warm,,20.30,24.52,,,101594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,,,,,,Odonata
Anodonta,FALSE,,,,,,,,,,,,79930,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Unionidae,,,,Anodonta,,,,,,Other Non-Insect
Anopheles,FALSE,NA,,,,,,Less30,,,,,125956,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,Anophelinae,,,Anopheles,,,,,,Diptera
Antocha,FALSE,4,CG,multi,RHEO,,cowa,,19.35,22.96,coolwarm,,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,,Diptera
Apatania,FALSE,2,SC,uni,RHEO,TRUE,cold,,17.00,19.85,,,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,,Trichoptera
Apataniidae,FALSE,2,UNKN,UNKN,RHEO,,cold,,16.67,19.74,,,598182,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,,,,,,,Trichoptera
Apedilum,FALSE,5,CG,multi,GENE,,warm,,22.94,26.73,,,206655,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Apedilum,,,,,,Chironomidae
Apobaetis,FALSE,,,,,,,,,,,,100936,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Apobaetis,,,,,,Ephemeroptera
Apsectrotanypus,FALSE,NA,PR,multi,GENE,,,Less30,,,,,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,,Chironomidae
Araeopidius monachus,FALSE,NA,,,,,,Less30,,,,,708487,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,Araeopidiinae,,,Araeopidius,,,,,monachus,Coleoptera
Archilestes,FALSE,,,,,,,Less30,,,,,102059,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,Archilestes,,,,,,Odonata
Arcteonais,FALSE,,,,,,,,,,,,68975,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Arcteonais,,,,,,Oligochaeta
Arctopsyche,FALSE,3,PR,semi,RHEO,,cool,,17.11,20.60,,,115529,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Arctopsychinae,,,Arctopsyche,,,,,,Trichoptera
Arctopsychinae,FALSE,3,PR,semi,RHEO,,cool,,15.91,20.15,,yes,568763,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Arctopsychinae,,,,,,,,,Trichoptera
Argia,FALSE,4,PR,uni,RHEO,,stenow,,24.12,27.83,steno_warm,,102139,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,Argia,,,,,,Odonata
Arhynchobdellida,FALSE,,,,,,warm,,22.25,26.16,,,568835,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,,,,,,,,,,,,Other Non-Insect
Arrenuridae,FALSE,,,,,,cowa,,18.33,24.20,,,82862,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,,,,,,,Other Non-Insect
Arrenurus,FALSE,,,,,,cowa,,18.36,24.34,,,82864,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,Arrenurus,,,,,,Other Non-Insect
Asellidae,FALSE,,,,,,warm,,22.22,25.39,,,92657,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,,Asellidae,,,,,,,,,,Other Non-Insect
Asellus,FALSE,,,,,,,,,,,,92658,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,,Asellidae,,,,Asellus,,,,,,Other Non-Insect
Asioplax,FALSE,,,,,,,Less30,,,,,609510,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptohyphidae,,,,Asioplax,,,,,,Ephemeroptera
Assia,FALSE,,,,,,,,,,,,,Animalia,Nemertea,,Chromadorea,Chromadoria,Plectida,Plectina,Leptolaimoidea,Aphanolaimidae,Anochinae,,,,,,,,,Other Non-Insect
Astacidae,FALSE,,,,,,warm,,20.31,24.25,,,97324,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,,Astacidae,,,,,,,,,,Other Non-Insect
Atherix,FALSE,3,PR,uni,RHEO,,warm,,22.00,25.37,,,130929,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Athericidae,,,,Atherix,,,,,,Diptera
Athienemanniidae,FALSE,,,,,,cold,,15.61,18.25,,,83514,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,,,,,,,Other Non-Insect
Atractelmis,FALSE,,,,,,,Less30,,,,,114251,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Atractelmis,,,,,,Coleoptera
Atractides,FALSE,,,,,,eurythermal,,19.16,22.41,,,83282,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Atractides,,,,,,Other Non-Insect
Attenella,FALSE,3,CG,uni,RHEO,,cool,,17.96,21.32,,yes,101338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Attenella,,,,,,Ephemeroptera
Attenella delantala,FALSE,3,CG,uni,RHEO,,cool,,17.48,20.33,,,101345,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Attenella,,,,,delantala,Ephemeroptera
Attenella margarita,FALSE,4,CG,uni,RHEO,,cowa,,20.17,23.01,,,101343,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Attenella,,,,,margarita,Ephemeroptera
Aturidae,FALSE,,,,,,,Less30,,,,,82973,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,,,,,,,Other Non-Insect
Aturus,FALSE,,,,,,,Less30,,,,,82974,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Aturus,,,,,,Other Non-Insect
Aulodrilus,FALSE,,,,,,warm,,23.30,25.83,,,68679,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,,Oligochaeta
Austrolimnophila,FALSE,NA,UNKN,uni,UNKN,TRUE,,Less30,,,,,120037,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,Austrolimnophila,,,,,,Diptera
Baetidae,FALSE,4,CG,multi,UNKN,,eurythermal,,17.43,22.86,,yes,100755,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,,,,,,,Ephemeroptera
Baetis,FALSE,4,CG,multi,RHEO,,eurythermal,,17.07,22.66,,yes,100800,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,,,,,Ephemeroptera
Baetis alius,FALSE,2,CG,multi,RHEO,TRUE,cool,,15.92,20.68,,,100803,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Alius Gr.,,,alius,Ephemeroptera
Baetis bicaudatus complex,FALSE,2,CG,multi,RHEO,,stenoc,,12.33,17.00,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,bicaudatus complex,,Ephemeroptera
Baetis flavistriga complex,FALSE,4,CG,multi,RHEO,,warm,,19.90,24.83,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Fuscatus Gr.,,flavistriga complex,,Ephemeroptera
Baetis notos,FALSE,4,CG,multi,RHEO,,warm,,22.10,24.74,,,568579,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Fuscatus Gr.,,,notos,Ephemeroptera
Baetis piscatoris complex,FALSE,4,CG,multi,RHEO,,cold,,14.54,18.84,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,piscatoris complex,,Ephemeroptera
Baetis Rhodani Group,FALSE,4,CG,multi,RHEO,,eurythermal,,15.49,23.62,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,,,Ephemeroptera
Baetis tricaudatus complex,FALSE,4,CG,multi,RHEO,,cowa,,18.33,23.32,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,tricaudatus complex,,Ephemeroptera
Baetisca,FALSE,,,,,,,,,,,,101494,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Carapacea,,Baetiscidae,,,,Baetisca,,,,,,Ephemeroptera
Baetodes,FALSE,,,,,,,,,,,,100938,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetodes,,,,,,Ephemeroptera
Bandakiopsis,FALSE,,,,,,,Less30,,,,,83532,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Bandakiopsis,,,,,,Other Non-Insect
Banksiola,FALSE,,,,,,,,,,,,115911,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Phryganeidae,Phryganeinae,,,Banksiola,,,,,,Trichoptera
Berosus,FALSE,NA,PH,uni,GENE,,,Less30,,,,,112812,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Berosini,,Berosus,,,,,,Coleoptera
Bethbilbeckia,FALSE,,,,,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,,,,,,,,Chironomidae
Bibiocephala,FALSE,3,SC,uni,RHEO,,,Less30,,,,,121250,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Bibiocephala,,,,,,Diptera
Bilyjomyia,FALSE,,,,,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Bilyjomyia,,,,,,Chironomidae
Bisancora,FALSE,,,,,,,,,,,,103300,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,,,Bisancora,,,,,,Plecoptera
Bittacomorpha,FALSE,,,,,,,,,,,,125765,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ptychopteridae,Bittacomorphinae,,,Bittacomorpha,,,,,,Diptera
Bivalvia,FALSE,,,,,,warm,,20.04,24.05,,,79118,Animalia,Mollusca,,Bivalvia,,,,,,,,,,,,,,,Other Non-Insect
Blepharicera,FALSE,3,SC,uni,RHEO,,,Less30,,,,,121255,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Blepharicera,,,,,,Diptera
Blephariceridae,FALSE,3,SC,uni,RHEO,,eurythermal,,19.95,23.32,,,121227,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,,,,,,,,,,Diptera
Bolshecapnia,FALSE,,,,,,,Less30,,,,,102763,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Capniidae,Capniinae,,,Bolshecapnia,,,,,,Plecoptera
Boreochlus,FALSE,3,CG,multi,SPEC,TRUE,cold,,16.86,20.00,,,127954,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Podonominae,Boreochlini,,Boreochlus,,,,,,Chironomidae
Boreoheptagyia,FALSE,3,CG,multi,RHEO,,cold,,14.22,19.39,,,128343,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Boreoheptagyiini,,Boreoheptagyia,,,,,,Chironomidae
Boreonectes,FALSE,NA,PR,uni,GENE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Boreonectes,,,,,,Coleoptera
Bothrioneurum,FALSE,,,,,,,Less30,,,,,68778,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,,Oligochaeta
Brachinus americanus,FALSE,,,,,,,,,,,,111792,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Carabidae,,,,Brachinus,,,,,americanus,Coleoptera
Brachycentridae,FALSE,3,UNKN,UNKN,RHEO,,cool,,17.54,21.81,,yes,116905,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,,,,,,,Trichoptera
Brachycentrus,FALSE,3,OM,uni,RHEO,,warm,,20.13,24.28,,yes,116906,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Brachycentrus,,,,,,Trichoptera
Brachycentrus americanus,FALSE,3,OM,uni,RHEO,,eurythermal,,18.49,22.32,,,116912,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Brachycentrus,Oligoplectrodes,,,,americanus,Trichoptera
Brachycentrus occidentalis,FALSE,3,OM,uni,RIVE,,warm,,21.31,27.46,,,116918,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Brachycentrus,Sphinctogaster,,,,occidentalis,Trichoptera
Brachycera,FALSE,,,,,,eurythermal,,17.93,22.67,,,130052,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,,,,,,,,,,,Diptera
Brachycercus,FALSE,,,,,,,,,,,,101468,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Caenidae,Brachycercinae,Brachycercini,,Brachycercus,,,,,,Ephemeroptera
Brachypoda,FALSE,,,,,,,Less30,,,,,83444,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,Axonopsinae,,,Brachypoda,,,,,,Other Non-Insect
Branchiobdellida,FALSE,,,,,,warm,,19.73,23.68,,,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,,Other Non-Insect
