TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,THERMAL_INDICATOR,AirBreather,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS
AESHNA,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,AESHNA
AESHNA UMBROSA,Species,FALSE,4,4_middle,PR,IA; OK; MN; Tward; NRSA,CB,MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,AESHNA
AESHNIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,"CB,CN",NE; OK; MN,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,
AGABUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,semi,NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,AGABUS
AGABUS DISINTEGRATUS,Species,FALSE,4,4_middle,PR,IA; Tward; NRSA,SW,MN; Tward; NRSA,semi,NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,AGABUS
AGAPETUS,Genus,FALSE,2,,SC,MODNR; OK; MN; Tward,"SW,CN",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,GLOSSOSOMATIDAE,,,AGAPETUS
AGNETINA,Genus,FALSE,3,,PR,MODNR; Tward; NRSA,CN,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,AGNETINA
AGNETINA FLAVESCENS,Species,FALSE,3,,PR,MODNR; Tward; NRSA,CN,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,AGNETINA
ALLOCAPNIA,Genus,FALSE,3,,SH,IA; MODNR; OK; MN; Tward; NRSA,"SP,CN",NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,ALLOCAPNIA
ALLOCAPNIA VIVIPARA,Species,FALSE,3,,SH,MN; Tward; NRSA,"SP,CN",NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,ALLOCAPNIA
ALOTANYPUS,Genus,FALSE,,NA,PR,Tward,BU,Tward; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Tanypodinae,Coelotanypodini,ALOTANYPUS
AMERCAENIS,Genus,FALSE,4,4_middle,"CF,CG",IA; NE; OK; MN; Tward,SP,NE; MN; Tward; NRSA,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS
AMERCAENIS RIDENS,Species,FALSE,4,4_middle,"CF,CG",IA; NE; OK; MN; Tward,SP,NE; MN; Tward; NRSA,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS
AMERCAENIS/CAENIS,Genus,FALSE,4,4_middle,CG,NRSA based on Caenidae,SP,Tward; NRSA,"multi,uni",Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS/CAENIS
AMNICOLA,Genus,FALSE,4,4_middle,SC,IA; OK; MN,CB,MN,NA,,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,AMNICOLA
AMNICOLA LIMOSA,Species,FALSE,4,4_middle,SC,IA; OK; MN,CB,MN,NA,,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,AMNICOLA
AMPHINEMURA,Genus,FALSE,3,,SH,IA; OK; MN; Tward; NRSA,"SP,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,,AMPHINEMURA
AMPHINEMURA VARSHAVA,Species,FALSE,3,,SH,IA; OK; MN; Tward; NRSA,"SP,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,,AMPHINEMURA
AMPHIPODA,Order,FALSE,,NA,CG,NE; OK; MN,SP,OK; MN,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,,,,
ANACAENA,Genus,FALSE,4,4_middle,PR,NE; Tward; NRSA,BU,OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,ANACAENA
ANAX,Genus,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,"multi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,ANAX
ANAX JUNIUS,Species,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,"multi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,ANAX
ANCYLIDAE,Family,FALSE,4,4_middle,SC,IA; NE; MODNR; OK; MN,CB,OK; MN,uni,NRSA,,FALSE,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,ANCYLIDAE,,,
ANCYRONYX,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,"semi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,ANCYRONYX
ANCYRONYX VARIEGATUS,Species,FALSE,4,4_middle,CG,IA; NE; MODNR; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,"semi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,ANCYRONYX
ANOPHELES,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,ANOPHELES
ANTHOMYIIDAE,Family,FALSE,,NA,PR,NE; OK,SP,NE,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,ANTHOMYIIDAE,,,
ANTHOPOTAMUS,Genus,FALSE,4,4_worse,CF,IA; MODNR; OK; Tward,BU,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,,ANTHOPOTAMUS
ANTHOPOTAMUS MYOPS,Species,FALSE,4,4_worse,CF,IA; OK; MN; Tward,BU,MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,,ANTHOPOTAMUS
APOBAETIS,Genus,FALSE,,NA,CG,IA; NE; MODNR; OK; Tward,SW,IA; MODNR; OK; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,APOBAETIS
APSECTROTANYPUS,Genus,FALSE,,NA,PR,NE; MN; Tward; NRSA,BU,MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Tanypodinae,Macropelopiini,APSECTROTANYPUS
AQUARIUS,Genus,FALSE,4,4_middle,PR,IA; MODNR; MN; Tward; NRSA,SK,MODNR; OK; MN; Tward; NRSA,multi,Tward,cool,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,,AQUARIUS
AQUARIUS NEBULARIS,Species,FALSE,4,4_middle,PR,Tward; NRSA,SK,Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,,AQUARIUS
ARACHNIDA,Class,TRUE,,NA,"CG,PR",NE; OK,CB,NE,NA,,,FALSE,ARTHROPODA,ARACHNIDA,,,,,,
ARCHILESTES,Genus,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,ARCHILESTES
ARCHILESTES GRANDIS,Species,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,ARCHILESTES
ARGIA,Genus,FALSE,4,4_worse,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,"CB,CN",NE; OK; MN; NRSA; Tward; MO,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA
ARGIA APICALIS,Species,FALSE,4,4_worse,PR,IA; MN; Tward; NRSA,"CB,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA
ARGIA BIPUNCTULATA,Species,FALSE,4,4_worse,PR,NE; OK; MN; Tward; NRSA,"CB,CN",MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA
ARGIA FUMIPENNIS,Species,FALSE,4,4_worse,PR,NE; OK; Tward; NRSA,"CB,CN",NE; NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA
ARGIA FUMIPENNIS VIOLACEA,Species,FALSE,4,4_worse,PR,NE; OK; Tward; NRSA,"CB,CN",NE; NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA
ARGIA MOESTA,Species,FALSE,4,4_worse,PR,IA; OK; MN; Tward; NRSA,"CB,CN",MN; NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA
ARGULUS,Genus,TRUE,,NA,NA,,NA,,NA,,,FALSE,ARTHROPODA,MAXILLOPODA,,ARGULOIDA,ARGULIDAE,,,ARGULUS
ARIGOMPHUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,BU,IA; NE; MODNR; OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS
ARIGOMPHUS LENTULUS,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,BU,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS
ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,Species,FALSE,4,4_middle,PR,NRSA based on genus,BU,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS
ARIGOMPHUS SUBMEDIANUS,Species,FALSE,4,4_middle,PR,OK; MN; Tward; NRSA,BU,MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS
ASELLIDAE,Family,FALSE,4,4_middle,CG,IA; OK; MN,SP,NE; OK; MN,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,ISOPODA,ASELLIDAE,,,
ASELLUS,Genus,FALSE,4,4_middle,CG,OK; MN; NRSA,SP,NE; OK; MN; NRSA,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,ISOPODA,ASELLIDAE,,,ASELLUS
ATHERIX,Genus,FALSE,4,4_better,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,ATHERICIDAE,,,ATHERIX
ATRICHOPOGON,Genus,FALSE,4,4_middle,"CG,PR",IA; NE; OK; MN; Tward; NRSA,"CN,SP",NRSA; MN; OK; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,ATRICHOPOGON
ATTANEURIA,Genus,FALSE,3,,PR,IA; MODNR; MN; Tward; NRSA,"CN,SW",MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ATTANEURIA
ATTANEURIA RURALIS,Species,FALSE,3,,PR,IA; MODNR; MN; Tward; NRSA,"CN,SW",MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ATTANEURIA
AULODRILUS PLURISETA,Species,FALSE,4,4_middle,CG,NE; NRSA,"BU,SP",MN; NRSA; NE,NA,,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,AULODRILUS
AXARUS,Genus,FALSE,4,4_better,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,AXARUS
BACTRURUS,Genus,FALSE,,NA,CG,MODNR; OK,NA,,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,CRANGONYCTIDAE,,,BACTRURUS
BAETIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,SW,MODNR; OK; MN,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,
BAETIS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"SW,CN",IA; MODNR; OK; MN; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,BAETIS
BAETIS INTERCALARIS,Species,FALSE,4,4_middle,CG,IA; NE; OK; MN; Tward; NRSA,"SW,CN",NRSA; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,BAETIS
BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,Genus,FALSE,4,4_middle,CG,NRSA based on Baetis,"SW,CN",NRSA; Tward,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS
BASIAESCHNA,Genus,FALSE,4,4_better,PR,IA; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; MN; Tward; NRSA; MO,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BASIAESCHNA
BASIAESCHNA JANATA,Species,FALSE,4,4_better,PR,IA; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; MN; Tward; NRSA; MO,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BASIAESCHNA
BELOSTOMA,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,OK; MN; Tward; NRSA,"multi,uni",Tward,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,,BELOSTOMA
BELOSTOMATIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,CB,OK; MN,multi,NRSA,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,,
BEROSUS,Genus,FALSE,4,4_middle,"PH,CG",IA; MODNR; OK; NRSA; Tward; MN,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,BEROSUS
BEZZIA/PALPOMYIA,Genus,FALSE,4,4_middle,PR,IA; MN,SP,OK; MN,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,BEZZIA
BIVALVIA,Class,FALSE,,NA,CF,IA; OK; MN,BU,OK,NA,,,FALSE,MOLLUSCA,BIVALVIA,,,,,,
BOYERIA,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BOYERIA
BOYERIA VINOSA,Species,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BOYERIA
BRACHYCENTRUS,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; MN; Tward; NRSA,CN,OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,BRACHYCENTRIDAE,,,BRACHYCENTRUS
BRACHYCENTRUS NUMEROSUS,Species,FALSE,4,4_middle,CF,IA; NE; MODNR; MN; Tward; NRSA,CN,MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,BRACHYCENTRIDAE,,,BRACHYCENTRUS
BRACHYCERCUS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,BRACHYCERCUS
BRANCHIOBDELLIDAE,Family,TRUE,4,4_middle,CG,NRSA,CB,NRSA,NA,,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,,
BRANCHIURA SOWERBYI,Species,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; NRSA,CB,NRSA,NA,,warm,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,BRANCHIURA
BRATISLAVIA,Genus,FALSE,4,4_middle,CG,NE; OK; MN; NRSA,"BU,CN",OK; MN; NRSA; NE,NA,,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,BRATISLAVIA
BRECHMORHOGA,Genus,FALSE,,NA,PR,OK; Tward; NRSA,CN,NRSA,"semi,uni",Tward,,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,BRECHMORHOGA
BRECHMORHOGA MENDAX,Species,FALSE,,NA,PR,OK; Tward; NRSA,CN,NRSA,"semi,uni",Tward,,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,BRECHMORHOGA
BRILLIA,Genus,FALSE,4,4_middle,SH,NE; MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,"multi,uni",Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,BRILLIA
BUENOA,Genus,FALSE,,NA,PR,MODNR; MN; Tward; NRSA,SW,MODNR; OK; MN; Tward; NRSA,"multi,uni",NRSA,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,NOTONECTIDAE,,,BUENOA
BUENOA MARGARITACEA,Species,FALSE,,NA,PR,MN; Tward; NRSA,SW,MN; Tward; NRSA,"multi,uni",NRSA,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,NOTONECTIDAE,,,BUENOA
CAECIDOTEA,Genus,FALSE,4,4_worse,CG,IA; MODNR; OK; MN; NRSA,SP,OK; MN; NRSA,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,ISOPODA,ASELLIDAE,,,CAECIDOTEA
CAENIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN,SP,NE; OK; MN,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,
CAENIS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,IA; NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,CAENIS
CALLIBAETIS,Genus,FALSE,4,4_worse,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward;,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,CALLIBAETIS
CALLICORIXA,Genus,FALSE,,NA,PR,NE; MN; Tward,SW,NE; MN; Tward,NA,,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,CALLICORIXA
CALLIOBDELLA VIVIDA,Species,FALSE,,NA,NA,,NA,,NA,,,FALSE,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,PISCICOLIDAE,,,CALLIOBDELLA
CALOPTERYGIDAE,Family,FALSE,4,4_middle,PR,IA; MODNR; OK; MN; NRSA,CB,IA; OK; MN,NA,,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,
CALOPTERYX,Genus,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,CB,NE; MN; Tward; NRSA,uni,GP BCG group,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,CALOPTERYX
CALOPTERYX MACULATA,Species,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,CB,NE; MN; Tward; NRSA,uni,GP BCG group,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,CALOPTERYX
CAMBARIDAE,Family,FALSE,4,4_middle,CG,IA; MODNR; OK; MN; NRSA,SP,NE; OK; MN,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,DECAPODA,CAMBARIDAE,,,
CAMBARINCOLA,Genus,FALSE,4,4_middle,CG,NE,CN,NE,NA,,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,,CAMBARINCOLA
CAMBARUS,Genus,FALSE,,NA,CG,IA; MODNR; MN; NRSA,SP,NRSA,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,DECAPODA,CAMBARIDAE,,,CAMBARUS
CAMBARUS DIOGENES,Species,FALSE,,NA,CG,IA; MODNR; MN; NRSA,SP,NRSA,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,DECAPODA,CAMBARIDAE,,,CAMBARUS
CAMELOBAETIDIUS,Genus,FALSE,4,4_middle,"CG,SH",NE; OK; Tward; NRSA,SW,NE; MODNR; OK; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,CAMELOBAETIDIUS
CAPNIIDAE,Family,FALSE,3,,SH,IA; MODNR; OK; MN; NRSA,SP,IA; MODNR; OK; MN,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,
CARABIDAE,Family,FALSE,,NA,PR,NRSA,CN,NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CARABIDAE,,,
CARDIOCLADIUS,Genus,FALSE,4,4_middle,PR,MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CARDIOCLADIUS
CELINA,Genus,FALSE,,NA,PR,OK; MN; Tward; NRSA,SW,MN; Tward; NRSA,NA,,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,CELINA
CELINA HUBBELLI,Species,FALSE,,NA,PR,OK; MN; Tward; NRSA,SW,MN; Tward; NRSA,NA,,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,CELINA
CELITHEMIS,Genus,FALSE,,NA,PR,NE; MODNR; MN; Tward; NRSA,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,CELITHEMIS
CELITHEMIS EPONINA,Species,FALSE,,NA,PR,MN; Tward; NRSA,CB,MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,CELITHEMIS
