orig_FinalID_IA,OTU_BCG_IA,modified_BCG,Notes,OTU_TaxaTolAnal
COPELATUS CHEVROLATI CHEVROLATI,COPELATUS CHEVROLATI,TRUE,collapsed to species (vs using subspecies),COPELATUS CHEVROLATI
COPELATUS GLYPHICUS,COPELATUS GLYPHICUS,FALSE,,COPELATUS GLYPHICUS
COPTOTOMUS,COPTOTOMUS,FALSE,,COPTOTOMUS
COPTOTOMUS LONGULUS,COPTOTOMUS LONGULUS,FALSE,,COPTOTOMUS LONGULUS
COPTOTOMUS LOTICUS,COPTOTOMUS LOTICUS,FALSE,,COPTOTOMUS LOTICUS
CORBICULA,CORBICULA,FALSE,,CORBICULA
CORBICULA FLUMINEA,CORBICULA FLUMINEA,FALSE,,CORBICULA FLUMINEA
CORDULEGASTER OBLIQUA,CORDULEGASTER OBLIQUA,FALSE,,CORDULEGASTER OBLIQUA
CORDULIIDAE,CORDULIIDAE,FALSE,,CORDULIIDAE
CORISELLA,CORISELLA,FALSE,,CORISELLA
CORIXIDAE,CORIXIDAE,FALSE,,CORIXIDAE
CORYDALIDAE,CORYDALIDAE,FALSE,,CORYDALIDAE
CORYDALUS,CORYDALUS,FALSE,,CORYDALUS
CORYDALUS CORNUTUS,CORYDALUS CORNUTUS,FALSE,,CORYDALUS CORNUTUS
CRAMBIDAE,CRAMBIDAE,FALSE,,CRAMBIDAE
CRAMBUS,CRAMBUS,FALSE,,CRAMBUS
CRANGONYX,CRANGONYX,FALSE,,CRANGONYX
CULEX,CULEX,FALSE,,CULEX
CULICIDAE,CULICIDAE,FALSE,,CULICIDAE
CULISETA,CULISETA,FALSE,,CULISETA
CURA,CURA,FALSE,,CURA
CURA FOREMANII,CURA FOREMANII,FALSE,,CURA FOREMANII
CURCULIONIDAE,CURCULIONIDAE,FALSE,,CURCULIONIDAE
CYBISTER FIMBRIOLATUS,CYBISTER FIMBRIOLATUS,FALSE,,CYBISTER FIMBRIOLATUS
CYMBIODYTA,CYMBIODYTA,FALSE,,CYMBIODYTA
CYMBIODYTA BLANCHARDI,CYMBIODYTA BLANCHARDI,FALSE,,CYMBIODYTA BLANCHARDI
CYMBIODYTA CHAMBERLAINI,CYMBIODYTA CHAMBERLAINI,FALSE,,CYMBIODYTA CHAMBERLAINI
CYMBIODYTA SEMISTRIATA,CYMBIODYTA SEMISTRIATA,FALSE,,CYMBIODYTA SEMISTRIATA
CYMBIODYTA TODDI,CYMBIODYTA TODDI,FALSE,,CYMBIODYTA TODDI
CYMBIODYTA VINDICATA,CYMBIODYTA VINDICATA,FALSE,,CYMBIODYTA VINDICATA
CYPHON,SCIRTIDAE,TRUE,,SCIRTIDAE
CYRNELLUS FRATERNUS,CYRNELLUS FRATERNUS,FALSE,,CYRNELLUS FRATERNUS
DECAPODA,DECAPODA,FALSE,,DECAPODA
DESMOPACHRIA CONVEXA,DESMOPACHRIA CONVEXA,FALSE,,DESMOPACHRIA CONVEXA
DICRANOTA,DICRANOTA,FALSE,,DICRANOTA
DICRANOTA IOWA,DICRANOTA IOWA,FALSE,,DICRANOTA IOWA
DIDYMOPS,DIDYMOPS,FALSE,,DIDYMOPS
DIDYMOPS TRANSVERSA,DIDYMOPS TRANSVERSA,FALSE,,DIDYMOPS TRANSVERSA
DINEUTUS,DINEUTUS,FALSE,,DINEUTUS
DINEUTUS ASSIMILIS,DINEUTUS ASSIMILIS,FALSE,,DINEUTUS ASSIMILIS
DINEUTUS DISCOLOR,DINEUTUS DISCOLOR,FALSE,,DINEUTUS DISCOLOR
DINEUTUS NIGRIOR,DINEUTUS NIGRIOR,FALSE,,DINEUTUS NIGRIOR
DIPHETOR HAGENI,DIPHETOR HAGENI,FALSE,,DIPHETOR HAGENI
DIPLECTRONA MODESTA,DIPLECTRONA MODESTA,FALSE,,DIPLECTRONA MODESTA
DIPTERA,DIPTERA,FALSE,,DIPTERA
DIXA,DIXA,FALSE,,DIXA
DIXELLA,DIXELLA,FALSE,,DIXELLA
DIXIDAE,DIXIDAE,FALSE,,DIXIDAE
DOLICHOPODIDAE,DOLICHOPODIDAE,FALSE,,DOLICHOPODIDAE
DROMOGOMPHUS,DROMOGOMPHUS,FALSE,,DROMOGOMPHUS
DROMOGOMPHUS SPINOSUS,DROMOGOMPHUS SPINOSUS,FALSE,,DROMOGOMPHUS SPINOSUS
DRYOPIDAE,DRYOPIDAE,FALSE,,DRYOPIDAE
DUBIRAPHIA,DUBIRAPHIA,FALSE,,DUBIRAPHIA
DUBIRAPHIA BIVITTATA,DUBIRAPHIA BIVITTATA,FALSE,,DUBIRAPHIA BIVITTATA
DUBIRAPHIA MINIMA,DUBIRAPHIA MINIMA,FALSE,,DUBIRAPHIA MINIMA
DUBIRAPHIA QUADRINOTATA,DUBIRAPHIA QUADRINOTATA,FALSE,,DUBIRAPHIA QUADRINOTATA
DUBIRAPHIA VITTATA,DUBIRAPHIA VITTATA,FALSE,,DUBIRAPHIA VITTATA
DUGESIIDAE,DUGESIIDAE,FALSE,,DUGESIIDAE
DYTISCIDAE,DYTISCIDAE,FALSE,,DYTISCIDAE
DYTISCUS,DYTISCUS,FALSE,,DYTISCUS
DYTISCUS HYBRIDUS,DYTISCUS HYBRIDUS,FALSE,,DYTISCUS HYBRIDUS
DYTISCUS VERTICALIS,DYTISCUS VERTICALIS,FALSE,,DYTISCUS VERTICALIS
ECTEMNIA,ECTEMNIA,FALSE,,ECTEMNIA
ECTOPRIA,ECTOPRIA,FALSE,,ECTOPRIA
EISENIELLA,EISENIELLA,FALSE,,EISENIELLA
EISENIELLA TETREDRA,EISENIELLA TETREDRA,FALSE,,EISENIELLA TETREDRA
ELIMIA,ELIMIA,FALSE,,ELIMIA
ELMIDAE,ELMIDAE,FALSE,,ELMIDAE
ELOPHILA,ELOPHILA,FALSE,,ELOPHILA
EMPIDIDAE,EMPIDIDAE,FALSE,,EMPIDIDAE
ENALLAGMA,ENALLAGMA,FALSE,,ENALLAGMA
ENOCHRUS,ENOCHRUS,FALSE,,ENOCHRUS
ENOCHRUS CINCTUS,ENOCHRUS CINCTUS,FALSE,,ENOCHRUS CINCTUS
ENOCHRUS COLLINUS,ENOCHRUS COLLINUS,FALSE,,ENOCHRUS COLLINUS
ENOCHRUS CONSORTUS,ENOCHRUS CONSORTUS,FALSE,,ENOCHRUS CONSORTUS
ENOCHRUS DIFFUSUS/HAMILTONI,ENOCHRUS DIFFUSUS/HAMILTONI,FALSE,,ENOCHRUS DIFFUSUS/HAMILTONI
ENOCHRUS HAMILTONI,ENOCHRUS HAMILTONI,FALSE,,ENOCHRUS HAMILTONI
ENOCHRUS OCHRACEUS,ENOCHRUS OCHRACEUS,FALSE,,ENOCHRUS OCHRACEUS
ENOCHRUS PYGMAEUS,ENOCHRUS PYGMAEUS,FALSE,,ENOCHRUS PYGMAEUS
ENOCHRUS SAYI,ENOCHRUS SAYI,FALSE,,ENOCHRUS SAYI
EPHEMERELLA,EPHEMERELLA,FALSE,,EPHEMERELLA
EPHEMERELLA EXCRUCIANS,EPHEMERELLA EXCRUCIANS,FALSE,,EPHEMERELLA EXCRUCIANS
EPHEMERELLA INVARIA,EPHEMERELLA INVARIA,FALSE,,EPHEMERELLA INVARIA
EPHEMERELLA NEEDHAMI,EPHEMERELLA NEEDHAMI,FALSE,,EPHEMERELLA NEEDHAMI
EPHEMERELLA SUBVARIA,EPHEMERELLA SUBVARIA,FALSE,,EPHEMERELLA SUBVARIA
EPHEMERELLIDAE,EPHEMERELLIDAE,FALSE,,EPHEMERELLIDAE
EPHEMERIDAE,EPHEMERIDAE,FALSE,,EPHEMERIDAE
EPHEMEROPTERA,EPHEMEROPTERA,FALSE,,EPHEMEROPTERA
EPHORON,EPHORON,FALSE,,EPHORON
EPHORON ALBUM,EPHORON ALBUM,FALSE,,EPHORON ALBUM
EPHYDRA,EPHYDRA,FALSE,,EPHYDRA
EPHYDRIDAE,EPHYDRIDAE,FALSE,,EPHYDRIDAE
EPITHECA,EPITHECA,FALSE,,EPITHECA
EPITHECA PRINCEPS,EPITHECA PRINCEPS,FALSE,,EPITHECA PRINCEPS
ERIOPTERA,ERIOPTERA,FALSE,,ERIOPTERA
ERPOBDELLA,ERPOBDELLA,FALSE,,ERPOBDELLA
ERPOBDELLA BUCERA,ERPOBDELLA BUCERA,FALSE,,ERPOBDELLA BUCERA
ERPOBDELLA DUBIA,ERPOBDELLA DUBIA,FALSE,,ERPOBDELLA DUBIA
ERPOBDELLA FERVIDA,ERPOBDELLA FERVIDA,FALSE,,ERPOBDELLA FERVIDA
ERPOBDELLA MELANOSTOMA,ERPOBDELLA MELANOSTOMA,FALSE,,ERPOBDELLA MELANOSTOMA
ERPOBDELLA MICROSTOMA,ERPOBDELLA MICROSTOMA,FALSE,,ERPOBDELLA MICROSTOMA
ERPOBDELLA OBSCURA,ERPOBDELLA OBSCURA,FALSE,,ERPOBDELLA OBSCURA
ERPOBDELLA PARVA,ERPOBDELLA PARVA,FALSE,,ERPOBDELLA PARVA
ERPOBDELLA PUNCTATA,ERPOBDELLA PUNCTATA,FALSE,,ERPOBDELLA PUNCTATA
ERPOBDELLA TETRAGON,ERPOBDELLA TETRAGON,FALSE,,ERPOBDELLA TETRAGON
ERPOBDELLIDAE,ERPOBDELLIDAE,FALSE,,ERPOBDELLIDAE
ERYTHEMIS,ERYTHEMIS,FALSE,,ERYTHEMIS
ERYTHEMIS SIMPLICICOLLIS,ERYTHEMIS SIMPLICICOLLIS,FALSE,,ERYTHEMIS SIMPLICICOLLIS
EUPARYPHUS,EUPARYPHUS,FALSE,,EUPARYPHUS
EURYLOPHELLA,EURYLOPHELLA,FALSE,,EURYLOPHELLA
FALLCEON,FALLCEON,FALSE,,FALLCEON
FALLCEON QUILLERI,FALLCEON QUILLERI,FALSE,,FALLCEON QUILLERI
FERRISSIA,FERRISSIA,FALSE,,FERRISSIA
FONTIGENS,FONTIGENS,FALSE,,FONTIGENS
FORCIPOMYIA,FORCIPOMYIA,FALSE,,FORCIPOMYIA
