Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,OTU_BCG_ORWA,altOTU_BCG_ORWA_worms
Albertathyas montana,FALSE,,DNI,Albertathyas,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Albia,FALSE,,DNI,Albia,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Alisotrichia,FALSE,"dubius ID as of 2022 known only from AZ, UT and TX",DNI,Hydroptilidae,Hydroptilidae,DNI,Hydroptilidae,Hydroptilidae
Allocladius,FALSE,,DNI,Allocladius,Allocladius,DNI,Allocladius,Allocladius
Allocosmoecus,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,Allocosmoecus partitus,Allocosmoecus partitus
Allocosmoecus partitus,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,Allocosmoecus partitus,Allocosmoecus partitus
Allognosta,FALSE,,Stratiomyidae,Allognosta,Allognosta,DNI,Allognosta,Allognosta
Allomyia,FALSE,,DNI,Allomyia,Allomyia,DNI,Allomyia,Allomyia
Alloperla,FALSE,,DNI,Alloperla,Alloperla,DNI,Alloperla,Alloperla
Alotanypus,FALSE,,Alotanypus,Alotanypus,Alotanypus,DNI,Alotanypus,Alotanypus
Alotanypus/Apsectrotanypus,FALSE,,DNI,Tanypodinae,Tanypodinae,DNI,Tanypodinae,Tanypodinae
Altmanella,FALSE,,Lumbriculidae,Altmanella,Oligochaeta,Lumbriculidae,Oligochaeta,Oligochaeta
Ambrysus,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Ameletus,FALSE,,Ameletus,Ameletus,Ameletus,Ameletus,Ameletus,Ameletus
Americorophium,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Americorophium spinicorne,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Ametor,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,Ametor,Ametor
Ametor latus,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,Ametor,Ametor
Ametor scabrosus,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,Ametor,Ametor
Ametropus,FALSE,,DNI,Ametropus,Ametropus,DNI,Ametropus,Ametropus
Ametropus ammophilus,FALSE,,DNI,Ametropus,Ametropus,DNI,Ametropus,Ametropus
Amiocentrus,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus
Amiocentrus aspilus,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus
Amphiagrion,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Amphiagrion abbreviatum,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Amphibia,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Amphicosmoecus,FALSE,single species in genus,DNI,Amphicosmoecus,Amphicosmoecus,DNI,Amphicosmoecus,Amphicosmoecus
Amphicosmoecus canax,FALSE,single species in genus,DNI,Amphicosmoecus,Amphicosmoecus,DNI,Amphicosmoecus,Amphicosmoecus
Amphinemura,FALSE,,Malenka,Malenka,Malenka,Malenka,Malenka,Malenka
Amphinemura/Malenka,FALSE,,Malenka,Malenka,Malenka,Malenka,Malenka,Malenka
Amphipoda,FALSE,,DNI,Amphipoda,Amphipoda,DNI,Amphipoda,Amphipoda
Amphizoa,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Amphizoa insolens,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Amphizoa lecontei,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Amphizoidae,FALSE,,DNI,Amphizoa,Amphizoa,DNI,Amphizoa,Amphizoa
Ampumixis,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar,Ampumixis,Ampumixis
Ampumixis dispar,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar,Ampumixis,Ampumixis
Anacaena,FALSE,,Hydrophilidae,Anacaena,Anacaena,Hydrophilidae,Anacaena,Anacaena
Anafroptilum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anagapetus,FALSE,,Anagapetus,Anagapetus,Anagapetus,Anagapetus,Anagapetus,Anagapetus
Anax,FALSE,,Aeshnidae,Anax,Anax,DNI,Anax,Anax
Anax junius,FALSE,,Aeshnidae,Anax,Anax,DNI,Anax,Anax
Anchycteis,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,Ptilodactylidae,Ptilodactylidae
Anchycteis velutina,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,Ptilodactylidae,Ptilodactylidae
Ancylidae,FALSE,,DNI,Ancylidae,Ancylidae,DNI,Ancylidae,Ancylidae
Ancylinae,FALSE,,DNI,Ancylidae,Ancylidae,DNI,Ancylidae,Ancylidae
Anericorophium,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Anisogammaridae,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,Anisogammaridae,Anisogammaridae
Anisogammarus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,Anisogammaridae,Anisogammaridae
Anisoptera,FALSE,,DNI,Anisoptera,Anisoptera,DNI,Anisoptera,Anisoptera
Annelida,TRUE,TOO COARSE,DNI,DNI,DNI,DNI,DNI,DNI
Anodonta,FALSE,,DNI,Anodonta,Anodonta,DNI,Anodonta,Anodonta
Anodonta oregonsis,FALSE,,DNI,Anodonta,Anodonta,DNI,Anodonta,Anodonta
Anopheles,FALSE,,DNI,Anopheles,Anopheles,DNI,Anopheles,Anopheles
Anostraca,TRUE,fairy shrimp,DNI,DNI,DNI,DNI,DNI,DNI
Antillocladius,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI,Orthocladiinae,Orthocladiinae
Antocha,FALSE,,Antocha,Antocha,Antocha,Antocha,Antocha,Antocha
Antocha monticola,FALSE,,Antocha,Antocha,Antocha,Antocha,Antocha,Antocha
Anura,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Apatania,FALSE,,Apatania,Apatania,Apatania,Apatania,Apatania,Apatania
Apatania sorex,FALSE,,Apatania,Apatania,Apatania,Apatania,Apatania,Apatania
Apataniidae,FALSE,,DNI,Apataniidae,Apataniidae,DNI,Apataniidae,Apataniidae
Apedilum,FALSE,,Apedilum,Apedilum,Apedilum,DNI,Apedilum,Apedilum
Apobaetis,FALSE,,DNI,Apobaetis,Apobaetis,DNI,Apobaetis,Apobaetis
Apobaetis indeprensus,FALSE,,DNI,Apobaetis,Apobaetis,DNI,Apobaetis,Apobaetis
Apsectrotanypus,FALSE,,DNI,Apsectrotanypus,Apsectrotanypus,DNI,Apsectrotanypus,Apsectrotanypus
Apsectrotanypus johnsoni,FALSE,,DNI,Apsectrotanypus,Apsectrotanypus,DNI,Apsectrotanypus,Apsectrotanypus
Aquarius,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Aquarius nyctalis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Aquarius remigis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Arachnida,TRUE,Terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Araeopidius monachus,FALSE,,DNI,Araeopidius monachus,Araeopidius monachus,DNI,Araeopidius monachus,Araeopidius monachus
Archilestes,FALSE,,DNI,Archilestes,Archilestes,DNI,Archilestes,Archilestes
Archilestes californica,FALSE,,DNI,Archilestes,Archilestes,DNI,Archilestes,Archilestes
Archilestes grandis,FALSE,,DNI,Archilestes,Archilestes,DNI,Archilestes,Archilestes
Archoophora,FALSE,,Trepaxonemata,Trepaxonemata,Trepaxonemata,Trepaxonemata,Trepaxonemata,Trepaxonemata
Arcteonais,FALSE,,Naidinae,Arcteonais,Oligochaeta,Naidinae,Oligochaeta,Oligochaeta
Arcteonais lomondi,FALSE,,DNI,Arcteonais,Oligochaeta,Naidinae,Oligochaeta,Oligochaeta
Arctoconopa,FALSE,extreme southern range dubius ID,DNI,Limoniidae,Limoniidae,DNI,Limoniidae,Limoniidae
Arctopsyche,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche californica,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche grandis,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche grandis type 1,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche lagodensis complex,FALSE,,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsychinae,FALSE,,DNI,Arctopsychinae,Arctopsychinae,DNI,Arctopsychinae,Arctopsychinae
Arctotipula,FALSE,,Tipula,Tipula,Tipula,Tipula,Tipula,Tipula
Argia,FALSE,,Coenagrionidae,Argia,Argia,Argia,Argia,Argia
Argia emma,FALSE,,Coenagrionidae,Argia,Argia,Argia,Argia,Argia
Argia vivida,FALSE,,Coenagrionidae,Argia,Argia,Argia,Argia,Argia
Argyra,FALSE,,DNI,Dolichopodidae,Dolichopodidae,DNI,Dolichopodidae,Dolichopodidae
Arhynchobdellida,FALSE,,Hirudinida,Arhynchobdellida,Arhynchobdellida,Hirudinida,Arhynchobdellida,Arhynchobdellida
Arrenuridae,FALSE,,DNI,Arrenuridae,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Arrenurus,FALSE,,Arrenurus,Arrenurus,Trombidiformes,Arrenurus,Trombidiformes,Trombidiformes
Arsapnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae,Capniidae,Capniidae
Ascaphus truei,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Asellidae,FALSE,,DNI,Asellidae,Asellidae,DNI,Asellidae,Asellidae
Asellus,FALSE,,DNI,Asellus,Asellus,DNI,Asellus,Asellus
Asioplax,FALSE,,DNI,Asioplax,Asioplax,DNI,Asioplax,Asioplax
Asioplax edmundsi,FALSE,,DNI,Asioplax,Asioplax,DNI,Asioplax,Asioplax
Assia,FALSE,,Nemata,Nemata,Assia,Nemata,Assia,Assia
Astacidae,FALSE,,Pacifastacus,Astacidae,Astacidae,Pacifastacus,Astacidae,Astacidae
Asynarchus,FALSE,unique rare,DNI,Asynarchus,Asynarchus,DNI,Asynarchus,Asynarchus
Athericidae,FALSE,,Atherix,Atherix,Atherix,Atherix,Atherix,Atherix
Atherix,FALSE,,Atherix,Atherix,Atherix,Atherix,Atherix,Atherix
Atherix pachypus,FALSE,,Atherix,Atherix,Atherix,Atherix,Atherix,Atherix
Athienemanniidae,FALSE,,Athienemanniidae,Athienemanniidae,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Atractelmis,FALSE,only one species in Genus,DNI,Atractelmis,Atractelmis,DNI,Atractelmis,Atractelmis
Atractelmis wawona,FALSE,only one species in Genus,DNI,Atractelmis,Atractelmis,DNI,Atractelmis,Atractelmis
Atractidae,FALSE,,Atractides,Atractides,Trombidiformes,Atractides,Trombidiformes,Trombidiformes
Atractides,FALSE,,Atractides,Atractides,Trombidiformes,Atractides,Trombidiformes,Trombidiformes
Atrichomelina,FALSE,,DNI,Sciomyzidae,Sciomyzidae,DNI,Sciomyzidae,Sciomyzidae
Atrichopogon,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Atrichopogon/Forcipomyia,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Attenella,FALSE,,DNI,Attenella,Attenella,Attenella,Attenella,Attenella
Attenella delantala,FALSE,,Attenella delantala,Attenella delantala,Attenella delantala,Attenella,Attenella delantala,Attenella delantala
Attenella margarita,FALSE,,Attenella margarita,Attenella margarita,Attenella margarita,Attenella,Attenella margarita,Attenella margarita
Attenella soquele,FALSE,,DNI,Attenella,Attenella,Attenella,Attenella,Attenella
Aturidae,FALSE,,DNI,Aturidae,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Aturus,FALSE,,DNI,Aturus,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Atylotus/Tabanus,FALSE,,Tabanidae,Tabanidae,Tabanidae,Tabanidae,Tabanidae,Tabanidae
Aulodrilus,FALSE,,Tubificinae,Aulodrilus,Oligochaeta,Tubificinae,Oligochaeta,Oligochaeta
Aulodrilus pluriseta,FALSE,,Tubificinae,Aulodrilus,Oligochaeta,Tubificinae,Oligochaeta,Oligochaeta
Austrolimnophila,FALSE,,DNI,Austrolimnophila,Austrolimnophila,DNI,Austrolimnophila,Austrolimnophila
Babia,TRUE,Terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Baetidae,FALSE,,DNI,Baetidae,Baetidae,DNI,Baetidae,Baetidae
Baetis,FALSE,,DNI,Baetis,Baetis,DNI,Baetis,Baetis
Baetis alius,FALSE,,Baetis alius,Baetis alius,Baetis alius,Baetis alius,Baetis alius,Baetis alius
Baetis bicaudatus,FALSE,,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis bicaudatus complex,FALSE,,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis flavistriga,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis flavistriga complex,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Gr.,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Group,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis notos,FALSE,,Baetis notos,Baetis notos,Baetis notos,Baetis notos,Baetis notos,Baetis notos
Baetis piscatoris,FALSE,,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex
Baetis piscatoris complex,FALSE,,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex
Baetis Rhodani Gr.,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group,DNI,Baetis Rhodani Group,Baetis Rhodani Group
Baetis rhodani group,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group,DNI,Baetis Rhodani Group,Baetis Rhodani Group
Baetis Rhodani Group,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group,DNI,Baetis Rhodani Group,Baetis Rhodani Group
Baetis tricaudatus,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus complex,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus Group,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetisca,FALSE,,DNI,Baetisca,Baetisca,DNI,Baetisca,Baetisca
Baetodes,FALSE,,DNI,Baetodes,Baetodes,DNI,Baetodes,Baetodes
Baetodes tritus,FALSE,,DNI,Baetodes,Baetodes,DNI,Baetodes,Baetodes
Baetopus trishae,TRUE,Dubious ID eastern Taxon,DNI,DNI,DNI,DNI,DNI,DNI
Bandakiopsis,FALSE,,DNI,Bandakiopsis,Trombidiformes,DNI,Trombidiformes,Trombidiformes
Banksiola,FALSE,,DNI,Banksiola,Banksiola,DNI,Banksiola,Banksiola
Banksiola crotchi,FALSE,,DNI,Banksiola,Banksiola,DNI,Banksiola,Banksiola
Basommatophora,FALSE,TOO COARSE,DNI,Gastropoda,Gastropoda,DNI,Gastropoda,Gastropoda
Batracobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida,Erpobdella,Erpobdella
Bellardina,FALSE,Subgenus of Tipulasemi aquatic,Tipula,Tipula,Tipula,Tipula,Tipula,Tipula
Belostoma,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Belostoma flumineum,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Belostomatidae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Beringotipula,TRUE,meticolous habitats- subgenus of Tipula,Tipula,Tipula,Tipula,Tipula,Tipula,Tipula
Berosus,FALSE,,Hydrophilidae,Berosus,Berosus,Hydrophilidae,Berosus,Berosus
Bethbilbeckia,FALSE,,Macropelopia,Bethbilbeckia,Bethbilbeckia,Macropelopia,Bethbilbeckia,Bethbilbeckia
Bezzia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia / Palpomyia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia Group,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Probezzia,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bibiocephala,FALSE,,Blephariceridae,Bibiocephala,Bibiocephala,Blephariceridae,Bibiocephala,Bibiocephala
Bibiocephala grandis,FALSE,,Blephariceridae,Bibiocephala,Bibiocephala,Blephariceridae,Bibiocephala,Bibiocephala
Bilyjomyia,FALSE,,DNI,Bilyjomyia,Bilyjomyia,DNI,Bilyjomyia,Bilyjomyia
Bilyjomyia algens,FALSE,only one species in Genus,DNI,Bilyjomyia,Bilyjomyia,DNI,Bilyjomyia,Bilyjomyia
Bisancora,FALSE,,DNI,Bisancora,Bisancora,DNI,Bisancora,Bisancora
Bittacomorpha,FALSE,,DNI,Bittacomorpha,Bittacomorpha,DNI,Bittacomorpha,Bittacomorpha
Bivalvia,FALSE,TOO COARSE,DNI,Bivalvia,Bivalvia,DNI,Bivalvia,Bivalvia
Blepharicera,FALSE,,Blephariceridae,Blepharicera,Blepharicera,Blephariceridae,Blepharicera,Blepharicera
Blepharicera ostensackeni,FALSE,,Blephariceridae,Blepharicera,Blepharicera,Blephariceridae,Blepharicera,Blepharicera
Blephariceridae,FALSE,,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae,Blephariceridae
Bolshecapnia,FALSE,,Capniidae,Bolshecapnia,Bolshecapnia,Capniidae,Bolshecapnia,Bolshecapnia
Boreochlus,FALSE,,Podonominae,Boreochlus,Boreochlus,Podonominae,Boreochlus,Boreochlus
Boreoheptagyia,FALSE,,Boreoheptagyia,Boreoheptagyia,Boreoheptagyia,DNI,Boreoheptagyia,Boreoheptagyia
Boreonectes,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Boreonectes,Boreonectes,Hydroporinae,Boreonectes,Boreonectes
Bosmina,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI,DNI,DNI
Bothrioneurum,FALSE,,DNI,Bothrioneurum,Oligochaeta,DNI,Oligochaeta,Oligochaeta
Bothrioneurum vejdovskyanum,FALSE,,DNI,Bothrioneurum,Oligochaeta,DNI,Oligochaeta,Oligochaeta
Brachinus americanus,FALSE,"This is a valid taxon, but I wonder if this was supposed to be Brachycentrus americanus??? TYPO?",DNI,Brachinus americanus,Brachinus americanus,DNI,Brachinus americanus,Brachinus americanus
Brachycentridae,FALSE,,DNI,Brachycentridae,Brachycentridae,DNI,Brachycentridae,Brachycentridae
Brachycentrus,FALSE,,DNI,Brachycentrus,Brachycentrus,DNI,Brachycentrus,Brachycentrus
