Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Ellipteroides,FALSE,,DNI,Ellipteroides,Ellipteroides,DNI
Elmidae,FALSE,,DNI,Elmidae,Elmidae,DNI
Elmidae sp. AJF#01,FALSE,,DNI,Elmidae,Elmidae,DNI
Elmidae sp. AJF#02,FALSE,,DNI,Elmidae,Elmidae,DNI
Elminae,FALSE,,DNI,Elmidae,Elmidae,DNI
Elodes,FALSE,,DNI,Scirtidae,Scirtidae,DNI
Eloeophila,FALSE,,Eloeophila,Eloeophila,Eloeophila,Eloeophila
Empididae,FALSE,,DNI,Empididae,Empididae,DNI
Empididae Genus A,FALSE,,DNI,Empididae Genus A,Empididae Genus A,DNI
Empididae Genus B,FALSE,,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Empididae Genus B (Clinocerinae),FALSE,Proclinopyga,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Empididae sp. (RAI Taxon # 0001),FALSE,Proclinopyga,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Empididae sp. (RAI Taxon # 0002),FALSE,,DNI,Empididae Genus A,Empididae Genus A,DNI
Empididae sp. AJF#01,FALSE,,DNI,Empididae,Empididae,DNI
Empididae sp. AJF#02,FALSE,,DNI,Empididae,Empididae,DNI
Empididae sp. QNR#01,FALSE,,DNI,Empididae,Empididae,DNI
Empididae sp. RAI # 0001,FALSE,Proclinopyga,Proclinopyga,Proclinopyga,Proclinopyga,DNI
Empididae sp. RAI # 0002,FALSE,,DNI,Empididae Genus A,Empididae Genus A,DNI
Empididae unknown,FALSE,,DNI,Empididae,Empididae,DNI
Empididae-pupae,FALSE,,DNI,Empididae,Empididae,DNI
Enallagma,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Enallagma boreale,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Enallagma/Ischnura,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Enchytraeidae,FALSE,,DNI,Enchytraeidae,Oligochaeta,DNI
Enchytraeus,FALSE,,Enchytraeus,Enchytraeus,Oligochaeta,Enchytraeus
Endochironomus,FALSE,,DNI,Endochironomus,Endochironomus,DNI
Endotribelos,FALSE,,DNI,Endotribelos,Endotribelos,DNI
Endotribelos hesperium,FALSE,,DNI,Endotribelos,Endotribelos,DNI
Enochrus,FALSE,,Hydrophilidae,Enochrus,Enochrus,Hydrophilidae
Entomobryidae,TRUE,Collembola excluded,DNI,DNI,DNI,DNI
Entosphenus tridentatus,TRUE,Fish… well Lamprey,DNI,DNI,DNI,DNI
Eobrachycentrus,FALSE,Single sp.  E. gelidae,DNI,Eobrachycentrus,Eobrachycentrus,DNI
Eobrachycentrus gelidae,FALSE,,DNI,Eobrachycentrus,Eobrachycentrus,DNI
Eocosmoecus,FALSE,single species in genus,DNI,Eocosmoecus,Eocosmoecus,DNI
Eocosmoecus frontalis,FALSE,single species in genus,DNI,Eocosmoecus frontalis,Eocosmoecus frontalis,DNI
Eogammarus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI
Eogammarus confervicolus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI
Epeorus,FALSE,,DNI,Epeorus,Epeorus,DNI
Epeorus albertae,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus albertae group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus Albertae Group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus albertae Group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus deceptivus,FALSE,Formatting,Epeorus deceptivus,Epeorus deceptivus,Epeorus deceptivus,DNI
Epeorus grandis,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus Grandis Group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis Group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis/permagnus,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis/permagnus gr.,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus Ironopsis,FALSE,bad subgenus formatting= grandis group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus longimanus,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Epeorus longimanus group,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Epeorus Longimanus Group,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Epeorus/Ironodes,FALSE,,DNI,Heptageniidae,Heptageniidae,DNI
Ephemera,FALSE,,DNI,Ephemera,Ephemera,DNI
Ephemera simulans,FALSE,,DNI,Ephemera,Ephemera,DNI
Ephemerella,FALSE,,DNI,Ephemerella,Ephemerella,Ephemerella
Ephemerella alleni,FALSE,,DNI,Ephemerella alleni,Ephemerella alleni,Ephemerella
Ephemerella aurivillii,FALSE,,Ephemerella aurivillii,Ephemerella aurivillii,Ephemerella aurivillii,Ephemerella
Ephemerella dorothea,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella dorothea infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella dorothea/excrucians,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella dorothea/excrucians group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella excrucians,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella Excrucians Gr.,FALSE,Formatting (Gr.),Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,DNI
Ephemerella excrucians group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella Excrucians Group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella excrucians Group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella inermis,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella inermis/dorothea,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella inermis/infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella
Ephemerella maculata,FALSE,"valid taxon, very rare southern california coast range dubious ID for Oregon",DNI,Ephemerella,Ephemerella,Ephemerella
Ephemerella needhami,FALSE,,DNI,Ephemerella needhami,Ephemerella needhami,Ephemerella
Ephemerella tibialis,FALSE,,Ephemerella tibialis,Ephemerella tibialis,Ephemerella tibialis,Ephemerella
Ephemerella verruca,FALSE,,DNI,Ephemerella verruca,Ephemerella verruca,Ephemerella
Ephemerellidae,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI
Ephemerellinae,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI
Ephemeridae,FALSE,,DNI,Ephemeridae,Ephemeridae,DNI
Ephemeroptera,FALSE,,DNI,Ephemeroptera,Ephemeroptera,DNI
Ephoron,FALSE,,DNI,Ephoron,Ephoron,DNI
Ephoron album,FALSE,,DNI,Ephoron,Ephoron,DNI
Ephydra,FALSE,,Ephydridae,Ephydridae,Ephydridae,Ephydridae
Ephydridae,FALSE,,Ephydridae,Ephydridae,Ephydridae,Ephydridae
Epiphragma,FALSE,,DNI,Epiphragma,Epiphragma,DNI
Epitheca,FALSE,,DNI,Epitheca,Epitheca,DNI
Epoicocladius,FALSE,,DNI,Epoicocladius,Epoicocladius,DNI
Eretmoptera,FALSE,,DNI,Eretmoptera,Eretmoptera,DNI
Erioptera,FALSE,,DNI,Erioptera,Erioptera,DNI
Erioptera/Haplolabis/Symplectra,FALSE,,DNI,Tipulidae,Tipulidae,DNI
Eristalis,FALSE,,DNI,Eristalis,Eristalis,DNI
Erpetogomphus,FALSE,,DNI,Erpetogomphus,Erpetogomphus,DNI
Erpetogomphus compositus,FALSE,,DNI,Erpetogomphus,Erpetogomphus,DNI
Erpobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Erpobdella punctata,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Erpobdellidae,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Erythemis,FALSE,,DNI,Erythemis,Erythemis,DNI
Estelloxus,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia
Estelloxus californiensis,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia
Estelloxus sensu lato,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia
Eubrianax,FALSE,,Eubrianax,Eubrianax,Eubrianax,Eubrianax
Eubrianax edwardsi,FALSE,,Eubrianax,Eubrianax,Eubrianax,Eubrianax
Eubrianax edwardsii,FALSE,,Eubrianax,Eubrianax,Eubrianax,Eubrianax
Eucapnopsis,FALSE,1 NA sp.,Capniidae,Capniidae,Capniidae,Capniidae
Eucapnopsis brevicauda,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Eucorethra,FALSE,Single species in Genus,DNI,Eucorethra,Eucorethra,DNI
Eucorethra underwoodi,FALSE,Single species in Genus,DNI,Eucorethra,Eucorethra,DNI
Eukiefferiella,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella brehmi,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Eukiefferiella Brehmi Gr.,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Eukiefferiella brehmi group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Eukiefferiella Brehmi Group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Eukiefferiella brehmi Group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella
Eukiefferiella Brevicalcar Gr.,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella
Eukiefferiella brevicalcar group,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella
Eukiefferiella Brevicalcar Group,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella
Eukiefferiella cf. tirolensis,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Eukiefferiella claripennis,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Eukiefferiella Claripennis Gr.,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Eukiefferiella claripennis group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Eukiefferiella Claripennis Group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Eukiefferiella claripennis Group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella
Eukiefferiella coerulescens,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Eukiefferiella Coerulescens Gr.,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Eukiefferiella coerulescens group,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Eukiefferiella Coerulescens Group,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella
Eukiefferiella Devonica Gr.,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Eukiefferiella devonica group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Eukiefferiella Devonica Group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Eukiefferiella devonica Group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella
Eukiefferiella discoloripes Group,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella Discoloripes Group,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella Gracei Gr.,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella
Eukiefferiella gracei group,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella
Eukiefferiella Gracei Group,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella
Eukiefferiella pseudomontana,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Eukiefferiella Pseudomontana Gr.,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Eukiefferiella pseudomontana group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Eukiefferiella Pseudomontana Group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Eukiefferiella pseudomontana Group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella
Eukiefferiella similis,FALSE,Jr. syn of Cardiocladius albiplumus,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius
Eukiefferiella tirolensis,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Eukiefferiella tirolensis group,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Eukiefferiella Tirolensis Group,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella
Eukiefferiella/Tvetenia,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Eukoenenia,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Euparyphus,FALSE,,Stratiomyidae,Euparyphus,Euparyphus,DNI
Euphylidorea,FALSE,"subgenus of Limnophila now genus, Limnophila still valid but very different taxon concept translating to family",DNI,Limoniidae,Limoniidae,DNI
Euryhapsis,FALSE,,DNI,Euryhapsis,Euryhapsis,DNI
Eurylophella,FALSE,,DNI,Eurylophella,Eurylophella,DNI
Eurylophella lodi,FALSE,,DNI,Eurylophella,Eurylophella,DNI
Eylais,FALSE,,DNI,Eylais,Trombidiformes,DNI
Fallceon,FALSE,,Fallceon,Fallceon,Fallceon,DNI
Fallceon quilleri,FALSE,,Fallceon,Fallceon,Fallceon,DNI
Farula,FALSE,,Farula,Farula,Farula,DNI
Farula/Neothremma,FALSE,,DNI,Uenoidae,Uenoidae,DNI
Feltria,FALSE,,DNI,Feltria,Trombidiformes,DNI
Ferrisia,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Ferrissia,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Ferrissia fragilis,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Ferrissia rivularis,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Fisherola nuttalli,FALSE,,Lymnaeidae,Fisherola nuttalli,Fisherola nuttalli,Lymnaeidae
Fluminicola,FALSE,Common hydroboid in PNW streams,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea
Flustra,TRUE,Bryozoa,DNI,DNI,DNI,DNI
Forcipomyia,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Forcipomyiinae,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Forelia,FALSE,,DNI,Forelia,Trombidiformes,DNI
Fossaria,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Fossaria/Stagnicola,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Fridericia,FALSE,,Fridericia,Fridericia,Oligochaeta,Fridericia
Frisonia,FALSE,Single Species in Genus,DNI,Frisonia picticeps,Frisonia picticeps,DNI
Frisonia ,FALSE,Trailing space after genus Name,DNI,Frisonia picticeps,Frisonia picticeps,DNI
Frisonia picticeps,FALSE,Single Species in Genus,DNI,Frisonia picticeps,Frisonia picticeps,DNI
Frontipoda,FALSE,,DNI,Frontipoda,Trombidiformes,DNI
Frontipoda americana,FALSE,,DNI,Frontipoda,Trombidiformes,DNI
Galba,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Galerucella,TRUE,Leaf beetle terrestrial,DNI,DNI,DNI,DNI
Galerucella nymphaeae,TRUE,Leaf beetle terrestrial,DNI,DNI,DNI,DNI
Gammaridae,FALSE,,DNI,Gammaridae,Gammaridae,DNI
Gammaridea,FALSE,,DNI,Gammaridea,Gammaridea,DNI
Gammarus,FALSE,,Gammarus,Gammarus,Gammarus,Gammarus
Gammarus lacustris,FALSE,,Gammarus,Gammarus,Gammarus,Gammarus
Gasterosteidae,TRUE,Fish,DNI,DNI,DNI,DNI
Gastropoda,FALSE,TOO COARSE,DNI,Gastropoda,Gastropoda,DNI
Gelastocoris,TRUE,toad bugs,DNI,DNI,DNI,DNI
Georthocladius,FALSE,,DNI,Georthocladius,Georthocladius,DNI
Georyssus,FALSE,,DNI,Georyssus,Georyssus,DNI
Geranomyia,FALSE,genus was subgenu of Limonia,DNI,Limoniidae,Limoniidae,DNI
Gereckea,FALSE,,DNI,Gereckea,Trombidiformes,DNI
Gerridae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Gerrinae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Gerris,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Gerris buenoi,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Gerris incurvatus,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Gerris remigis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Glans,TRUE,Marine,DNI,DNI,DNI,DNI
Gloma,TRUE,Dubious ID?,DNI,DNI,DNI,DNI
Glossidae,TRUE,Marine,DNI,DNI,DNI,DNI
Glossiphonia,FALSE,,Hirudinida,Glossiphonia,Glossiphonia,Hirudinida
Glossiphonia complanata,FALSE,,Hirudinida,Glossiphonia,Glossiphonia,Hirudinida
Glossiphonia elegans,FALSE,,Hirudinida,Glossiphonia,Glossiphonia,Hirudinida
Glossiphoniidae,FALSE,,Hirudinida,Glossiphoniidae,Glossiphoniidae,Hirudinida
Glossobius,TRUE,marine,DNI,DNI,DNI,DNI
Glossosoma,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma (Anseriglossa),FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma alascense,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma intermedium,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma oregonense,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma penitum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma penitus,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma pyroxum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma traviatum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma velonum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma wenatchee,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosomatidae,FALSE,,DNI,Glossosomatidae,Glossosomatidae,DNI
Glossosomatinae,FALSE,,DNI,Glossosomatidae,Glossosomatidae,DNI
Glossosomatini,FALSE,,DNI,Glossosomatidae,Glossosomatidae,DNI
Glossosomatoidea,FALSE,TOO COARSE,DNI,Trichoptera,Trichoptera,DNI
Glutops,FALSE,,Glutops,Glutops,Glutops,Glutops
Glutops bandus,FALSE,,Glutops,Glutops,Glutops,Glutops
Gluvia,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Glyphopsyche,FALSE,"valid, rare- marshes and slow systems",DNI,Glyphopsyche,Glyphopsyche,DNI
Glyphopsyche irrorata,FALSE,"valid, rare- marshes and slow systems",DNI,Glyphopsyche,Glyphopsyche,DNI
Glyptotendipes,FALSE,,DNI,Glyptotendipes,Glyptotendipes,DNI
Gnorimosphaeroma,FALSE,,DNI,Gnorimosphaeroma,Gnorimosphaeroma,DNI
Gnorimosphaeroma oregonensis,FALSE,,DNI,Gnorimosphaeroma,Gnorimosphaeroma,DNI
Goera,FALSE,Single Species in Genus,Goera archaon,Goera archaon,Goera archaon,DNI
Goera archaon,FALSE,Single Species in Genus,Goera archaon,Goera archaon,Goera archaon,DNI
Goeracea,FALSE,,DNI,Goeracea,Goeracea,DNI
Goeracea genota,FALSE,,DNI,Goeracea,Goeracea,DNI
Goeracea oregona,FALSE,,DNI,Goeracea,Goeracea,DNI
Goereilla baumanni,FALSE,"rare taxon, Currently known from WA,MT, ID",DNI,Goereilla baumanni,Goereilla baumanni,DNI
Goeridae,FALSE,,DNI,Goeridae,Goeridae,DNI
Goerinae,FALSE,,DNI,Goeridae,Goeridae,DNI
Gomphidae,FALSE,,DNI,Gomphidae,Gomphidae,DNI
Gomphurus,FALSE,,DNI,Gomphidae,Gomphidae,DNI
Gomphurus/Phanogomphus,FALSE,,DNI,Gomphidae,Gomphidae,DNI
Gomphus,FALSE,changed to family currently no Gomphus in NA,DNI,Gomphidae,Gomphidae,DNI
Gonempeda,FALSE,"not a new Limoniid, but rarely Idd backing off to family",DNI,Limoniidae,Limoniidae,DNI
Gonidea,TRUE,was an Anodonta brackish or tidally influenced freshwater ,DNI,DNI,DNI,DNI
Gonidea angulata,TRUE,was an Anodonta brackish or tidally influenced freshwater ,DNI,DNI,DNI,DNI
Gonomyia,FALSE,,DNI,Gonomyia,Gonomyia,DNI
Gonomyia/Ellipteriodes/Idiocera,FALSE,,DNI,Limoniidae,Limoniidae,DNI
Gonomyodes,FALSE,,DNI,Gonomyodes,Gonomyodes,DNI
Grammotaulius,FALSE,,DNI,Grammotaulius,Grammotaulius,DNI
Graphoderus,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Graphoderus liberus,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Graphoderus perplexus,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Graptocorixa,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Grensia praeterita,FALSE,,DNI,Limnephilidae,Limnephilidae,DNI
Guestphalinus,FALSE,,Lumbriculidae,Guestphalinus,Oligochaeta,Lumbriculidae
Gumaga,FALSE,,Gumaga,Gumaga,Gumaga,DNI
Guttipelopia,FALSE,,DNI,Guttipelopia,Guttipelopia,DNI
Gymnometriocnemus,FALSE,,DNI,Gymnometriocnemus,Gymnometriocnemus,DNI
Gymnopais/Twinnia,FALSE,,DNI,Simuliidae,Simuliidae,DNI
Gyraulus,FALSE,,Gyraulus,Gyraulus,Gyraulus,Gyraulus
Gyraulus deflectus,FALSE,,Gyraulus,Gyraulus,Gyraulus,Gyraulus
Gyraulus parvus,FALSE,,Gyraulus,Gyraulus,Gyraulus,Gyraulus
Gyrinidae,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus affinis,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus bifarius,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus consobrinus,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus maculiventris,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus picipes,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Gyrinus plicifer,FALSE,,DNI,Gyrinidae,Gyrinidae,DNI
Haemonais,FALSE,,Naidinae,Haemonais,Oligochaeta,Naidinae
Haemopis,FALSE,,Hirudinida,Haemopis,Haemopis,Hirudinida
Haemopis grandis,FALSE,,Hirudinida,Haemopis,Haemopis,Hirudinida
Halesochila taylori,FALSE,,DNI,Halesochila taylori,Halesochila taylori,DNI
Haliplidae,FALSE,,Haliplidae,Haliplidae,Haliplidae,Haliplidae
Haliplus,FALSE,,Haliplidae,Haliplus,Haliplus,Haliplidae
Hansonoperla,FALSE,,DNI,Perlidae,Perlidae,DNI
Haplolabis,TRUE,"No idea what this is, bad ID, bad name?",DNI,DNI,DNI,DNI
Haploperla,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI
Haploperla chilnualna,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI
Haplotaxida,FALSE,,DNI,Haplotaxis,Oligochaeta,DNI
Haplotaxidae,FALSE,,DNI,Haplotaxis,Oligochaeta,DNI
