ScientificName,CommonName,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11,Family,Genus,Species
Lampetra,brook lamprey,,,,,,,,,,,,,,,Petromyzontidae,Lampetra,
Lampetra aepyptera,least brook lamprey,,,,,,,,,,,,,,,Petromyzontidae,Lampetra,aepyptera
Leiostomus xanthurus,spot,,,,,,,,,,,,,,,Sciaenidae,Leiostomus,xanthurus
Lepisosteidae,gars,,,,,PI,,,,,,,,,,Lepisosteidae,,
Lepisosteus osseus,longnose gar,,,"MA>3-T,SER",,PI,4,4,,,,,,,,Lepisosteidae,Lepisosteus,osseus
Lepisosteus platostomus,shortnose gar,,,MA>3-T,,PI,4,4,,,,,,,,Lepisosteidae,Lepisosteus,platostomus
Lepomis,common sunfishes,,,,,IN-T,,,,,,,,,,Centrarchidae,Lepomis,
Lepomis auritus,redbreast sunfish,,,,,,,,,,,,,,,Centrarchidae,Lepomis,auritus
Lepomis cyanellus,green sunfish,"PERC,PI",,"MA<2,NE","T,TCW,VT",GE,5a,5a,5a,5a,5a,5a,,5a,5a,Centrarchidae,Lepomis,cyanellus
Lepomis gibbosus,pumpkinseed,PERC,,"MA<2,NE",,IN-T,4,4,3,4,4,4,4,5,5,Centrarchidae,Lepomis,gibbosus
Lepomis gulosus,warmouth,PERC,,MA<2,,PI,,,,,,,,,,Centrarchidae,Lepomis,gulosus
Lepomis humilis,orangespotted sunfish,PERC,,"MA<2,SER","T,TCW,VT",,5a,5a,5a,5a,5a,5a,5a,5a,5a,Centrarchidae,Lepomis,humilis
Lepomis hybrid,hybrid sunfish,,,,"T,TCW",,5,5,5,5,5,5,5,5,5,Centrarchidae,Lepomis,hybrid
Lepomis macrochirus,bluegill,PERC,,"MA<2,NE,SER",,IN-T,4,4,4,4,4,4,4,5,5,Centrarchidae,Lepomis,macrochirus
Lepomis megalotis,longear sunfish,PERC,,"MA<2,NE","I,S",IN-T,,,,,,,,,,Centrarchidae,Lepomis,megalotis
Lethenteron appendix,american brook lamprey,,HW-T,MA>3-T,"I,ICW,S,SCW",,2,2,2,,,,2,2,2,Petromyzontidae,Lethenteron,appendix
Lota lota,burbot,,,"MA>3-T,SILI","I,S",PI,3,3,3,3,3,3,3,4,4,Gadidae,Lota,lota
Lucania parva,rainwater killifish,,,,,,,,,,,,,,,Fundulidae,Lucania,parva
Luxilus chrysocephalus,striped shiner,,,,,,,,,,,,,,,Cyprinidae,Luxilus,chrysocephalus
Luxilus cornutus,common shiner,MIN-T,,"MA<2,SILI",,"DEM,GE",4,4,4,4,4,3,3,4,4,Cyprinidae,Luxilus,cornutus
Lythrurus umbratilis,redfin shiner,"MIN-T,SL",,MA<2,S,"IN-T,INCYP",2,2,2,,,,2,,,Cyprinidae,Lythrurus,umbratilis
Macrhybopsis hyostoma,shoal chub,"MIN-T,SL",,MA<2,S,"BI-T,IN-T,INCYP",2,2,,,,,,,,Cyprinidae,Macrhybopsis,hyostoma
Macrhybopsis storeriana,silver chub,MIN-T,,MA<2,,"BI-T,IN-T,INCYP",3,3,,,,,,,,Cyprinidae,Macrhybopsis,storeriana
Margariscus margarita,pearl dace,MIN-T,"HW-T, WE-T",MA<2,"S,SCW","DEM,IN-T,INCYP",,3,3,,3,3,3,3,3,Cyprinidae,Margariscus,margarita
Margariscus nachtriebi,northern pearl dace,MIN-T,"HW-T, WE-T",MA<2,"S,SCW","DEM,IN-T,INCYP",,,,,,,,,,Cyprinidae,Margariscus,nachtriebi
Menidia beryllina,inland silverside,,,,,,,,,,,,,,,Atherinidae,Menidia,beryllina
Micropterus,micropterus,,,,,PI,,,,,,,,,,Centrarchidae,Micropterus,
Micropterus dolomieu,smallmouth bass,PERC,,"MA>3-T,NE","I,S",PI,3,3,3,3,3,3,3,4,4,Centrarchidae,Micropterus,dolomieu
Micropterus salmoides,largemouth bass,PERC,,NE,,PI,4,4,4,4,4,4,4,5,5,Centrarchidae,Micropterus,salmoides
Minytrema melanops,spotted sucker,DSS,,"MA>3-T,SILI","I,S","BI-T,DEM,IN-T",2,,,,,,,,,Catostomidae,Minytrema,melanops
Morone americana,white perch,"EX,PERC",,MA>3-T,,IN-T,,,,,,,,,,Moronidae,Morone,americana
Morone chrysops,white bass,PERC,,MA<2,,PI,4,4,,4,4,,,,,Moronidae,Morone,chrysops
Morone mississippiensis,yellow bass,PERC,,MA>3-T,,PI,,,,,,,,,,Moronidae,Morone,mississippiensis
Morone saxatilis,striped bass,,,,,,,,,,,,,,,Moronidae,Morone,saxatilis
Moronidae,temperate basses,,,,,,,,,,,,,,,Moronidae,,
Moxostoma,redhorses,DSS,,SILI,,"BI-T,IN-T",3,3,3,3,3,3,3,3,3,Catostomidae,Moxostoma,
Moxostoma anisurum,silver redhorse,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",3,3,3,3,3,3,3,4,4,Catostomidae,Moxostoma,anisurum
Moxostoma carinatum,river redhorse,DSS,,"MA>3-T,SILI","I,S","BI-T,IN-T",1,1,,1,,,,,,Catostomidae,Moxostoma,carinatum
Moxostoma duquesnei,black redhorse,DSS,,"MA>3-T,SILI","I,S,SCW","BI-T,IN-T",2,2,,,,,,4,4,Catostomidae,Moxostoma,duquesnei
Moxostoma erythrurum,golden redhorse,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",3,3,3,3,3,3,3,4,4,Catostomidae,Moxostoma,erythrurum
Moxostoma macrolepidotum,shorthead redhorse,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",3,3,3,3,3,3,3,4,4,Catostomidae,Moxostoma,macrolepidotum
Moxostoma valenciennesi,greater redhorse,DSS,,"MA>3-T,SILI","I,S","BI-T,IN-T",1,1,,1,1,,,4,4,Catostomidae,Moxostoma,valenciennesi
Myoxocephalus thompsonii,deepwater sculpin,"DS,DSS",,MA>3-T,"I,S","BI-T,IN-T",,,,,,,,,,Cottidae,Myoxocephalus,thompsonii
Neogobius melanostomus,round goby,EX,,"MA>3- T,NE,SER",,PI,,,,,,,,,,Gobiidae,Neogobius,melanostomus
Nocomis biguttatus,hornyhead chub,MIN-T,,"MA<2,SER",S,"DEM,IN-T,INCYP",3,3,3,3,3,3,3,4,4,Cyprinidae,Nocomis,biguttatus
Nocomis micropogon,river chub,,,,,,,,,,,,,,,Cyprinidae,Nocomis,micropogon
Notemigonus crysoleucas,golden shiner,MIN-T,WE-T,"MA<2,SER",,GE,4,4,4,4,4,4,3,4,4,Cyprinidae,Notemigonus,crysoleucas
Notropis,notropis,MIN-T,,,,,,,,,,,,,,Cyprinidae,Notropis,
Notropis amoenus,comely shiner,,,,,,,,,,,,,,,Cyprinidae,Notropis,amoenus
Notropis anogenus,pugnose shiner,"MIN-T,SL",,MA>3-T,"I,S","DE,HE",1,1,1,1,1,1,1,1,1,Cyprinidae,Notropis,anogenus
Notropis atherinoides,emerald shiner,"MIN-T,SL,SCH",,"MA<2,SILI",,"DEM,IN-T,INCYP",4,4,4,4,4,4,4,4,4,Cyprinidae,Notropis,atherinoides
Notropis blennius,river shiner,"MIN-T,SL",,"MA<2,SILI",,"DEM,IN-T,INCYP",4,4,,4,4,,4,4,4,Cyprinidae,Notropis,blennius
Notropis buccatus,silverjaw minnow,,,,,,,,,,,,,,,Cyprinidae,Notropis,buccatus
Notropis buchanani,ghost shiner,MIN-T,,"MA<2,SER","I,S","DE,IN-T,INCYP",,,,,,,,,,Cyprinidae,Notropis,buchanani
Notropis chalybaeus,ironcolor shiner,,,,,,,,,,,,,,,Cyprinidae,Notropis,chalybaeus
Notropis dorsalis,bigmouth shiner,SL,,"MA<2,SER","T,TCW,VT","DEM,INCYP",5a,5a,5a,5a,5a,5a,5a,5a,5a,Cyprinidae,Notropis,dorsalis
Notropis heterodon,blackchin shiner,MIN-T,,"MA<2,SER","I,S","DEM,IN-T,INCYP",2,2,2,2,2,2,2,4,4,Cyprinidae,Notropis,heterodon
Notropis heterolepis,blacknose shiner,"MIN-T,SL",,MA<2,"I,S","IN-T,INCYP",3,3,3,3,3,3,2,4,4,Cyprinidae,Notropis,heterolepis
Notropis hudsonius,spottail shiner,MIN-T,,MA<2,S,"IN-T,INCYP",3,3,3,3,3,3,3,4,4,Cyprinidae,Notropis,hudsonius
Notropis nubilus,ozark minnow,MIN-T,,"MA<2,SILI","I,S","DEM,HE",,2,2,,,,2,4,4,Cyprinidae,Notropis,nubilus
Notropis percobromus,carmine shiner,"MIN-T,SL",,"MA<2,SILI",S,"DE,IN-T,INCYP",3,3,3,3,3,3,3,4,4,Cyprinidae,Notropis,percobromus
Notropis procne,swallowtail shiner,,,,,,,,,,,,,,,Cyprinidae,Notropis,procne
Notropis rubellus,rosyface shiner,,,,,,,,,,,,,,,Cyprinidae,Notropis,rubellus
Notropis stramineus,sand shiner,SL,,"MA<2,SER","T,TCW","DE,DEM,INCYP",5,5,5,5,5,5,5,5a,5a,Cyprinidae,Notropis,stramineus
Notropis texanus,weed shiner,"MIN-T,SL",,"MA<2,SER","I,S","DE,DEM,HE",2,2,2,2,2,2,2,2,2,Cyprinidae,Notropis,texanus
Notropis topeka,topeka shiner,"MIN-T,SL",HW-T,MA<2,"I,S","IN-T,INCYP",,1,1,,,,1,,,Cyprinidae,Notropis,topeka
Notropis volucellus,mimic shiner,"MIN-T,SL",,SER,"I,S","DEM,IN-T,INCYP",3,3,3,3,3,3,3,4,4,Cyprinidae,Notropis,volucellus
Notropis wickliffi,channel shiner,"MIN-T,SL",,MA<2,S,"IN-T,INCYP",3,3,3,3,3,3,3,3,3,Cyprinidae,Notropis,wickliffi
Noturus,madtoms,,,,,"BI-T,IN-T",,,,,,,,,,Ictaluridae,Noturus,
Noturus exilis,slender madtom,,,,"I,S","BI-T,DE,IN-T",,,,,,,,,,Ictaluridae,Noturus,exilis
Noturus flavus,stonecat,,,"MA>3-T,SER",S,"BI-T,IN-T",3,3,3,3,3,3,3,4,4,Ictaluridae,Noturus,flavus
Noturus gyrinus,tadpole madtom,,WE-T,"MA<2,NE,SER",,"BI-T,IN-T",4,4,4,4,4,4,3,5,5,Ictaluridae,Noturus,gyrinus
Noturus insignis,margined madtom,,,,,,,,,,,,,,,Ictaluridae,Noturus,insignis
Oncorhynchus gorbuscha,pink salmon,EX,CW,,,PI,6,6,6,6,6,6,6,6,6,Salmonidae,Oncorhynchus,gorbuscha
Oncorhynchus kisutch,coho salmon,EX,CW,MA>3-T,,PI,6,6,6,6,6,6,6,6,6,Salmonidae,Oncorhynchus,kisutch
Oncorhynchus mykiss,rainbow trout,EX,CW,MA>3-T,"S,SCW",PI,6,6,6,6,6,6,6,6,6,Salmonidae,Oncorhynchus,mykiss
Oncorhynchus tshawytscha,chinook salmon,EX,CW,MA>3-T,,PI,6,6,6,6,6,6,6,6,6,Salmonidae,Oncorhynchus,tshawytscha
Opsopoeodus emiliae,pugnose minnow,"MIN-T,SL",,"MA<2,NE,SER","I,S","DE,DEM,IN-T,INCYP",2,2,2,,,,2,,,Cyprinidae,Opsopoeodus,emiliae
Osmeridae,smelts,,,,,,,,,,,,,,,Osmeridae,,
Osmerus mordax,rainbow smelt,EX,,SER,,PI,,,,,,,,,,Osmeridae,Osmerus,mordax
Osteichthyes,watercolumn fish,,,,,,,,,,,,,,,,Osteichthyes,
Perca flavescens,yellow perch,PERC,WE-T,MA>3-T,,IN-T,4,4,4,4,4,4,4,5,5,Percidae,Perca,flavescens
Percidae,perches,,,,,,,,,,,,,,,Percidae,,
Percina,percina,"DS,DSS",,SILI,,"BI-T,IN-T",,,,,,,,,,Percidae,Percina,
Percina caprodes,logperch,"DS,DSS,PERC",,"MA<2,SILI","I,S","BI-T,IN-T",3,3,3,3,3,3,3,4,4,Percidae,Percina,caprodes
Percina evides,gilt darter,"DS,DSS,PERC",,"MA<2,SILI","I,S","BI-T,IN-T",1,,,1,1,1,,,,Percidae,Percina,evides
Percina maculata,blackside darter,"DS,DSS,PERC",,"MA<2,SILI",,"BI-T,IN-T",4,4,4,4,4,4,4,4,4,Percidae,Percina,maculata
Percina peltata,shield darter,,,,,,,,,,,,,,,Percidae,Percina,peltata
Percina phoxocephala,slenderhead darter,"DS,DSS,PERC",,"MA<2,SILI",S,"BI-T,IN-T",3,3,3,3,3,3,3,,,Percidae,Percina,phoxocephala
Percina shumardi,river darter,"DS,DSS,PERC,SL",,"MA<2,SILI","I,S","BI-T,IN-T",3,3,3,3,3,3,3,3,3,Percidae,Percina,shumardi
Percopsidae,trout-perches,,,,,,,,,,,,,,,Percopsidae,,
Percopsis omiscomaycus,trout-perch,SL,,MA<2,,"BI-T,IN-T",3,3,3,3,3,3,3,4,4,Percopsidae,Percopsis,omiscomaycus
Petromyzon marinus,sea lamprey,EX,,MA>3-T,,"DE,PI",,,,,,,,6a,6a,Petromyzontidae,Petromyzon,marinus
Petromyzontidae,lampreys,,,,S,,,,,,,,,,,Petromyzontidae,,
Petromyzontidae larvae,lamprey ammocoete,,,,"I,S",,3,3,3,3,3,3,3,3,3,Petromyzontidae,larvae,
Phenacobius mirabilis,suckermouth minnow,MIN-T,,"MA<2,SER,SILI",,"BI-T,DEM,IN-T,INCYP",4,4,4,,,,4,4,4,Cyprinidae,Phenacobius,mirabilis
Phoxinus,phoxinus,,HW-T,,,,,,,,,,,,,Cyprinidae,Phoxinus,
Pimephales notatus,bluntnose minnow,"PI,SL",,"MA<2,NE,SER","T,TCW,VT","DE,DEM,GE",5a,5a,5a,5a,5a,5a,5a,5a,5a,Cyprinidae,Pimephales,notatus
Pimephales promelas,fathead minnow,"PI,SL",,"MA<2,NE,SER","T,TCW,VT","DE,DEM,GE,OM",5a,5a,5a,5a,5a,5a,5a,5a,5a,Cyprinidae,Pimephales,promelas
Pimephales vigilax,bullhead minnow,MIN-T,,"MA<2,NE,SER",,GE,4,4,,,,,,4,4,Cyprinidae,Pimephales,vigilax
Platygobio gracilis,flathead chub,MIN-T,,"MA<2,SER",,"IN-T,INCYP",,,,,,,,,,Cyprinidae,Platygobio,gracilis
Polydontidae,paddlefishes,,,,,,,,,,,,,,,Polydontidae,,
Polyodon spathula,paddlefish,,,"MA>3-T,SILI","I,S",,,,,,,,,,,Polyodontidae,Polyodon,spathula
Pomoxis,crappies,,,,,PI,,,,,,,,,,Centrarchidae,Pomoxis,
Pomoxis annularis,white crappie,PERC,,"MA<2,NE",,PI,4,4,4,4,4,4,4,,,Centrarchidae,Pomoxis,annularis
Pomoxis nigromaculatus,black crappie,PERC,,NE,,PI,4,4,4,4,4,4,4,5,5,Centrarchidae,Pomoxis,nigromaculatus
Prosopium cylindraceum,round whitefish,,,MA>3-T,,IN-T,6,6,6,6,6,6,6,6,6,Salmonidae,Prosopium,cylindraceum
Proterorhinus marmoratus,tubenose goby,EX,,,,IN-T,,,,,,,,,,Gobiidae,Proterorhinus,marmoratus
Pungitius pungitius,ninespine stickleback,,,"MA<2,NE",,IN-T,,,,,,,,,,Gasterosteidae,Pungitius,pungitius
Pylodictis olivaris,flathead catfish,,,"MA>3-T,NE",,PI,4,4,4,,,,4,,,Ictaluridae,Pylodictis,olivaris
Rhinichthys,rhinichthys,,,SILI,,,,,,,,,,,,Leuciscidae,Rhinichthys,
Rhinichthys atratulus,blacknose dace,SL,,"MA<2,SILI",T,GE,5,5,4,5,5,4,5,4,4,Cyprinidae,Rhinichthys,atratulus
Rhinichthys cataractae,longnose dace,MIN-T,,SILI,"I,ICW,S,SCW","BI-T,IN-T,INCYP",3,3,3,3,3,3,3,3,3,Cyprinidae,Rhinichthys,cataractae
Rhinichthys obtusus,western blacknose dace,SL,,"MA<2,SILI",T,GE,5,5,4,5,5,4,5,4,4,Cyprinidae,Rhinichthys,obtusus
Salmo salar,atlantic salmon,EX,CW,MA>3-T,,PI,6,6,6,6,6,6,6,6,6,Salmonidae,Salmo,salar
Salmo trutta,brown trout,EX,CW,MA>3-T,"S,SCW",PI,6,6,6,6,6,6,6,6,6,Salmonidae,Salmo,trutta
Salmonidae,trouts,,,,,,,,,,,,,,,Salmonidae,,
Salmonidae hybrid,tiger trout,,CW,,,PI,,,,,,,,,,Salmonidae,hybrid,
Salmoninae,salmonids,,,,,PI,6,6,6,6,6,6,6,6,6,Salmonidae,Salmoninae,
Salvelinus fontinalis,brook trout,,"CW,CWN",MA>3-T,"I,ICW,S,SCW",PI,2,2,2,2,2,2,2,2,2,Salmonidae,Salvelinus,fontinalis
Salvelinus hybrid,splake,,,,,,6,6,6,6,6,6,6,6,6,Salmonidae,Salvelinus,hybrid
Salvelinus namaycush,lake trout,,"CW,CWN",MA>3-T,,PI,6,6,6,6,6,6,6,6,6,Salmonidae,Salvelinus,namaycush
Sander,sander,,,SILI,,PI,,,,,,,,,,Percidae,Sander,
Sander canadensis,sauger,PERC,,"MA>3-T,SILI",,PI,4,4,4,4,4,4,4,4,4,Percidae,Sander,canadensis
Sander hybrid,saugeye,PERC,,SILI,,PI,,,,,,,,,,Percidae,Sander,
Sander vitreus,walleye,PERC,,"MA>3-T,SILI",,PI,4,4,4,4,4,4,4,5,5,Percidae,Sander,vitreus
Scaphirhynchus platorynchus,shovelnose sturgeon,,,"MA>3-T,SILI",,"BI-T,IN-T",1,1,,,,,,,,Acipenseridae,Scaphirhynchus,platorynchus
Sciaenidae,drums,,,,,,,,,,,,,,,Sciaenidae,,
Semotilus atromaculatus,creek chub,PI,,MA<2,T,GE,5,5,4,5,5,4,4,4,4,Cyprinidae,Semotilus,atromaculatus
Semotilus corporalis,fallfish,,,,,,,,,,,,,,,Cyprinidae,Semotilus,corporalis
Umbra limi,central mudminnow,,,MA<2,"T,TCW,VT",,5a,5a,,5a,5a,,,5,5,Umbridae,Umbra,limi
Umbra pygmaea,eastern mudminnow,,,,,,,,,,,,,,,Umbridae,Umbra,pygmaea
Umbridae,mudminnows,,,,,,,,,,,,,,,Umbridae,,
