Version,5/8/2026,"Primary Source - for more information, scroll to bottom of this spreadsheet"
,,
REFERENCES,,
"Primary and default references are listed below. These are augmented by R.W. Wisseman's literature collection on the biology of freshwater macroinvertebrates,",,
"with an emphasis on those found in western North America, and also his unpublished data. Since this verison 1 of the traits was a rapid review, these references are not listed.",,
R.W. Wisseman is working towards a Handbook of Western North American Aquatic Invertebrates that will be fully referenced.,,
,,
"Primary reference for FFG, Habit and habitat, which itself is a review of the literature by various insect specialists.",,
"Merritt, Richard W., Kenneth W. Cummins and Martin B. Berg 2019.An Introduction to the Aquatic Insects of North America, Kendall/Hunt Publishing Company, Dubuque, Iowa 1480 pages.",,
,,
"Primary reference for voltinism in insects, which is itself a review of the literature. ",,
"Poff, LeRoy N., Julian D. Olden, Nicole K.M. Vieira, Debra S. Finn, Mark P. Simmons and Boris C. Kondratieff 2006. Functional trait niches of North American lotic insects: Traits-based ecological applications in light of Phylogenetic relationships. Journal of the North American Benthological Society 25(4): 730-755.",,
,,
"Primary reference for Chironomidae habitat association, which itself is a review of the lieterature.",,
"Andersen, Trond, Peter S. Cranston and John H. Epler (editors) 2013. Chironomidae of the Holarctic Region-Keys and Diagnosis, Part 1 Larvae. Insect Systematics & Evolution Supplement Number 66, Scandinavian Entomology, Lund, Sweden, 573 pages.",,
,,
"Primary reference for non-insect freshwater invertebrate biology, which itself a review of the literature.",,
"Pennak, Robert W. 1989. Fresh-Water Invertebrates of the United States, Third Edition. John Wiley & Sons, Inc., New York, 628 pages.",,
,,
"Primary reference for Plecoptera biology, which itself a review of the literature.",,
"Stewart, K.W. and  Stark, B.P. 2002. Nymphs of North American Stonefly Genera (Plecoptera), Second Edition, The Caddis Press, Columbus, Ohio, 510 pages.",,
,,
"Primary reference for Trichoptera biology, which itself is a review of the literature.",,
"Wiggins, Glenn B. 1996. Larvae of the North American Caddisfly Genera (Trichoptera), 2nd edition, University of Toronto Press, Toronto, Ontario, 457 pages.",,
,,
"Primary reference for biology of water mites, which itself is a review of the literature.",,
"Smit, Harry 2020 Water Mites of the World, with keys to the families, subfamilies, genera and subgenera (Acari: Hydrachnidia). Monograffieen van de Nederlandse Entomologische Vereniging no. 12. 774 pages.",,
