Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,OTU_BCG_ORWA,altOTU_BCG_ORWA_worms
Cleptelmis ornata,FALSE,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Climacia californica,FALSE,I tend to exclude these,DNI,Sisyridae,Sisyridae,DNI,Sisyridae,Sisyridae
Clinidium,TRUE,Terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Clinocera,FALSE,,Clinocera,Clinocera/Trichoclinocera,Clinocera,Clinocera,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera
Clinocera stagnalis,FALSE,,Clinocera,Clinocera/Trichoclinocera,Clinocera,Clinocera,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera
Clinocerinae,FALSE,,DNI,Clinocerinae,Clinocerinae,DNI,Clinocerinae,Clinocerinae
Clinocerinae unknown larvae A,FALSE,,DNI,Clinocerinae,Clinocerinae,DNI,Clinocerinae,Clinocerinae
Clinotanypus,FALSE,,DNI,Clinotanypus,Clinotanypus,DNI,Clinotanypus,Clinotanypus
Clio,TRUE,Marine,DNI,DNI,DNI,DNI,DNI,DNI
Clitellata,FALSE,,DNI,Oligochaeta,Oligochaeta,DNI,Oligochaeta,Oligochaeta
Clostoeca,FALSE,monotypic,DNI,Clostoeca disjuncta,Clostoeca,DNI,Clostoeca disjuncta,Clostoeca disjuncta
Clostoeca disjuncta,FALSE,,DNI,Clostoeca disjuncta,Clostoeca,DNI,Clostoeca disjuncta,Clostoeca disjuncta
Cnidaria,FALSE,all Cnidaria,Hydra,Hydra,Hydra,DNI,Hydra,Hydra
Coelotanypodini,FALSE,,DNI,Coelotanypodini,Coelotanypodini,DNI,Coelotanypodini,Coelotanypodini
Coenagrion,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Coenagrion/Enallagma,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Coenagrionidae,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,Coenagrionidae,Coenagrionidae
Coleoptera,FALSE,,DNI,Coleoptera,Coleoptera,DNI,Coleoptera,Coleoptera
Collembola,TRUE,Collembola excluded,DNI,DNI,DNI,DNI,DNI,DNI
Colligyrus,FALSE,best to leave at SuperFamily,Truncatelloidea,Truncatelloidea,Truncatelloidea,DNI,Truncatelloidea,Truncatelloidea
Colymbetes,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI,Dytiscidae,Dytiscidae
Colymbetes densus,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI,Dytiscidae,Dytiscidae
Colymbetes sculptilis,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI,Dytiscidae,Dytiscidae
Colymbetinae,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI,Dytiscidae,Dytiscidae
Compterosmittia,FALSE,,DNI,Compterosmittia,Compterosmittia,DNI,Compterosmittia,Compterosmittia
Compterosmittia sp. A,FALSE,best to leave at genus,DNI,Compterosmittia,Compterosmittia,DNI,Compterosmittia,Compterosmittia
Conchapelopia,FALSE,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Constempellina,FALSE,,Constempellina,Constempellina,Constempellina,Constempellina,Constempellina,Constempellina
Constempellina brevicosta,FALSE,,Constempellina,Constempellina,Constempellina,Constempellina,Constempellina,Constempellina
Constempellina sp. C,FALSE,,Constempellina,Constempellina,Constempellina,Constempellina,Constempellina,Constempellina
Copelatus,FALSE,,DNI,Copelatinae,Copelatinae,DNI,Copelatinae,Copelatinae
Copepoda,TRUE,Copepoda excluded,DNI,DNI,DNI,DNI,DNI,DNI
Coptotomus,FALSE,,DNI,Coptotomus,Dytiscidae,DNI,Dytiscidae,Dytiscidae
Coptotomus longulus,FALSE,,DNI,Coptotomus,Dytiscidae,DNI,Dytiscidae,Dytiscidae
Corbicula,FALSE,,DNI,Corbicula,Corbicula,DNI,Corbicula,Corbicula
Corbicula fluminea,FALSE,,DNI,Corbicula,Corbicula,DNI,Corbicula,Corbicula
Corbiculidae,FALSE,,DNI,Corbicula,Corbicula,DNI,Corbicula,Corbicula
Corbiculoidea,FALSE,,DNI,Corbiculoidea,Corbiculoidea,DNI,Corbiculoidea,Corbiculoidea
Cordulegaster,FALSE,,Cordulegaster,Cordulegaster,Cordulegaster,DNI,Cordulegaster,Cordulegaster
Cordulegaster dorsalis,FALSE,,Cordulegaster,Cordulegaster,Cordulegaster,DNI,Cordulegaster,Cordulegaster
Cordulegastridae,FALSE,Only genus in family in the west,DNI,Cordulegaster,Cordulegastridae,DNI,Cordulegaster,Cordulegaster
Corduliidae,FALSE,,DNI,Corduliidae,Corduliidae,DNI,Corduliidae,Corduliidae
Corduliidae/Libellulidae,FALSE,,DNI,Anisoptera,Anisoptera,DNI,Anisoptera,Anisoptera
Corisella,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Corisella decolor,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Corixidae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Corophiidae,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Corophium,FALSE,,DNI,Americorophium,Americorophium,DNI,Americorophium,Americorophium
Corticacarus,FALSE,,DNI,Corticacarus,Trombidiformes,DNI,Corticacarus,Corticacarus
Corydalidae,FALSE,,Corydalidae,Corydalidae,Corydalidae,Corydalidae,Corydalidae,Corydalidae
Corydalus,FALSE,,Corydalidae,Corydalidae,Corydalidae,Corydalidae,Corydalidae,Corydalidae
Corydalus cornutus,FALSE,,Corydalidae,Corydalidae,Corydalidae,Corydalidae,Corydalidae,Corydalidae
Corynidae,FALSE,Hydrozoa,DNI,Hydra,Hydra,DNI,Hydra,Hydra
Corynoneura,FALSE,,Corynoneura,Corynoneura,Corynoneura,Corynoneura,Corynoneura,Corynoneura
Corynoneura/Thienemanniella,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI,Orthocladiinae,Orthocladiinae
Cottidae,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Crambidae,FALSE,Lot of these are terrestrial,DNI,DNI,Lepidoptera,DNI,DNI,DNI
Crangon,TRUE,marine,DNI,DNI,DNI,DNI,DNI,DNI
Crangonyctidae,FALSE,,DNI,Crangonyctidae,Crangonyctidae,DNI,Crangonyctidae,Crangonyctidae
Crangonyx,FALSE,,Crangonyx,Crangonyx,Crangonyx,DNI,Crangonyx,Crangonyx
Crassiclitellata,TRUE,Terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Crenitis,FALSE,,Hydrophilidae,Crenitis,Crenitis,Hydrophilidae,Crenitis,Crenitis
Cricotopus,FALSE,,DNI,Cricotopus,Cricotopus,DNI,Cricotopus,Cricotopus
Cricotopus (Cricotopus),FALSE,,DNI,Cricotopus,Cricotopus,DNI,Cricotopus,Cricotopus
Cricotopus (Isocladius),FALSE,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI,Cricotopus (Isocladius),Cricotopus (Isocladius)
Cricotopus (Isocladius) Type I,FALSE,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI,Cricotopus (Isocladius),Cricotopus (Isocladius)
Cricotopus (Nostoc.) nostocicola,FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus (Nostococladius),FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
