Version,4/4/2024
TOLVAL_ED,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALSOURCE_ED,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALWI,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKANOD,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKAAP,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKAHM,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKAPOC,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKASA,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKASSS,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALKASOURCE,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALIDSS,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TOLVALIDSSSOURCE,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
FFG_NM,"Functional Feeding Group. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
FFGSOURCE_NM,"Functional Feeding Group Source. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
FFG_ED,"Functional Feeding GroupSource file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
FFGSECONDARY,"Functional Feeding Group. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
FFGTERTIARY,"Functional Feeding Group. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
FFGSOURCE_ED,"Functional Feeding Group Source. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABIT_NM,"Habit. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITSECONDARY,"Habit. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITTERTIARY,"Habit. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITSOURCE,"Habit Source. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITATPRIMARY,"Habit. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITATSECONDARY,"Habit. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITATTERTIARY,"Habit. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
HABITATSOURCE,"Habit Source. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
LIFECYCLE_NM,"Life cycle (voltinism). Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
LIFECYCLESOURCE,"Life cycle (voltinism). Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
LIFECYCLE1,"Life cycle (voltinism). Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
LIFECYCLE1SOURCE,"Life cycle (voltinism). Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
LIFECYCLE2,"Life cycle (voltinism). Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
LIFECYCLE2SOURCE,"Life cycle (voltinism). Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TEMPTOLERANCE,"Thermal tolerance assignment. Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
TEMPTOLERANCESOURCE,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
COMMENTS_NM,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
JACOBI_ID,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
NM_TAXON_ID,"Source file: BENTHIC_FISH_MASTER_TAXA_02022024, 'Benthic Macros' worksheet. Provided by Zeigler, Meredith, ENV <Meredith.Zeigler@env.nm.gov> on February 2, 2024."
