orig_FinalID_NE,OTU_BCG_NE,modified_BCG,Notes,OTU_bcgTaxaTolAnal
Hydrellia,Hydrellia,FALSE,,HYDRELLIA
Hydrobaenus,Hydrobaenus,FALSE,,HYDROBAENUS
Hydrobiomorpha,Hydrobiomorpha,FALSE,,HYDROBIOMORPHA
Hydrobius,Hydrobius,FALSE,,HYDROBIUS
Hydrocanthus,Hydrocanthus,FALSE,,HYDROCANTHUS
Hydrochara,Hydrochara,FALSE,,HYDROCHARA
Hydrochus,Hydrochus,FALSE,,HYDROCHUS
Hydrodroma,Hydrodroma,FALSE,,HYDRODROMA
Hydrometra,Hydrometra,FALSE,,HYDROMETRA
Hydrometridae,Hydrometridae,FALSE,,
Hydrophilidae,Hydrophilidae,FALSE,,HYDROPHILIDAE
Hydrophilus,Hydrophilus,FALSE,,HYDROPHILUS
Hydroporinae,Hydroporinae,FALSE,,HYDROPORINAE
Hydroporus,Hydroporus,FALSE,,HYDROPORUS
Hydroporus undulatus,Hydroporus undulatus,FALSE,,HYDROPORUS UNDULATUS
Hydropsyche,Hydropsyche,FALSE,,HYDROPSYCHE
Hydropsyche arinale,Hydropsyche arinale,FALSE,,HYDROPSYCHE ARINALE
Hydropsyche betteni,Hydropsyche betteni,FALSE,,HYDROPSYCHE BETTENI
Hydropsyche bidens,Hydropsyche bidens,FALSE,,HYDROPSYCHE BIDENS
Hydropsyche bifida,Hydropsyche bifida,FALSE,,
Hydropsyche cuanis,Hydropsyche cuanis,FALSE,,HYDROPSYCHE CUANIS
Hydropsyche elissoma,Hydropsyche elissoma,FALSE,,
Hydropsyche frisoni,Hydropsyche frisoni,FALSE,,
Hydropsyche incommoda,Hydropsyche incommoda,FALSE,,HYDROPSYCHE INCOMMODA
Hydropsyche Morosa Gr.,Hydropsyche Morosa Gr.,FALSE,,HYDROPSYCHE MOROSA GROUP
Hydropsyche occidentalis,Hydropsyche occidentalis,FALSE,,HYDROPSYCHE OCCIDENTALIS
Hydropsyche orris,Hydropsyche orris,FALSE,,HYDROPSYCHE ORRIS
Hydropsyche scalaris,Hydropsyche scalaris,FALSE,,HYDROPSYCHE SCALARIS
Hydropsyche simulans,Hydropsyche simulans,FALSE,,HYDROPSYCHE SIMULANS
Hydropsyche venularis,Hydropsyche venularis,FALSE,,HYDROPSYCHE VENULARIS
Hydropsychidae,Hydropsychidae,FALSE,,HYDROPSYCHIDAE
Hydroptila,Hydroptila,FALSE,,HYDROPTILA
Hydroptilidae,Hydroptilidae,FALSE,,HYDROPTILIDAE
Hydrovatus,Hydrovatus,FALSE,,HYDROVATUS
Hydrozoa,Hydrozoa,FALSE,,HYDROZOA
Hydryphantidae,Hydryphantidae,FALSE,,HYDRYPHANTIDAE
Hygrobates,Hygrobates,FALSE,,HYGROBATES
Hygrotus,Hygrotus,FALSE,,HYGROTUS
Hylogomphus,Hylogomphus,FALSE,,
Ilybius,Ilybius,FALSE,,ILYBIUS
Ilyodrilus templetoni,Ilyodrilus templetoni,FALSE,,ILYODRILUS TEMPLETONI
Ironoquia,Ironoquia,FALSE,,IRONOQUIA
Ischnura,Ischnura,FALSE,,ISCHNURA
Isochaetides curvisetosus,Isochaetides curvisetosus,FALSE,,ISOCHAETIDES CURVISETOSUS
Isogenus,Isogenus,FALSE,,
Isonychia,Isonychia,FALSE,,ISONYCHIA
Isoperla,Isoperla,FALSE,,ISOPERLA
Isopoda,Isopoda,FALSE,,ISOPODA
Isotomidae,Isotomidae,FALSE,,ISOTOMIDAE
Isotomurus,Isotomurus,FALSE,,ISOTOMURUS
Isotomurus palustris,Isotomurus palustris,FALSE,,
Iswaeon,Iswaeon,FALSE,,ISWAEON
Ithytrichia,Ithytrichia,FALSE,,ITHYTRICHIA
Kloosia,Kloosia,FALSE,,KLOOSIA
Koenikea,Koenikea,FALSE,,KOENIKEA
Krendowskia,Krendowskia,FALSE,,KRENDOWSKIA
Labiobaetis,Labiobaetis,FALSE,,LABIOBAETIS
Labrundinia,Labrundinia,FALSE,,LABRUNDINIA
Laccobius,Laccobius,FALSE,,LACCOBIUS
Laccophilus,Laccophilus,FALSE,,LACCOPHILUS
Lachlania,Lachlania,FALSE,,LACHLANIA
Ladona,Ladona,FALSE,,LADONA
Lampsilis cardium,Lampsilis cardium,FALSE,,LAMPSILIS CARDIUM
Lampsilis radiata,Lampsilis radiata,FALSE,,LAMPSILIS RADIATA
Lampsilis siliquoidea,Lampsilis siliquoidea,FALSE,,LAMPSILIS SILIQUOIDEA
Lampsilis teres,Lampsilis teres,FALSE,,LAMPSILIS TERES
Larsia,Larsia,FALSE,,LARSIA
Lasmigona complanata,Lasmigona complanata,FALSE,,LASMIGONA COMPLANATA
Lauterborniella,Lauterborniella,FALSE,,LAUTERBORNIELLA
Lebertia,Lebertia,FALSE,,LEBERTIA
Lepidoptera,Lepidoptera,FALSE,,LEPIDOPTERA
Lepidostoma,Lepidostoma,FALSE,,LEPIDOSTOMA
Leptoceridae,Leptoceridae,FALSE,,LEPTOCERIDAE
Leptocerus,Leptocerus,FALSE,,LEPTOCERUS
Leptocerus americanus,Leptocerus americanus,FALSE,,LEPTOCERUS AMERICANUS
Leptodea fragilis,Leptodea fragilis,FALSE,,LEPTODEA FRAGILIS
Leptophlebia,Leptophlebia,FALSE,,LEPTOPHLEBIA
Leptophlebiidae,Leptophlebiidae,FALSE,,LEPTOPHLEBIIDAE
Lestes,Lestes,FALSE,,LESTES
Lestidae,Lestidae,FALSE,,LESTIDAE
Lethocerus,Lethocerus,FALSE,,LETHOCERUS
Leucorrhinia,Leucorrhinia,FALSE,,LEUCORRHINIA
Leucotrichia,Leucotrichia,FALSE,,LEUCOTRICHIA
Leucotrichia pictipes,Leucotrichia pictipes,FALSE,,LEUCOTRICHIA PICTIPES
Leucrocuta,Leucrocuta,FALSE,,LEUCROCUTA
Libellula,Libellula,FALSE,,LIBELLULA
Libellula luctuosa,Libellula luctuosa,FALSE,,LIBELLULA LUCTUOSA
Libellulidae,Libellulidae,FALSE,,LIBELLULIDAE
Ligumia,Ligumia,FALSE,,LIGUMIA
Ligumia recta,Ligumia recta,FALSE,,LIGUMIA RECTA
Limnephilidae,Limnephilidae,FALSE,,LIMNEPHILIDAE
Limnephilus,Limnephilus,FALSE,,LIMNEPHILUS
Limnesia,Limnesia,FALSE,,LIMNESIA
Limnodrilus,Limnodrilus,FALSE,,LIMNODRILUS
Limnodrilus cervix,Limnodrilus cervix,FALSE,,LIMNODRILUS CERVIX
Limnodrilus claparedianus,Limnodrilus claparedianus,FALSE,,LIMNODRILUS CLAPAREDIANUS
Limnodrilus hoffmeisteri,Limnodrilus hoffmeisteri,FALSE,,LIMNODRILUS HOFFMEISTERI
Limnodrilus profundicola,Limnodrilus profundicola,FALSE,,
Limnodrilus udekemianus,Limnodrilus udekemianus,FALSE,,LIMNODRILUS UDEKEMIANUS
Limnophila,Limnophila,FALSE,,LIMNOPHILA
Limnophora,Limnophora,FALSE,,LIMNOPHORA
Limnophyes,Limnophyes,FALSE,,LIMNOPHYES
Limnoporus,Limnoporus,FALSE,,LIMNOPORUS
Limonia,Limonia,FALSE,,LIMONIA
Limoniidae,Limoniidae,FALSE,tricky Tipulidae taxonomy. Left as is for now,
Liodessus,Liodessus,FALSE,,LIODESSUS
Liodessus affinis,Liodessus affinis,FALSE,,LIODESSUS AFFINIS
Lipogomphus,Lipogomphus,FALSE,,LIPOGOMPHUS
Lopescladius,Lopescladius,FALSE,,LOPESCLADIUS
Lumbricidae,Lumbricidae,FALSE,,LUMBRICIDAE
Lumbriculidae,Lumbriculidae,FALSE,,LUMBRICULIDAE
Lumbriculus,Lumbriculus,FALSE,,LUMBRICULUS
Lumbriculus variegatus,Lumbriculus variegatus,FALSE,,LUMBRICULUS VARIEGATUS
Lymnaea,Lymnaea,FALSE,,LYMNAEA
Lymnaea stagnalis,Lymnaea stagnalis,FALSE,,LYMNAEA STAGNALIS
Lymnaeidae,Lymnaeidae,FALSE,,LYMNAEIDAE
Lype,Lype,FALSE,,LYPE
Maccaffertium,Maccaffertium,FALSE,,MACCAFFERTIUM
Maccaffertium exiguum,Maccaffertium exiguum,FALSE,,MACCAFFERTIUM EXIGUUM
Maccaffertium mexicanum,Maccaffertium mexicanum,FALSE,,MACCAFFERTIUM MEXICANUM
Macrobdella,Macrobdella,FALSE,,MACROBDELLA
Macrobdella decora,Macrobdella decora,FALSE,,MACROBDELLA DECORA
Macrobdella ditetra,Macrobdella ditetra,FALSE,,
Macromia,Macromia,FALSE,,MACROMIA
Macronychus,Macronychus,FALSE,,MACRONYCHUS
Macronychus glabratus,Macronychus glabratus,FALSE,,MACRONYCHUS GLABRATUS
Macropelopia,Macropelopia,FALSE,,MACROPELOPIA
Macropelopiini,Macropelopiini,FALSE,,MACROPELOPIINI
Malenka,Malenka,FALSE,,
Mallochohelea,Mallochohelea,FALSE,,MALLOCHOHELEA
Mayatrichia,Mayatrichia,FALSE,,MAYATRICHIA
Megaloptera,Megaloptera,FALSE,,MEGALOPTERA
Mesenchytraeus,Mesenchytraeus,FALSE,,MESENCHYTRAEUS
Mesosmittia,Mesosmittia,FALSE,,MESOSMITTIA
Mesovelia,Mesovelia,FALSE,,MESOVELIA
Metrichia,Metrichia,FALSE,,METRICHIA
Metriocnemus,Metriocnemus,FALSE,,METRIOCNEMUS
Metrobates,Metrobates,FALSE,,METROBATES
Micracanthia,Micracanthia,FALSE,,MICRACANTHIA
Microchironomus,Microchironomus,FALSE,,MICROCHIRONOMUS
Microcylloepus,Microcylloepus,FALSE,,MICROCYLLOEPUS
Microcylloepus pusillus,Microcylloepus pusillus,FALSE,,MICROCYLLOEPUS PUSILLUS
Micropsectra,Micropsectra,FALSE,,MICROPSECTRA
Microtendipes,Microtendipes,FALSE,,MICROTENDIPES
Microvelia,Microvelia,FALSE,,MICROVELIA
Mideopsis,Mideopsis,FALSE,,MIDEOPSIS
Molanna,Molanna,FALSE,,MOLANNA
Molophilus,Molophilus,FALSE,,MOLOPHILUS
Mooreobdella,Mooreobdella,FALSE,,MOOREOBDELLA
Mooreobdella fervida,Mooreobdella fervida,FALSE,,MOOREOBDELLA FERVIDA
Mooreobdella microstoma,Mooreobdella microstoma,FALSE,,MOOREOBDELLA MICROSTOMA
Moselyana,Moselyana,FALSE,,
Muscidae,Muscidae,FALSE,,MUSCIDAE
Musculium,Musculium,FALSE,,MUSCULIUM
Musculium securis,Musculium securis,FALSE,,MUSCULIUM SECURIS
Musculium transversum,Musculium transversum,FALSE,,MUSCULIUM TRANSVERSUM
Myzobdella,Myzobdella,FALSE,,
Naididae,Naididae,FALSE,,NAIDIDAE
Naidinae,Naidinae,FALSE,,NAIDINAE
Nais,Nais,FALSE,,NAIS
Nais alpina,Nais alpina,FALSE,,NAIS ALPINA
Nais barbata,Nais barbata,FALSE,,
Nais behningi,Nais behningi,FALSE,,NAIS BEHNINGI
Nais bretscheri,Nais bretscheri,FALSE,,NAIS BRETSCHERI
Nais communis,Nais communis,FALSE,,NAIS COMMUNIS
Nais communis/variabilis complex,Nais communis/variabilis complex,FALSE,,NAIS COMMUNIS/VARIABILIS COMPLEX
Nais elinguis,Nais elinguis,FALSE,,NAIS ELINGUIS
Nais pardalis,Nais pardalis,FALSE,,NAIS PARDALIS
Nais pseudobtusa,Nais pseudobtusa,FALSE,,NAIS PSEUDOBTUSA
Nais simplex,Nais simplex,FALSE,,NAIS SIMPLEX
Nais variabilis,Nais variabilis,FALSE,,NAIS VARIABILIS
Nanocladius,Nanocladius,FALSE,,NANOCLADIUS
Nasiaeschna pentacantha,Nasiaeschna pentacantha,FALSE,,NASIAESCHNA PENTACANTHA
Natarsia,Natarsia,FALSE,,NATARSIA
Naucoridae,Naucoridae,FALSE,,NAUCORIDAE
Nebrioporus,Nebrioporus,FALSE,,NEBRIOPORUS
Nectopsyche,Nectopsyche,FALSE,,NECTOPSYCHE
Nectopsyche candida,Nectopsyche candida,FALSE,,NECTOPSYCHE CANDIDA
Nectopsyche diarina,Nectopsyche diarina,FALSE,,NECTOPSYCHE DIARINA
Nectopsyche pavida,Nectopsyche pavida,FALSE,,NECTOPSYCHE PAVIDA
Nehalennia,Nehalennia,FALSE,,NEHALENNIA
Nemata,Nemata,FALSE,,NEMATA
Nematoda,Nematoda,FALSE,,NEMATODA
Nematomorpha,Nematomorpha,FALSE,,NEMATOMORPHA
Nemotelus,Nemotelus,FALSE,,NEMOTELUS
Nemoura,Nemoura,FALSE,,NEMOURA
Nemouridae,Nemouridae,FALSE,,NEMOURIDAE
Neoacarus,Neoacarus,FALSE,,
Neochoroterpes,Neochoroterpes,FALSE,,NEOCHOROTERPES
Neoelmis,Neoelmis,FALSE,,NEOELMIS
Neogerris hesione,Neogerris hesione,FALSE,,NEOGERRIS HESIONE
Neoperla,Neoperla,FALSE,,NEOPERLA
Neoperla clymene,Neoperla clymene,FALSE,,NEOPERLA CLYMENE
Neophylax,Neophylax,FALSE,,NEOPHYLAX
Neoplasta,Neoplasta,FALSE,,NEOPLASTA
Neoplea,Neoplea,FALSE,,NEOPLEA
Neoplea striola,Neoplea striola,FALSE,,NEOPLEA STRIOLA
Neoporus,Neoporus,FALSE,,NEOPORUS
Neotrichia,Neotrichia,FALSE,,NEOTRICHIA
Nepa,Nepa,FALSE,,NEPA
Nepa apiculata,Nepa apiculata,FALSE,,NEPA APICULATA
Nepidae,Nepidae,FALSE,,NEPIDAE
Nepticulidae,Nepticulidae,FALSE,,NEPTICULIDAE
Neumania,Neumania,FALSE,,NEUMANIA
Neureclipsis,Neureclipsis,FALSE,,NEURECLIPSIS
Nigronia,Nigronia,FALSE,,NIGRONIA
Nilotanypus,Nilotanypus,FALSE,,NILOTANYPUS
Noctuidae,Noctuidae,FALSE,,NOCTUIDAE
Noteridae,Noteridae,FALSE,,
Notonecta,Notonecta,FALSE,,NOTONECTA
Notonectidae,Notonectidae,FALSE,,NOTONECTIDAE
Nyctiophylax,Nyctiophylax,FALSE,,NYCTIOPHYLAX
Ochrotrichia,Ochrotrichia,FALSE,,OCHROTRICHIA
Ochthebius,Ochthebius,FALSE,,OCHTHEBIUS
Odonata,Odonata,FALSE,,ODONATA
Odontoceridae,Odontoceridae,FALSE,,ODONTOCERIDAE
Odontomesa,Odontomesa,FALSE,,ODONTOMESA
Odontomyia,Odontomyia,FALSE,,ODONTOMYIA
Oecetis,Oecetis,FALSE,,OECETIS
Oecetis avara,Oecetis avara,FALSE,,OECETIS AVARA
Oecetis cinerascens,Oecetis cinerascens,FALSE,,OECETIS CINERASCENS
Oligochaeta,Oligochaeta,FALSE,,OLIGOCHAETA
Oligoneuriidae,Oligoneuriidae,FALSE,,OLIGONEURIIDAE
Ophidonais serpentina,Ophidonais serpentina,FALSE,,OPHIDONAIS SERPENTINA
Ophiogomphus,Ophiogomphus,FALSE,,OPHIOGOMPHUS
Optioservus,Optioservus,FALSE,,OPTIOSERVUS
Orconectes,Orconectes,FALSE,,ORCONECTES
Orconectes immunis,Orconectes immunis,FALSE,,ORCONECTES IMMUNIS
Orconectes virilis,Orconectes virilis,FALSE,,ORCONECTES VIRILIS
Oreodytes,Oreodytes,FALSE,,OREODYTES
Oribatida,Oribatida,FALSE,,ORIBATIDA
Ormosia,Ormosia,FALSE,,ORMOSIA
Ormosia arcuata,Ormosia arcuata,FALSE,,
Orthocladiinae,Orthocladiinae,FALSE,,ORTHOCLADIINAE
Orthocladius,Orthocladius,FALSE,,ORTHOCLADIUS
Orthocladius lignicola,Orthocladius lignicola,FALSE,,
Orthocladius mallochi,Orthocladius mallochi,FALSE,,
Orthocladius obumbratus,Orthocladius obumbratus,FALSE,,ORTHOCLADIUS OBUMBRATUS
Orthocladius wiensi,Orthocladius wiensi,FALSE,,
Orthopodomyia,Orthopodomyia,FALSE,,
Orthotrichia,Orthotrichia,FALSE,,ORTHOTRICHIA
Orthotrichia cristata,Orthotrichia cristata,FALSE,,
Ostracoda,Ostracoda,FALSE,,OSTRACODA
Oulimnius,Oulimnius,FALSE,,OULIMNIUS
Oxycera,Oxycera,FALSE,,OXYCERA
Oxyethira,Oxyethira,FALSE,,OXYETHIRA
Pagastia,Pagastia,FALSE,,PAGASTIA
Palaemon,Palaemon,FALSE,,PALAEMON
Palingeniidae,Palingeniidae,FALSE,,PALINGENIIDAE
Palmacorixa,Palmacorixa,FALSE,,PALMACORIXA
Palpomyia,Palpomyia,FALSE,,PALPOMYIA
Pantala,Pantala,FALSE,,PANTALA
Parachaetocladius,Parachaetocladius,FALSE,,PARACHAETOCLADIUS
Parachironomus,Parachironomus,FALSE,,PARACHIRONOMUS
Parachironomus abortivus,Parachironomus abortivus,FALSE,,
Parachironomus directus,Parachironomus directus,FALSE,,PARACHIRONOMUS DIRECTUS
Paracladius,Paracladius,FALSE,,PARACLADIUS
Paracladopelma,Paracladopelma,FALSE,,PARACLADOPELMA
Paracloeodes,Paracloeodes,FALSE,,PARACLOEODES
Paracloeodes minutus,Paracloeodes minutus,FALSE,,PARACLOEODES MINUTUS
Paracymus,Paracymus,FALSE,,PARACYMUS
Paragnetina,Paragnetina,FALSE,,PARAGNETINA
Paragordius,Paragordius,FALSE,,PARAGORDIUS
Parakiefferiella,Parakiefferiella,FALSE,,PARAKIEFFERIELLA
Paralauterborniella,Paralauterborniella,FALSE,,PARALAUTERBORNIELLA
Paralauterborniella nigrohalterale,Paralauterborniella nigrohalterale,FALSE,,PARALAUTERBORNIELLA NIGROHALTERALE
Paralauterborniella nigrohalteralis,Paralauterborniella nigrohalterale,TRUE,spelling,PARALAUTERBORNIELLA NIGROHALTERALE
Paraleptophlebia,Paraleptophlebia,FALSE,,PARALEPTOPHLEBIA
Paralimnophyes,Paralimnophyes,FALSE,,
Paramerina,Paramerina,FALSE,,PARAMERINA
Parametriocnemus,Parametriocnemus,FALSE,,PARAMETRIOCNEMUS
Paranais,Paranais,FALSE,,PARANAIS
Paranais frici,Paranais frici,FALSE,,
Paraphaenocladius,Paraphaenocladius,FALSE,,PARAPHAENOCLADIUS
Paraplea,Paraplea,FALSE,,PARAPLEA
Paratanytarsus,Paratanytarsus,FALSE,,PARATANYTARSUS
Paratendipes,Paratendipes,FALSE,,PARATENDIPES
Pedicia,Pedicia,FALSE,,PEDICIA
Pelecypoda,Pelecypoda,FALSE,,PELECYPODA
Pelocoris,Pelocoris,FALSE,,PELOCORIS
Pelocoris femoratus,Pelocoris femoratus,FALSE,,PELOCORIS FEMORATUS
Peloscolex multisetosus,Peloscolex multisetosus,FALSE,,
Peloscolex superiorensis,Peloscolex superiorensis,FALSE,,
Peltodytes,Peltodytes,FALSE,,PELTODYTES
Peltoperla,Peltoperla,FALSE,,PELTOPERLA
Pentagenia,Pentagenia,FALSE,,PENTAGENIA
Pentaneura,Pentaneura,FALSE,,PENTANEURA
Pericoma,Pericoma,FALSE,,PERICOMA
Perithemis,Perithemis,FALSE,,PERITHEMIS
Perithemis tenera,Perithemis tenera,FALSE,,PERITHEMIS TENERA
Perlesta,Perlesta,FALSE,,PERLESTA
Perlesta placida,Perlesta placida,FALSE,,
Perlidae,Perlidae,FALSE,,PERLIDAE
Perlodidae,Perlodidae,FALSE,,PERLODIDAE
Petrophila,Petrophila,FALSE,,PETROPHILA
Phaenopsectra,Phaenopsectra,FALSE,,PHAENOPSECTRA
Phoridae,Phoridae,FALSE,,PHORIDAE
Phryganea,Phryganea,FALSE,,PHRYGANEA
Phryganeidae,Phryganeidae,FALSE,,PHRYGANEIDAE
Physa,Physa,FALSE,,PHYSA
Physella,Physella,FALSE,,PHYSELLA
Physidae,Physidae,FALSE,,PHYSIDAE
Pilaria,Pilaria,FALSE,,PILARIA
Piona,Piona,FALSE,,PIONA
Pisidiidae,Pisidiidae,FALSE,,PISIDIIDAE
Pisidium,Pisidium,FALSE,,PISIDIUM
Pisidium adamsi,Pisidium adamsi,FALSE,,
Pisidium casertanum,Pisidium casertanum,FALSE,,PISIDIUM CASERTANUM
Pisidium compressum,Pisidium compressum,FALSE,,PISIDIUM COMPRESSUM
Placobdella,Placobdella,FALSE,,PLACOBDELLA
Placobdella montifera,Placobdella montifera,FALSE,,PLACOBDELLA MONTIFERA
Placobdella multilineata,Placobdella multilineata,FALSE,,PLACOBDELLA MULTILINEATA
Placobdella ornata,Placobdella ornata,FALSE,,PLACOBDELLA ORNATA
Placobdella papillifera,Placobdella papillifera,FALSE,,PLACOBDELLA PAPILLIFERA
Placobdella parasitica,Placobdella parasitica,FALSE,,PLACOBDELLA PARASITICA
Planariidae,Planariidae,FALSE,,PLANARIIDAE
Planorbella,Planorbella,FALSE,,PLANORBELLA
Planorbidae,Planorbidae,FALSE,,PLANORBIDAE
Platambus,Platambus,FALSE,,PLATAMBUS
Plathemis,Plathemis,FALSE,,PLATHEMIS
Platycentropus,Platycentropus,FALSE,,PLATYCENTROPUS
Plauditus,Plauditus,FALSE,,PLAUDITUS
Plecoptera,Plecoptera,FALSE,,PLECOPTERA
Pleidae,Pleidae,FALSE,,PLEIDAE
Plumatella,Plumatella,FALSE,,
Podura,Podura,FALSE,,PODURA
Polycentropodidae,Polycentropodidae,FALSE,,POLYCENTROPODIDAE
Polycentropus,Polycentropus,FALSE,,POLYCENTROPUS
Polypedilum,Polypedilum,FALSE,,POLYPEDILUM
Polypedilum aviceps,Polypedilum aviceps,FALSE,,POLYPEDILUM AVICEPS
Polypedilum bergi,Polypedilum bergi,FALSE,,POLYPEDILUM BERGI
Polypedilum convictum,Polypedilum convictum,FALSE,,POLYPEDILUM CONVICTUM GROUP
Polypedilum fallax,Polypedilum Fallax Group,TRUE,CAPS and group,POLYPEDILUM FALLAX GROUP
Polypedilum Fallax Gr.,Polypedilum Fallax Group,TRUE,CAPS and group,POLYPEDILUM FALLAX GROUP
Polypedilum flavum,Polypedilum flavum,FALSE,,POLYPEDILUM FLAVUM
Polypedilum halterale,Polypedilum Halterale Group,TRUE,CAPS and group,POLYPEDILUM HALTERALE GROUP
Polypedilum Halterale Gr.,Polypedilum Halterale Group,TRUE,CAPS and group,POLYPEDILUM HALTERALE GROUP
Polypedilum illinoense,Polypedilum Illinoense Group,TRUE,CAPS and group,POLYPEDILUM ILLINOENSE GROUP
Polypedilum Illinoense Gr.,Polypedilum Illinoense Group,TRUE,CAPS and group,POLYPEDILUM ILLINOENSE GROUP
Polypedilum laetum,Polypedilum laetum,FALSE,,POLYPEDILUM LAETUM
Polypedilum scalaenum,Polypedilum Scalaenum Group,TRUE,CAPS and group,POLYPEDILUM SCALAENUM GROUP
Polypedilum Scalaenum Gr.,Polypedilum Scalaenum Group,TRUE,CAPS and group,POLYPEDILUM SCALAENUM GROUP
Polypedilum simulans,Polypedilum simulans,FALSE,,POLYPEDILUM SIMULANS
Polypedilum trigonum,Polypedilum trigonum,FALSE,,POLYPEDILUM TRIGONUM
Polypedilum trigonus,Polypedilum trigonus,FALSE,check spelling,POLYPEDILUM TRIGONUS
Polypedilum tritum,Polypedilum tritum,FALSE,,POLYPEDILUM TRITUM
Potamanthus,Potamanthus,FALSE,,
Potamilus alatus,Potamilus alatus,FALSE,,POTAMILUS ALATUS
Potamilus purpuratus,Potamilus purpuratus,FALSE,,
Potamothrix bavaricus,Potamothrix bavaricus,FALSE,,
Potamyia,Potamyia,FALSE,,POTAMYIA
Potamyia flava,Potamyia flava,FALSE,,POTAMYIA FLAVA
Potthastia,Potthastia,FALSE,,POTTHASTIA
Pristina,Pristina,FALSE,,PRISTINA
Pristina aequiseta,Pristina aequiseta,FALSE,,PRISTINA AEQUISETA
Pristina longiseta,Pristina longiseta,FALSE,,PRISTINA LONGISETA
Pristina longiseta longiseta,Pristina longiseta,TRUE,removed subspecies,
Pristina longisoma,Pristina longisoma,FALSE,,
Pristina osborni,Pristina osborni,FALSE,,
Pristina sima,Pristina sima,FALSE,,
Pristinella,Pristinella,FALSE,,PRISTINELLA
Probezzia,Probezzia,FALSE,,PROBEZZIA
Procladius,Procladius,FALSE,,PROCLADIUS
Procloeon,Procloeon,FALSE,,PROCLOEON
Prodiamesa,Prodiamesa,FALSE,,PRODIAMESA
Progomphus,Progomphus,FALSE,,PROGOMPHUS
Progomphus obscurus,Progomphus obscurus,FALSE,,PROGOMPHUS OBSCURUS
Promenetus,Promenetus,FALSE,,PROMENETUS
Prostoma,Prostoma,FALSE,,PROSTOMA
Prostoma graecense,Prostoma graecense,FALSE,,PROSTOMA GRAECENSE
Protanypus,Protanypus,FALSE,,PROTANYPUS
Protoptila,Protoptila,FALSE,,PROTOPTILA
Psectrocladius,Psectrocladius,FALSE,,PSECTROCLADIUS
Psectrotanypus,Psectrotanypus,FALSE,,PSECTROTANYPUS
Psephenidae,Psephenidae,FALSE,,PSEPHENIDAE
Pseudiron centralis,Pseudiron centralis,FALSE,,PSEUDIRON CENTRALIS
Pseudochironomus,Pseudochironomus,FALSE,,PSEUDOCHIRONOMUS
Pseudocloeon,Pseudocloeon,FALSE,,PSEUDOCLOEON
Pseudolimnophila,Pseudolimnophila,FALSE,,PSEUDOLIMNOPHILA
Pseudorthocladius,Pseudorthocladius,FALSE,,PSEUDORTHOCLADIUS
Pseudosmittia,Pseudosmittia,FALSE,,PSEUDOSMITTIA
Pseudostenophylax,Pseudostenophylax,FALSE,,PSEUDOSTENOPHYLAX
Pseudosuccinea columella,Pseudosuccinea columella,FALSE,,PSEUDOSUCCINEA COLUMELLA
Psilometriocnemus,Psilometriocnemus,FALSE,,PSILOMETRIOCNEMUS
Psilometriocnemus triannulatus,Psilometriocnemus triannulatus,FALSE,,PSILOMETRIOCNEMUS TRIANNULATUS
Psychoda,Psychoda,FALSE,,PSYCHODA
Psychodidae,Psychodidae,FALSE,,PSYCHODIDAE
Pteronarcyidae,Pteronarcyidae,FALSE,,PTERONARCYIDAE
Pteronarcys,Pteronarcys,FALSE,,PTERONARCYS
Pteronarcys californica,Pteronarcys californica,FALSE,,
Pteronarcys dorsata,Pteronarcys dorsata,FALSE,,PTERONARCYS DORSATA
Ptilostomis,Ptilostomis,FALSE,,PTILOSTOMIS
Ptychoptera,Ptychoptera,FALSE,,PTYCHOPTERA
Pycnopsyche,Pycnopsyche,FALSE,,PYCNOPSYCHE
Pyganodon grandis,Pyganodon grandis,FALSE,,PYGANODON GRANDIS
Pyralidae,Pyralidae,FALSE,,PYRALIDAE
Quadrula quadrula,Quadrula quadrula,FALSE,,QUADRULA QUADRULA
Quistadrilus multisetosus,Quistadrilus multisetosus,FALSE,,QUISTADRILUS MULTISETOSUS
Quistradrilus,Quistadrilus,TRUE,correct spelling per itis.gov,QUISTADRILUS
Quistradrilus multisetosus,Quistadrilus multisetosus,TRUE,correct spelling per itis.gov,QUISTADRILUS MULTISETOSUS
Radotanypus,Radotanypus,FALSE,,RADOTANYPUS
Ranatra,Ranatra,FALSE,,RANATRA
Rhagovelia,Rhagovelia,FALSE,,RHAGOVELIA
Rhagovelia obesa,Rhagovelia obesa,FALSE,,RHAGOVELIA OBESA
Rhantus,Rhantus,FALSE,,RHANTUS
Rheocricotopus,Rheocricotopus,FALSE,,RHEOCRICOTOPUS
Rheosmittia,Rheosmittia,FALSE,,RHEOSMITTIA
Rheotanytarsus,Rheotanytarsus,FALSE,,RHEOTANYTARSUS
Rheotanytarsus akrina,Rheotanytarsus akrina,FALSE,,
Rheotanytarsus distinctissimus,Rheotanytarsus distinctissimus,FALSE,,
Rheumatobates,Rheumatobates,FALSE,,RHEUMATOBATES
Rheumatobates rileyi,Rheumatobates rileyi,FALSE,,RHEUMATOBATES RILEYI
Rhithrogena,Rhithrogena,FALSE,,RHITHROGENA
Rhyacophila,Rhyacophila,FALSE,,RHYACOPHILA
Robackia,Robackia,FALSE,,ROBACKIA
Robackia demeijerei,Robackia demeijerei,FALSE,,ROBACKIA DEMEIJEREI
