Taxon_Group,Taxon_Orig,Rank,NonTarget,Rationale,source_MPCA,source_RedLake,Notes,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety
,Acentrella parvula,Species,FALSE,,MN BCG Access db,,,747,Acentrella parvula,Acentrella,,609530,100801,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella parvula,
,Acentrella turbida,Species,FALSE,,MN BCG Access db,,,748,Acentrella turbida,Acentrella,,568574,100801,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella turbida,
,Acentrella/Baetis,Genus,FALSE,,MN BCG Access db,,,749,Acentrella/Baetis,Baetidae,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella/Baetis,,,
,Acentria,Genus,FALSE,,MN BCG Access db,,,874,Acentria,Acentria,,117741,117641,Arthropoda,,Insecta,Pterygota,Lepidoptera,Microlepidoptera,Pyralidae,Nymphulinae,Acentropini,Acentria,,,
,Acerpenna,Genus,FALSE,,MN BCG Access db,,,750,Acerpenna,Acerpenna,,568546,100755,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,,
,Acerpenna macdunnoughi,Species,FALSE,,MN BCG Access db,,,751,Acerpenna macdunnoughi,Acerpenna,,568671,568546,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,Acerpenna macdunnoughi,
,Acerpenna pygmaea,Species,FALSE,,MN BCG Access db,,,752,Acerpenna pygmaea,Acerpenna,,206620,568546,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,Acerpenna pygmaea,
,Acilius,Genus,FALSE,,MN BCG Access db,,,131,Acilius,Acilius,,112074,111963,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Acyliini,Acilius,,,
,Acricotopus,Genus,FALSE,,MN BCG Access db,,,473,Acricotopus,Acricotopus,,128463,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Acricotopus,,,
,Acroneuria,Genus,FALSE,,MN BCG Access db,,,1009,Acroneuria,Acroneuria,,102917,102914,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,,
,Acroneuria abnormis,Species,FALSE,,MN BCG Access db,,,1010,Acroneuria abnormis,Acroneuria,,102919,102917,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria abnormis,
,Acroneuria carolinensis,Species,FALSE,,MN BCG Access db,,,1011,Acroneuria carolinensis,Acroneuria,,102922,102917,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria carolinensis,
,Acroneuria evoluta,Species,FALSE,,MN BCG Access db,,,1458,Acroneuria evoluta,Acroneuria,,102923,102917,Arthropoda,,Insecta,Pterygota,Plecoptera,,Perlidae,,Acroneuriini,Acroneuria,,evoluta,
,Acroneuria frisoni,Species,FALSE,,MN BCG Access db,,,1012,Acroneuria frisoni,Acroneuria,,609897,102917,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria frisoni,
,Acroneuria internata,Species,FALSE,,MN BCG Access db,,,1013,Acroneuria internata,Acroneuria,,102925,102917,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria internata,
,Acroneuria lycorias,Species,FALSE,,MN BCG Access db,,,1014,Acroneuria lycorias,Acroneuria,,102918,102917,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria lycorias,
,Actinobdella,Genus,FALSE,,MN BCG Access db,,,12,Actinobdella,Hirudinea,,69384,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,,
,Actinobdella inequiannulata,Species,FALSE,,MN BCG Access db,,,1568,Actinobdella inequiannulata,Hirudinea,,69386,69384,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,inequiannulata,
,Aedes,Genus,FALSE,,MN BCG Access db,,,599,Aedes,Aedes,,126234,126233,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Culicidae,Culicinae,Culicini,Aedes,,,
,Aeolosomatidae,Family,FALSE,,MN BCG Access db,,,1459,Aeolosomatidae,Polychaeta,,68423,555668,Annelida,,Polychaeta,Polychaeta,Aeolosomatida,,Aeolosomatidae,,,,,,
,Aeshna,Genus,FALSE,,MN BCG Access db,,,899,Aeshna,Aeshna,,101603,101596,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,,
,Aeshna interrupta,Species,FALSE,,MN BCG Access db,,,1650,Aeshna interrupta,Aeshna,,185979,101603,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,interrupta,
,Aeshna umbrosa,Species,FALSE,,MN BCG Access db,,,1651,Aeshna umbrosa,Aeshna,,101605,101603,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,umbrosa,
,Aeshna verticalis,Species,FALSE,,MN BCG Access db,,,1652,Aeshna verticalis,Aeshna,,101607,101603,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,verticalis,
,Aeshnidae,Family,FALSE,,MN BCG Access db,,,898,Aeshnidae,Aeshnidae,,101596,101595,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,,,,
,Agabetes,Genus,FALSE,,MN BCG Access db,,,1653,Agabetes,Agabetes,,112072,728236,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Agabetini,Agabetes,,,
,Agabinae,Subfamily,FALSE,,,AWQMS_Invert_Data_Export,,,Agabinae,DNI,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Agabinae,,,,,
,Agabini,Tribe,FALSE,,,AWQMS_Invert_Data_Export,,,Agabini,DNI,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Agabinae,Agabini,,,,
,Agabus,Genus,FALSE,,MN BCG Access db,,OTU_BCG and phylogeny were incorrect (had been Agapetus),1233,Agabus,Agabus,,111966,111963,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Dytiscidae,Agabinae,Agabini,Agabus,,,
,Agapetus,Genus,FALSE,,MN BCG Access db,,,1234,Agapetus,Agapetus,,117121,117120,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,,Agapetus,,,
,Agapetus avitus,Species,FALSE,,MN BCG Access db,,,1235,Agapetus avitus,Agapetus,,117128,117121,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,,Agapetus,Agapetus,Agapetus avitus,
,Agarodes,Genus,FALSE,,MN BCG Access db,,,1222,Agarodes,Sericostomatidae,,116983,116982,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Agarodes,,,
,Agarodes distinctus,Species,FALSE,,MN BCG Access db,,,1654,Agarodes distinctus,Sericostomatidae,,116984,598764,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Agarodes,Agarodes (Psiloneura),distinctus,
,Agarodes libalis,Species,FALSE,,MN BCG Access db,,,1223,Agarodes libalis,Sericostomatidae,,116991,116983,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Agarodes,Agarodes (Psiloneura),libalis,
,Agnetina,Genus,FALSE,,MN BCG Access db,,,1024,Agnetina,Agnetina,,102975,102914,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina,,,
,Agnetina capitata,Species,FALSE,,MN BCG Access db,,,1025,Agnetina capitata,Agnetina,,102979,102975,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina,,Agnetina capitata,
,Agnetina flavescens,Species,FALSE,,MN BCG Access db,,,1026,Agnetina flavescens,Agnetina,,102984,102975,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina,,Agnetina flavescens,
,Agnetina/Paragnetina,Genus,FALSE,,MN BCG Access db,,,1027,Agnetina/Paragnetina,Perlidae,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina/Paragnetina,,,
,Agraylea,Genus,FALSE,,MN BCG Access db,,,1245,Agraylea,Agraylea,,115635,115629,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Hydroptilini,Agraylea,,,
,Agrypnia,Genus,FALSE,,MN BCG Access db,,,1216,Agrypnia,Agrypnia,,115882,115867,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Phryganeidae,Phryganeinae,,Agrypnia,,,
,Alaimidae,Family,FALSE,,MN BCG Access db,,,1800,Alaimidae,DNI,,63171,62921,Nemata,,Adenophorea,Enoplia,Dorylaimida,,Alaimidae,,,,,,
,Alaimus,Genus,FALSE,,MN BCG Access db,,,1396,Alaimus,DNI,,63186,63171,Nemata,,Adenophorea,Enoplia,Dorylaimida,,Alaimidae,,,Alaimus,,,
,Alboglossiphonia,Genus,FALSE,,MN BCG Access db,,,13,Alboglossiphonia,Hirudinea,,69388,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,,
,Alboglossiphonia heteroclita,Species,FALSE,,MN BCG Access db,,,1655,Alboglossiphonia heteroclita,Hirudinea,,69389,69388,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,heteroclita,
,Aleocharinae,Subfamily,FALSE,,MN BCG Access db,,,266,Aleocharinae,Staphylinidae,,678470,113265,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Staphylinidae,Aleocharinae,,,,,
,Alisotrichia,Genus,FALSE,,MN BCG Access db,,,1246,Alisotrichia,Alisotrichia,,181197,115398,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Leucotrichiini,Alisotrichia,,,
,Allocapnia,Genus,FALSE,,MN BCG Access db,,,975,Allocapnia,Capniidae,,102644,102643,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Capniidae,Capniinae,,Allocapnia,,,
,Allocapnia vivipara,Species,FALSE,,MN BCG Access db,,,976,Allocapnia vivipara,Capniidae,,102657,102644,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Capniidae,Capniinae,,Allocapnia,,Allocapnia vivipara,
,Allognosta,Genus,FALSE,,MN BCG Access db,,,301,Allognosta,Stratiomyidae,,130160,130155,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Beridinae,,Allognosta,,,
,Alloperla,Genus,FALSE,,MN BCG Access db,,,996,Alloperla,Chloroperlidae,,103203,103202,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Chloroperlidae,Chloroperlinae,,Alloperla,,,
,Alluaudomyia,Genus,FALSE,,MN BCG Access db,,,323,Alluaudomyia,Alluaudomyia,,127533,127526,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Ceratopogonini,Alluaudomyia,,,
,Alotanypus,Genus,FALSE,,MN BCG Access db,,,555,Alotanypus,Alotanypus,,206646,127995,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Alotanypus,,,
,Ambrysus,Genus,FALSE,,MN BCG Access db,,,857,Ambrysus,Naucoridae,,103614,103613,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Naucoridae,Ambrysinae,,Ambrysus,,,
,Ameletidae,Family,FALSE,,MN BCG Access db,,,1801,Ameletidae,Ameletidae,,568544,609500,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Ameletidae,,,,,,
,Ameletus,Genus,FALSE,,MN BCG Access db,,,742,Ameletus,Ameletidae,,100996,568544,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Ameletidae,,,Ameletus,,,
,Amercaenis,Genus,FALSE,,MN BCG Access db,,,669,Amercaenis,Amercaenis,,568555,101467,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Amercaenis,,,
,Amercaenis ridens,Species,FALSE,,MN BCG Access db,,,670,Amercaenis ridens,Amercaenis,,568623,568555,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Amercaenis,,Amercaenis ridens,
,Amnicola,Genus,FALSE,,MN BCG Access db,,,1380,Amnicola,Hydrobiidae,,70747,70493,Mollusca,,Gastropoda,,,,Hydrobiidae,Amnicolinae,,Amnicola,,,
,Amnicola limosus,Species,FALSE,,MN BCG Access db,,,1381,Amnicola limosus,Hydrobiidae,,70748,70747,Mollusca,,Gastropoda,,,,Hydrobiidae,Amnicolinae,,Amnicola,,Amnicola limosus,
,Amphiagrion,Genus,FALSE,,MN BCG Access db,,,1656,Amphiagrion,Amphiagrion,,102093,102077,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Amphiagrion,,,
,Amphiagrion saucium,Species,FALSE,,MN BCG Access db,,,1657,Amphiagrion saucium,Amphiagrion,,102095,102093,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Amphiagrion,,saucium,
,Amphicosmoecus,Genus,FALSE,,MN BCG Access db,,,1193,Amphicosmoecus,Amphicosmoecus,,116253,115933,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Dicosmoecinae,,Amphicosmoecus,,,
,Amphinemura,Genus,FALSE,,MN BCG Access db,,,990,Amphinemura,Nemouridae,,102540,102517,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Nemouridae,Amphinemurinae,,Amphinemura,,,
,Amphipoda,Order,FALSE,,MN BCG Access db,,,1284,Amphipoda,DNI,,93294,89802,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,
,Ampullariidae,Family,FALSE,,MN BCG Access db,,,1802,Ampullariidae,Ampullariidae,,70341,566847,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,Ampullariidae,,,,,,
,Anabolia,Genus,FALSE,,MN BCG Access db,,,1201,Anabolia,Anabolia,,115956,568768,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Limnephilini,Anabolia,,,
,Anacaena,Genus,FALSE,,MN BCG Access db,,,244,Anacaena,Anacaena,,112878,112811,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Anacaenini,Anacaena,,,
,Anacaena lutescens,Species,FALSE,,MN BCG Access db,,,1569,Anacaena lutescens,Anacaena,,722306,112878,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,,Anacaenini,Anacaena,,lutescens,
,Anafroptilum,Genus,FALSE,,MN BCG Access db,,,1843,Anafroptilum,Anafroptilum,,-63,100755,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Anafroptilum,,,
,Anax,Genus,FALSE,,MN BCG Access db,,,900,Anax,Anax,,101597,101596,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Anax,,,
,Anax junius,Species,FALSE,,MN BCG Access db,,,1546,Anax junius,Anax,,101598,101597,Arthropoda,,Insecta,Pterygota,Odonata,,Aeshnidae,,,Anax,,junius,
,Anchytarsus,Genus,FALSE,,MN BCG Access db,,,262,Anchytarsus,Ptilodactylidae,,114667,114666,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Ptilodactylidae,Anchytarsinae,,Anchytarsus,,,
,Anchytarsus bicolor,Species,FALSE,,MN BCG Access db,,,263,Anchytarsus bicolor,Ptilodactylidae,,114668,114667,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Ptilodactylidae,Anchytarsinae,,Anchytarsus,,Anchytarsus bicolor,
,Ancylidae,Family,FALSE,,MN BCG Access db,,,1337,Ancylidae,Ancylidae,,76568,76437,Mollusca,,Gastropoda,,Basommatophora,,Ancylidae,,,,,,
,Ancyronyx,Genus,FALSE,,MN BCG Access db,,,203,Ancyronyx,Ancyronyx,,114193,114093,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Ancyronyx,,,
,Ancyronyx variegata,Genus,FALSE,,MN BCG Access db,,,1515,Ancyronyx variegata,Ancyronyx,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Ancyronyx,,,
,Ancyronyx variegatus,Species,FALSE,,MN BCG Access db,,,204,Ancyronyx variegatus,Ancyronyx,,114194,114193,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Ancyronyx,,Ancyronyx variegatus,
,Anisitsiellidae,Family,FALSE,,MN BCG Access db,,,80,Anisitsiellidae,Acari,,83531,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Anisitsiellidae,,,,,,
,Anisocentropus,Genus,FALSE,,MN BCG Access db,,,1152,Anisocentropus,Anisocentropus,,116530,116529,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Calamoceratidae,Anisocentropodinae,,Anisocentropus,,,
,Anisocentropus pyraloides,Species,FALSE,,MN BCG Access db,,,1153,Anisocentropus pyraloides,Anisocentropus,,116531,116530,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Calamoceratidae,,,Anisocentropus,Anisocentropus (Anisocentropus),Anisocentropus pyraloides,
,Anisoptera,SubOrder,FALSE,,MN BCG Access db,,,897,Anisoptera,DNI,,101594,101593,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,
,Annelida,Phylum,FALSE,,MN BCG Access db,,,1,Annelida,DNI,,64357,202423,Annelida,,,,,,,,,,,,
,Annulipalpia,Family,FALSE,,MN BCG Access db,,,1455,Annulipalpia,DNI,,,115095,Arthropoda,,Insecta,Pterygota,Trichoptera,,Annulipalpia,,,,,,
,Anodonta,Genus,FALSE,,MN BCG Access db,,,1328,Anodonta,Unionidae,,79930,79913,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,Unionidae,,,Anodonta,,,
,Anodonta imbecillis,Species,FALSE,,MN BCG Access db,,,1412,Anodonta imbecillis,Unionidae,,79940,79930,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,Unionidae,,,Anodonta,,Anodonta imbecillis,
,Anopheles,Genus,FALSE,,MN BCG Access db,,,598,Anopheles,Anopheles,,125956,125955,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Culicidae,Anophelinae,,Anopheles,,,
,Anostraca,Order,FALSE,,MN BCG Access db,,,1295,Anostraca,DNI,,83688,83687,Arthropoda,Crustacea,Malacostraca,Sarsostraca,Anostraca,,,,,,,,
,Anthopotamus,Genus,FALSE,,MN BCG Access db,,,738,Anthopotamus,Anthopotamus,,568559,101509,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,,
,Anthopotamus distinctus,Species,FALSE,,MN BCG Access db,,,739,Anthopotamus distinctus,Anthopotamus,,609659,568559,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,Anthopotamus distinctus,
,Anthopotamus myops,Species,FALSE,,MN BCG Access db,,,740,Anthopotamus myops,Anthopotamus,,609660,568559,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,Anthopotamus myops,
,Anthopotamus neglectus,Species,FALSE,,MN BCG Access db,,,1413,Anthopotamus neglectus,Anthopotamus,,609661,568559,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,neglectus,
,Anthopotamus verticis,Species,FALSE,,MN BCG Access db,,,741,Anthopotamus verticis,Anthopotamus,,609662,568559,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,Anthopotamus verticis,
,Antichaeta,Genus,FALSE,,MN BCG Access db,,,299,Antichaeta,Sciomyzidae,,144771,144770,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Sciomyzidae,Sciomyzinae,Tetanocerini,Antichaeta,,,
,Antillocladius,Genus,FALSE,,MN BCG Access db,,,474,Antillocladius,Antillocladius,,128470,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Antillocladius,,,
,Antocha,Genus,FALSE,,MN BCG Access db,,,650,Antocha,Antocha,,119656,119655,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Limoniini,Antocha,,,
,Apatania,Genus,FALSE,,MN BCG Access db,,,1137,Apatania,Apatania,,115935,568765,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Apataniidae,Apataniinae,Apataniini,Apatania,,,
,Apatania incerta,Species,FALSE,,MN BCG Access db,,,1138,Apatania incerta,Apatania,,115938,115935,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Apataniidae,,Apataniini,Apatania,,Apatania incerta,
,Apataniidae,Family,FALSE,,MN BCG Access db,,,1803,Apataniidae,DNI,,598182,598162,Arthropoda,,Insecta,Pterygota,Trichoptera,,Apataniidae,,,,,,
,Apedilum,Genus,FALSE,,MN BCG Access db,,,348,Apedilum,Apedilum,,206655,129229,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Apedilum,,,
,Aphididae,Family,FALSE,,MN BCG Access db,,,1658,Aphididae,Aphididae,,109191,109190,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Sternorrhyncha,Aphididae,,,,,,
,Aphylla,Genus,FALSE,,MN BCG Access db,,,927,Aphylla,Aphylla,,101715,101664,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Aphylla,,,
,Aplexa,Genus,FALSE,,MN BCG Access db,,,1659,Aplexa,Aplexa,,76695,76676,Mollusca,,Gastropoda,,Basommatophora,,Physidae,,,Aplexa,,,
,Aplexa elongata,Species,FALSE,,MN BCG Access db,,,1351,Aplexa elongata,Aplexa,,76697,76695,Mollusca,,Gastropoda,,Basommatophora,,Physidae,,,Aplexa,,Aplexa elongata,
,Apsectrotanypus,Genus,FALSE,,MN BCG Access db,,,556,Apsectrotanypus,Apsectrotanypus,,128021,128020,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Apsectrotanypus,,,
,Aquarius,Genus,FALSE,,MN BCG Access db,,,1660,Aquarius,Gerridae,,-11,717532,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Aquarius,,,
,Aquarius remigis,Species,FALSE,,MN BCG Access db,,,843,Aquarius remigis,Gerridae,,717592,717547,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Aquarius,,Aquarius remigis,
,Arachnida,Class,FALSE,,,AWQMS_Invert_Data_Export,,,Arachnida,DNI,,,,Arthropoda,,Arachnida,,,,,,,,,,
,Archilestes,Genus,FALSE,,MN BCG Access db,,,1661,Archilestes,Archilestes,,102059,102058,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Lestidae,,,Archilestes,,,
,Archips,Genus,FALSE,,MN BCG Access db,,,872,Archips,Archips,,117857,117856,Arthropoda,,Insecta,Pterygota,Lepidoptera,,Tortricidae,Tortricinae,Archipini,Archips,,,
,Arcteonais,Genus,FALSE,,MN BCG Access db,,,1776,Arcteonais,Oligochaeta,,68975,68854,Annelida,,Clitellata,Oligochaeta,Tubificida,Tubificina,Naididae,,,Arcteonais,,,
