TAXON,NonTarget,FFG,Habit,Life_Cycle,Thermal_indicator,Rank,Taxon_Group,Plot_Label,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,GenusGroup_TolAnal,GenusSlash_TolAnal,SubGenus_TolAnal,SpeciesGroup_TolAnal,SpeciesSubGroup_TolAnal,SpeciesComplex _TolAnal,SpeciesSlash_TolAnal,Species_TolAnal
ABLABESMYIA HAUBERI,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA HAUBERI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,HAUBERI,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA ASPERA GROUP,,,,ABLABESMYIA HAUBERI
ABLABESMYIA IDEI,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA IDEI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,IDEI,,,ABLABESMYIA (KARELIA),,,,,ABLABESMYIA IDEI
ABLABESMYIA ILLINOENSIS,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA ILLINOENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,ILLINOENSIS,,,ABLABESMYIA (KARELIA),,,,,ABLABESMYIA ILLINOENSIS
ABLABESMYIA JANTA,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA JANTA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,JANTA,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA RHAMPHE GROUP,,,,ABLABESMYIA JANTA
ABLABESMYIA JANTA GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA JANTA GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA RHAMPHE GROUP,,,,
ABLABESMYIA MALLOCHI,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA MALLOCHI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,MALLOCHI,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA MALLOCHI GROUP,,,,ABLABESMYIA MALLOCHI
ABLABESMYIA MALLOCHI GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA MALLOCHI GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA MALLOCHI GROUP,,,,
ABLABESMYIA MONILIS,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA MONILIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,MONILIS,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA MONILIS GROUP,,,ABLABESMYIA MONILIS/RHAMPHE,ABLABESMYIA MONILIS
ABLABESMYIA MONILIS GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA MONILIS GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA MONILIS GROUP,,,,
ABLABESMYIA MONILIS/RHAMPHE,FALSE,PR,SP,multi,,Species slash,CHIRONOMIDAE,ABLABESMYIA MONILIS/RHAMPHE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),,,,ABLABESMYIA MONILIS/RHAMPHE,
ABLABESMYIA PARAJANTA,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA PARAJANTA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PARAJANTA,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA RHAMPHE GROUP,,,,ABLABESMYIA PARAJANTA
ABLABESMYIA PELEENSIS,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA PELEENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PELEENSIS,,,ABLABESMYIA (KARELIA),,,,,ABLABESMYIA PELEENSIS
ABLABESMYIA PHILOSPHAGNOS,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA PHILOSPHAGNOS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PHILOSPHAGNOS,,,ABLABESMYIA (KARELIA),,,,,ABLABESMYIA PHILOSPHAGNOS
ABLABESMYIA RHAMPHE GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA RHAMPHE GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA RHAMPHE GROUP,,,,
ABLABESMYIA SIMPSONI,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA SIMPSONI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,SIMPSONI,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA SIMPSONI GROUP,,,,ABLABESMYIA SIMPSONI
ABLABESMYIA SIMPSONI GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA SIMPSONI GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA SIMPSONI GROUP,,,,
ACALCARELLA,FALSE,NA,BU,multi,,Genus,CHIRONOMIDAE,ACALCARELLA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,ACALCARELLA,,,,,,,,,
ACAMPTOCLADIUS,FALSE,CG,BU,multi,,Genus,CHIRONOMIDAE,ACAMPTOCLADIUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,ACAMPTOCLADIUS,,,,,,,,,
ACAMPTOCLADIUS DENTOLATENS,FALSE,CG,BU,multi,,Species,CHIRONOMIDAE,ACAMPTOCLADIUS DENTOLATENS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,ACAMPTOCLADIUS,DENTOLATENS,,,,,,,,ACAMPTOCLADIUS DENTOLATENS
ACANTHAMETROPUS PECATONICA,FALSE,NA,NA,,,Species,EPHEMEROPTERA,ACANTHAMETROPODIDAE-ACANTHAMETROPUS PECATONICA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,ACANTHAMETROPODIDAE,,,ACANTHAMETROPUS,PECATONICA,,,,,,,,ACANTHAMETROPUS PECATONICA
ACANTHOSOMATIDAE,TRUE,NA,NA,,,Family,EXCLUDE-TERRESTRIAL,DNI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,ACANTHOSOMATIDAE,,,,,,,,,,,,
ACARI,FALSE,NA,NA,,,SubClass,OTHER NON-INSECT,DNI,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,,,,,,,,,,,,,,,,
ACELLA HALDEMANI,FALSE,NA,NA,,,Species,GASTROPODA,LYMNAEIDAE-ACELLA HALDEMANI,ANIMALIA,MOLLUSCA,,GASTROPODA,,BASOMMATOPHORA,,LYMNAEA SENSU HUBENDICK,LYMNAEIDAE,,,ACELLA,HALDEMANI,,,,,,,,ACELLA HALDEMANI
ACENTRELLA,FALSE,CG,"SW,CN",multi,,Genus,EPHEMEROPTERA,BAETIDAE-ACENTRELLA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,,,,,,,,,
ACENTRELLA INSIGNIFICANS,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACENTRELLA INSIGNIFICANS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,INSIGNIFICANS,,,,,,,,ACENTRELLA INSIGNIFICANS
ACENTRELLA NADINEAE,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACENTRELLA NADINEAE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,NADINEAE,,,,,,,,ACENTRELLA NADINEAE
ACENTRELLA PARVULA,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACENTRELLA PARVULA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,PARVULA,,,,,,,,ACENTRELLA PARVULA
ACENTRELLA RALLATOMA,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACENTRELLA RALLATOMA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,RALLATOMA,,,,,,,,ACENTRELLA RALLATOMA
ACENTRELLA TURBIDA,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACENTRELLA TURBIDA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,TURBIDA,,,,,,,,ACENTRELLA TURBIDA
ACERPENNA,FALSE,CG,"SW,CN",multi,,Genus,EPHEMEROPTERA,BAETIDAE-ACERPENNA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACERPENNA,,,,,,,,,
ACERPENNA MACDUNNOUGHI,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACERPENNA MACDUNNOUGHI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACERPENNA,MACDUNNOUGHI,,,,,,,,ACERPENNA MACDUNNOUGHI
ACERPENNA PYGMAEA,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-ACERPENNA PYGMAEA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACERPENNA,PYGMAEA,,,,,,,,ACERPENNA PYGMAEA
ACILIUS,FALSE,PR,SW,uni,,Genus,COLEOPTERA,DYTISCIDAE-ACILIUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,ACILIUS,,,,,,,,,
ACILIUS FRATERNUS,FALSE,PR,SW,uni,,Species,COLEOPTERA,DYTISCIDAE-ACILIUS FRATERNUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,ACILIUS,FRATERNUS,,,,,,,,ACILIUS FRATERNUS
ACILIUS MEDIATUS,FALSE,PR,SW,uni,,Species,COLEOPTERA,DYTISCIDAE-ACILIUS MEDIATUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,ACILIUS,MEDIATUS,,,,,,,,ACILIUS MEDIATUS
ACILIUS SEMISULCATUS,FALSE,PR,SW,uni,,Species,COLEOPTERA,DYTISCIDAE-ACILIUS SEMISULCATUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,ACILIUS,SEMISULCATUS,,,,,,,,ACILIUS SEMISULCATUS
ACILIUS SYLVANUS,FALSE,PR,SW,uni,,Species,COLEOPTERA,DYTISCIDAE-ACILIUS SYLVANUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,ACILIUS,SYLVANUS,,,,,,,,ACILIUS SYLVANUS
ACRICOTOPUS,FALSE,NA,SP,multi,,Genus,CHIRONOMIDAE,ACRICOTOPUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,ACRICOTOPUS,,,,,,,,,
ACRICOTOPUS NITIDELLUS,FALSE,NA,SP,multi,,Species,CHIRONOMIDAE,ACRICOTOPUS NITIDELLUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,ACRICOTOPUS,NITIDELLUS,,,,,,,,ACRICOTOPUS NITIDELLUS
ACRONEURIA,FALSE,PR,CN,,,Genus,PLECOPTERA,PERLIDAE-ACRONEURIA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,,,,,,,,,
ACRONEURIA ABNORMIS,FALSE,PR,CN,,,Species,PLECOPTERA,PERLIDAE-ACRONEURIA ABNORMIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,ABNORMIS,,,,,,,,ACRONEURIA ABNORMIS
ACRONEURIA CAROLINENSIS,FALSE,PR,CN,,,Species,PLECOPTERA,PERLIDAE-ACRONEURIA CAROLINENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,CAROLINENSIS,,,,,,,,ACRONEURIA CAROLINENSIS
ACRONEURIA EVOLUTA,FALSE,PR,CN,,,Species,PLECOPTERA,PERLIDAE-ACRONEURIA EVOLUTA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,EVOLUTA,,,,,,,ACRONEURIA EVOLUTA/FRISONI,ACRONEURIA EVOLUTA
ACRONEURIA EVOLUTA/FRISONI,FALSE,PR,CN,,,Species slash,PLECOPTERA,PERLIDAE-ACRONEURIA EVOLUTA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,,,,,,,,ACRONEURIA EVOLUTA/FRISONI,
ACRONEURIA FRISONI,FALSE,PR,CN,,,Species,PLECOPTERA,PERLIDAE-ACRONEURIA FRISONI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,FRISONI,,,,,,,ACRONEURIA EVOLUTA/FRISONI,ACRONEURIA FRISONI
ACRONEURIA INTERNATA,FALSE,PR,CN,,,Species,PLECOPTERA,PERLIDAE-ACRONEURIA INTERNATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,INTERNATA,,,,,,,,ACRONEURIA INTERNATA
ACRONEURIA LYCORIAS,FALSE,PR,CN,,,Species,PLECOPTERA,PERLIDAE-ACRONEURIA LYCORIAS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,LYCORIAS,,,,,,,,ACRONEURIA LYCORIAS
ACTINOBDELLA,FALSE,PR,SP,,,Genus,OTHER NON-INSECT,HIRUDINEA-ACTINOBDELLA,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,ACTINOBDELLA,,,,,,,,,
ACTINOBDELLA INEQUIANNULATA,FALSE,PR,SP,,,Species,OTHER NON-INSECT,HIRUDINEA-ACTINOBDELLA INEQUIANNULATA,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,ACTINOBDELLA,INEQUIANNULATA,,,,,,,,ACTINOBDELLA INEQUIANNULATA
ACTINONAIAS,FALSE,NA,NA,,,Genus,BIVALVIA,DNI,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,,ACTINONAIAS,,,,,,,,,
ACTINONAIAS CARINATA,FALSE,NA,NA,,,Species,BIVALVIA,DNI,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,,ACTINONAIAS,CARINATA,,,,,,,,ACTINONAIAS CARINATA
ACTINONAIAS ELLIPSIFORMIS,FALSE,NA,NA,,,Species,BIVALVIA,DNI,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,,ACTINONAIAS,ELLIPSIFORMIS,,,,,,,,ACTINONAIAS ELLIPSIFORMIS
ACTINONAIAS LIGAMENTINA,FALSE,NA,NA,,,Species,BIVALVIA,DNI,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,,ACTINONAIAS,LIGAMENTINA,,,,,,,,ACTINONAIAS LIGAMENTINA
ADICROPHLEPS,FALSE,SH,CN,,,Genus,TRICHOPTERA,BRACHYCENTRIDAE-ADICROPHLEPS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,BRACHYCENTRIDAE,,,ADICROPHLEPS,,,,,,,,,
ADICROPHLEPS HITCHCOCKI,FALSE,SH,CN,,,Species,TRICHOPTERA,BRACHYCENTRIDAE-ADICROPHLEPS HITCHCOCKI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,BRACHYCENTRIDAE,,,ADICROPHLEPS,HITCHCOCKI,,,,,,,,ADICROPHLEPS HITCHCOCKI
AEDES,FALSE,"CF,CG",SW,,,Genus,DIPTERA,CULICIDAE-AEDES,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,,,,,,,,,
AEDES ABSERRATUS,FALSE,"CF,CG",SW,,,Species,DIPTERA,CULICIDAE-AEDES ABSERRATUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,ABSERRATUS,,,,,,,,AEDES ABSERRATUS
AEDES ATROPALPUS,FALSE,"CF,CG",SW,,,Species,DIPTERA,CULICIDAE-AEDES ATROPALPUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,ATROPALPUS,,,,,,,,AEDES ATROPALPUS
AEDES AURIFER,FALSE,"CF,CG",SW,,,Species,DIPTERA,CULICIDAE-AEDES AURIFER,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,AURIFER,,,,,,,,AEDES AURIFER
AEDES CAMPESTRIS,FALSE,"CF,CG",SW,,,Species,DIPTERA,CULICIDAE-AEDES CAMPESTRIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,CAMPESTRIS,,,,,,,,AEDES CAMPESTRIS
AEDES CANADENSIS,FALSE,"CF,CG",SW,,,Species,DIPTERA,CULICIDAE-AEDES CANADENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,CANADENSIS,,,,,,,,AEDES CANADENSIS
