Taxon_Orig,OTU_TolAnal_v1,OTU_Regional_2025,Monotypic,Notes
Ablabesmyia illinoensis,ABLABESMYIA ILLINOENSIS,ABLABESMYIA,,
Ablabesmyia janta,ABLABESMYIA JANTA GROUP,ABLABESMYIA,,
Ablabesmyia Janta Gr.,ABLABESMYIA JANTA GROUP,ABLABESMYIA,,
ABLABESMYIA JANTA GROUP,ABLABESMYIA JANTA GROUP,ABLABESMYIA,,
ABLABESMYIA JANTA VAR II,ABLABESMYIA JANTA GROUP,ABLABESMYIA,,
Ablabesmyia mallochi,ABLABESMYIA MALLOCHI GROUP,ABLABESMYIA,,
Ablabesmyia Mallochi Gr.,ABLABESMYIA MALLOCHI GROUP,ABLABESMYIA,,
ABLABESMYIA MALLOCHI GROUP,ABLABESMYIA MALLOCHI GROUP,ABLABESMYIA,,
Ablabesmyia monilis,ABLABESMYIA MONILIS GROUP,ABLABESMYIA,,
Ablabesmyia Monilis Gr.,ABLABESMYIA MONILIS GROUP,ABLABESMYIA,,
ABLABESMYIA MONILIS GROUP,ABLABESMYIA MONILIS GROUP,ABLABESMYIA,,
Ablabesmyia monilis/rhamphae,ABLABESMYIA MONILIS/RHAMPHE,ABLABESMYIA,,
ABLABESMYIA MONILIS/RHAMPHE,ABLABESMYIA MONILIS/RHAMPHE,ABLABESMYIA,,
Ablabesmyia parajanta,ABLABESMYIA PARAJANTA,ABLABESMYIA,,
Ablabesmyia peleensis,ABLABESMYIA PELEENSIS,ABLABESMYIA,,
ABLABESMYIA PHILOSPHAGNOS,ABLABESMYIA PHILOSPHAGNOS,ABLABESMYIA,,
Ablabesmyia Rhamphae Gr.,ABLABESMYIA RHAMPHE GROUP,ABLABESMYIA,,
Ablabesmyia rhamphe,ABLABESMYIA RHAMPHE GROUP,ABLABESMYIA,,
Ablabesmyia rhamphe group,ABLABESMYIA RHAMPHE GROUP,ABLABESMYIA,,
ABLABESMYIA RHAMPHE-GROUP,ABLABESMYIA RHAMPHE GROUP,ABLABESMYIA,,
Ablabesmyia simpsoni,ABLABESMYIA SIMPSONI GROUP,ABLABESMYIA,,
Ablabesmyia Simpsoni Gr.,ABLABESMYIA SIMPSONI GROUP,ABLABESMYIA,,
ABLABESMYIA SIMPSONI GROUP,ABLABESMYIA SIMPSONI GROUP,ABLABESMYIA,,
Ablabesmyia sp,ABLABESMYIA,ABLABESMYIA,,
Ablabesmyia sp.,ABLABESMYIA,ABLABESMYIA,,
Abliglossiphonia heterocilta,ALBOGLOSSIPHONIA HETEROCLITA,ALBOGLOSSIPHONIA HETEROCLITA,NEARCTIC,
Acacaena lutescens,ANACAENA LUTESCENS,ANACAENA,,
Acalcarella,ACALCARELLA,ACALCARELLA,,
Acalcarella sp.,ACALCARELLA,ACALCARELLA,,
Acamptocladius,ACAMPTOCLADIUS DENTOLATENS,ACAMPTOCLADIUS DENTOLATENS,REGIONALLY,
ACAMPTOCLADIUS DENTOLATENS,ACAMPTOCLADIUS DENTOLATENS,ACAMPTOCLADIUS DENTOLATENS,REGIONALLY,
Acamptocladius sp,ACAMPTOCLADIUS DENTOLATENS,ACAMPTOCLADIUS DENTOLATENS,REGIONALLY,
Acanthametropodidae,ACANTHAMETROPUS PECATONICA,ACANTHAMETROPUS PECATONICA,REGIONALLY,
Acanthametropus,ACANTHAMETROPUS PECATONICA,ACANTHAMETROPUS PECATONICA,REGIONALLY,
Acanthametropus pecatonica,ACANTHAMETROPUS PECATONICA,ACANTHAMETROPUS PECATONICA,REGIONALLY,
ACANTHOSOMATIDAE,ACANTHOSOMATIDAE,ACANTHOSOMATIDAE,,
Acari,DNI,ACARI,,
Acariformes,DNI,ACARI,,
Acariformes/Sarcoptiformes,DNI,ACARI,,
ACELLA,ACELLA HALDEMANI,ACELLA HALDEMANI,REGIONALLY endemic and monotypic,
ACELLA HALDEMANI,ACELLA HALDEMANI,ACELLA HALDEMANI,REGIONALLY endemic and monotypic,
ACENTRELLA,ACENTRELLA,ACENTRELLA,,
Acentrella ampla,HETEROCLOEON AMPLUM,HETEROCLOEON AMPLUM,,
Acentrella insignificans,ACENTRELLA INSIGNIFICANS,ACENTRELLA INSIGNIFICANS,,
ACENTRELLA NADINEAE,ACENTRELLA NADINEAE,ACENTRELLA NADINEAE,,
Acentrella parvula,ACENTRELLA PARVULA,ACENTRELLA PARVULA,,
Acentrella rallatoma,ACENTRELLA RALLATOMA,ACENTRELLA RALLATOMA,,
Acentrella sp,ACENTRELLA,ACENTRELLA,,
Acentrella sp or Plauditus sp (formerly in Pseudocloeon),BAETIDAE,BAETIDAE,,
Acentrella sp.,ACENTRELLA,ACENTRELLA,,
Acentrella turbida,ACENTRELLA TURBIDA,ACENTRELLA TURBIDA,,
Acentrella/Baetis,BAETIDAE,BAETIDAE,,
Acentrella/Plauditus,BAETIDAE,BAETIDAE,,
Acentria,DNI,LEPIDOPTERA,NEARCTIC,many likely terrestrial by-catch. GILL-LESS MOTHS NOT USUALLY IDD PAST FAMILY
ACENTRIA EPHEMERELLA,DNI,LEPIDOPTERA,NEARCTIC,many likely terrestrial by-catch. GILL-LESS MOTHS NOT USUALLY IDD PAST FAMILY
ACENTRIA NIVEA,DNI,LEPIDOPTERA,NEARCTIC,many likely terrestrial by-catch. GILL-LESS MOTHS NOT USUALLY IDD PAST FAMILY
Acentria sp,DNI,LEPIDOPTERA,NEARCTIC,many likely terrestrial by-catch. GILL-LESS MOTHS NOT USUALLY IDD PAST FAMILY
Acentropus,DNI,LEPIDOPTERA,,many likely terrestrial by-catch. GILL-LESS MOTHS NOT USUALLY IDD PAST FAMILY
ACERPENNA,ACERPENNA,ACERPENNA,,
Acerpenna maccdunnoughi,ACERPENNA MACDUNNOUGHI,ACERPENNA MACDUNNOUGHI,,
Acerpenna macdunnoughi,ACERPENNA MACDUNNOUGHI,ACERPENNA MACDUNNOUGHI,,
Acerpenna pygmaea,ACERPENNA PYGMAEA,ACERPENNA PYGMAEA,,
ACERPENNA PYGMAEUS,ACERPENNA PYGMAEA,ACERPENNA PYGMAEA,,
Acerpenna sp,ACERPENNA,ACERPENNA,,
Acerpenna sp.,ACERPENNA,ACERPENNA,,
aChrysomelidae (adults),DNI,CHRYSOMELIDAE,,
ACILIUS,ACILIUS,ACILIUS,,
Acilius fraternus,ACILIUS FRATERNUS,ACILIUS,,
Acilius mediatus,ACILIUS MEDIATUS,ACILIUS,,
Acilius mediatus (Say),ACILIUS MEDIATUS,ACILIUS,,
Acilius semisulcatus,ACILIUS SEMISULCATUS,ACILIUS,,
Acilius semisulcatus Aube,ACILIUS SEMISULCATUS,ACILIUS,,
Acilius sp,ACILIUS,ACILIUS,,
Acilius sp.,ACILIUS,ACILIUS,,
Acilius sylvanus,ACILIUS SYLVANUS,ACILIUS,,
Acillius semisculcatus,ACILIUS SEMISULCATUS,ACILIUS,,
Acillus semisculcatus,ACILIUS SEMISULCATUS,ACILIUS,,
Acillus semisulcatus Aube,ACILIUS SEMISULCATUS,ACILIUS,,
Acillus sp.,ACILIUS,ACILIUS,,
Acillus sylvanus Hilsenhoff,ACILIUS SYLVANUS,ACILIUS,,
Acilus semisulcatus,ACILIUS SEMISULCATUS,ACILIUS,,
ACRICOTOPUS,ACRICOTOPUS,ACRICOTOPUS,,
ACRICOTOPUS NITIDELLUS,ACRICOTOPUS NITIDELLUS,ACRICOTOPUS,,
Acricotopus sp,ACRICOTOPUS,ACRICOTOPUS,,
Acricotopus sp.,ACRICOTOPUS,ACRICOTOPUS,,
Acrididae,DNI,DNI,,
Acrnoneuria,ACRONEURIA,ACRONEURIA,,
ACRONEURIA,ACRONEURIA,ACRONEURIA,,
Acroneuria abnormis,ACRONEURIA ABNORMIS,ACRONEURIA ABNORMIS,,
Acroneuria carolinensis,ACRONEURIA CAROLINENSIS,ACRONEURIA CAROLINENSIS,,
Acroneuria evoluta,ACRONEURIA EVOLUTA,ACRONEURIA EVOLUTA,,have seen inconsistencies with ACRONEURIA EVOLUTA and ACRONEURIA FRISONI; considered slashing
Acroneuria frisoni,ACRONEURIA FRISONI,ACRONEURIA FRISONI,,have seen inconsistencies with ACRONEURIA EVOLUTA and ACRONEURIA FRISONI; considered slashing
Acroneuria igcorias,ACRONEURIA LYCORIAS,ACRONEURIA LYCORIAS,,assumed this was a spelling error
Acroneuria internata,ACRONEURIA INTERNATA,ACRONEURIA INTERNATA,,
Acroneuria lycorias,ACRONEURIA LYCORIAS,ACRONEURIA LYCORIAS,,
Acroneuria sp,ACRONEURIA,ACRONEURIA,,
Acroneuria sp.,ACRONEURIA,ACRONEURIA,,
ACTINOBDELLA,ACTINOBDELLA,ACTINOBDELLA,,
Actinobdella inequiannulata,ACTINOBDELLA INEQUIANNULATA,ACTINOBDELLA,,
ACTINOBDELLA PEDICULATA,PLACOBDELLA PEDICULATA,PLACOBDELLA,,
ACTINONAIAS,ACTINONAIAS,ACTINONAIAS,,
ACTINONAIAS CARINATA,ACTINONAIAS CARINATA,ACTINONAIAS CARINATA,,
ACTINONAIAS ELLIPSIFORMIS,ACTINONAIAS ELLIPSIFORMIS,ACTINONAIAS ELLIPSIFORMIS,,
ACTINONAIAS LIGAMENTINA,ACTINONAIAS LIGAMENTINA,ACTINONAIAS LIGAMENTINA,,
aCurculionidae (adults),DNI,CURCULIONIDAE,,
Ades sp.,AEDES,AEDES,,assumed this was a spelling error
ADICROPHLEPS,ADICROPHLEPS HITCHCOCKI,ADICROPHLEPS HITCHCOCKI,,
Adicrophleps hitchcocki,ADICROPHLEPS HITCHCOCKI,ADICROPHLEPS HITCHCOCKI,,
Adicrophleps sp.,ADICROPHLEPS HITCHCOCKI,ADICROPHLEPS HITCHCOCKI,,
adult [terrestrial],DNI,DNI,,
AEDES,AEDES,AEDES,,
AEDES ABSERRATUS,AEDES ABSERRATUS,AEDES,,
AEDES ATROPALPUS,AEDES ATROPALPUS,AEDES,,
AEDES AURIFER,AEDES AURIFER,AEDES,,
AEDES CAMPESTRIS,AEDES CAMPESTRIS,AEDES,,
AEDES CANADENSIS,AEDES CANADENSIS,AEDES,,
AEDES CINEREUS,AEDES CINEREUS,AEDES,,
AEDES COMMUNIS,AEDES COMMUNIS,AEDES,,
AEDES DECTICUS,AEDES DECTICUS,AEDES,,
AEDES DIANTAEUS,AEDES DIANTAEUS,AEDES,,
AEDES DORSALIS,AEDES DORSALIS,AEDES,,
AEDES EUEDES,AEDES EUEDES,AEDES,,
AEDES EXCRUCIANS,AEDES EXCRUCIANS,AEDES,,
Aedes excrucians (Walker),AEDES EXCRUCIANS,AEDES,,
AEDES FITCHII,AEDES FITCHII,AEDES,,
Aedes fitchii (Felt & Young),AEDES FITCHII,AEDES,,
AEDES FLAVESCENS,AEDES FLAVESCENS,AEDES,,
AEDES GROSSBECKI,AEDES GROSSBECKI,AEDES,,
AEDES HENDERSONI,AEDES HENDERSONI,AEDES,,
AEDES IMPLICATUS,AEDES IMPLICATUS,AEDES,,
AEDES INTRUDENS,AEDES INTRUDENS,AEDES,,
AEDES PIONIPS,AEDES PIONIPS,AEDES,,
AEDES PULLATUS,AEDES PULLATUS,AEDES,,
AEDES PUNCTOR,AEDES PUNCTOR,AEDES,,
AEDES RIPARIUS,AEDES RIPARIUS,AEDES,,
Aedes sp,AEDES,AEDES,,
Aedes sp.,AEDES,AEDES,,
AEDES SPENCERII,AEDES SPENCERII,AEDES,,
Aedes spencerii spencerii,AEDES SPENCERII,AEDES,,
Aedes spp.,AEDES,AEDES,,
AEDES STICTICUS,AEDES STICTICUS,AEDES,,
AEDES STIMULANS,AEDES STIMULANS,AEDES,,
AEDES TRISERIATUS,AEDES TRISERIATUS,AEDES,,
AEDES TRIVITTATUS,AEDES TRIVITTATUS,AEDES,,
AEDES VEXANS,AEDES VEXANS,AEDES,,
Aeolosoma,AEOLOSOMA,POLYCHAETA,,
Aeolosoma sp,AEOLOSOMA,POLYCHAETA,,
Aeolosomatidae,AEOLOSOMATIDAE,POLYCHAETA,,
AESHNA,AESHNA/RHIONOAESHNA,AESHNA/RHIONOAESHNA,,
Aeshna canadensis,AESHNA CANADENSIS,AESHNA CANADENSIS,,
Aeshna canadensis (Walker),AESHNA CANADENSIS,AESHNA CANADENSIS,,
Aeshna canadensis Walker,AESHNA CANADENSIS,AESHNA CANADENSIS,,
Aeshna clepsydra,AESHNA CLEPSYDRA,AESHNA CLEPSYDRA,,
Aeshna clypsedra,AESHNA CLEPSYDRA,AESHNA CLEPSYDRA,,
Aeshna constricta,AESHNA CONSTRICTA,AESHNA CONSTRICTA,,
AESHNA EREMITA,AESHNA EREMITA,AESHNA EREMITA,,
Aeshna eremita (Scudder),AESHNA EREMITA,AESHNA EREMITA,,
Aeshna eremita Scudder,AESHNA EREMITA,AESHNA EREMITA,,
Aeshna eremitus Scudder,AESHNA EREMITA,AESHNA EREMITA,,
Aeshna erimita,AESHNA EREMITA,AESHNA EREMITA,,
AESHNA INTERRUPTA,AESHNA INTERRUPTA,AESHNA INTERRUPTA,,
Aeshna interrupta interrupta,AESHNA INTERRUPTA,AESHNA INTERRUPTA,,
Aeshna interrupta Waker,AESHNA INTERRUPTA,AESHNA INTERRUPTA,,
Aeshna interrupta Walker,AESHNA INTERRUPTA,AESHNA INTERRUPTA,,
AESHNA JUNCEA,AESHNA JUNCEA,AESHNA JUNCEA,,
AESHNA SITCHENSIS,AESHNA SITCHENSIS,AESHNA SITCHENSIS,,
Aeshna sitchensis (Hagen),AESHNA SITCHENSIS,AESHNA SITCHENSIS,,
Aeshna sitchensis Hagen,AESHNA SITCHENSIS,AESHNA SITCHENSIS,,
Aeshna sp,AESHNA/RHIONOAESHNA,AESHNA/RHIONOAESHNA,,
Aeshna sp.,AESHNA/RHIONOAESHNA,AESHNA/RHIONOAESHNA,,
Aeshna subarctica,AESHNA SUBARCTICA,AESHNA SUBARCTICA,,
Aeshna subartica,AESHNA SUBARCTICA,AESHNA SUBARCTICA,,
AESHNA TUBERCULIFERA,AESHNA TUBERCULIFERA,AESHNA TUBERCULIFERA,,
Aeshna umbrosa,AESHNA UMBROSA,AESHNA UMBROSA,,
Aeshna umbrosa Walker,AESHNA UMBROSA,AESHNA UMBROSA,,
Aeshna unbrosa,AESHNA UMBROSA,AESHNA UMBROSA,,
AESHNA VERTICALIS,AESHNA VERTICALIS,AESHNA VERTICALIS,,
Aeshna verticalis (Hagen),AESHNA VERTICALIS,AESHNA VERTICALIS,,
Aeshna verticalis Hagen,AESHNA VERTICALIS,AESHNA VERTICALIS,,
AESHNA/RHIONOAESHNA,AESHNA/RHIONOAESHNA,AESHNA/RHIONOAESHNA,,
AESHNIDAE,AESHNIDAE,AESHNIDAE,,
Afghanurus,AFGHANURUS,AFGHANURUS,,
AFGHANURUS PERFIDA,AFGHANURUS PERFIDA,NIXE,,larvae not known
AGABETES,AGABETES,AGABETES,,
Agabetes acuductus,AGABETES ACUDUCTUS,AGABETES,,
Agabinae,AGABINAE,AGABINAE,,
Agabini,AGABINAE,AGABINAE,,
Agabinus,AGABINUS,AGABINUS,,
AGABUS,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
AGABUS AERUGINOSUS,AGABUS AERUGINOSUS,AGABUS,,
AGABUS AJAX,AGABUS AJAX,AGABUS,,
Agabus ambiguus,AGABUS AMBIGUUS,AGABUS,,
Agabus ambiguus (Say),AGABUS AMBIGUUS,AGABUS,,
Agabus antennatus,AGABUS ANTENNATUS,AGABUS,,
Agabus anthracinus,AGABUS ANTHRACINUS,AGABUS,,
Agabus anthracinus (Mann),AGABUS ANTHRACINUS,AGABUS,,
Agabus anthracinus Mann.,AGABUS ANTHRACINUS,AGABUS,,
Agabus anthracinus Mannerheim,AGABUS ANTHRACINUS,AGABUS,,
AGABUS BICOLOR,AGABUS BICOLOR,AGABUS,,
AGABUS BIFARIUS,AGABUS BIFARIUS,AGABUS,,
Agabus canadensis,AGABUS CANADENSIS,AGABUS,,
Agabus Confinis,AGABUS CONFINIS,AGABUS,,
AGABUS DISCOLOR,AGABUS DISCOLOR,AGABUS,,
Agabus disintegratus,AGABUS DISINTEGRATUS,AGABUS,,
Agabus erichsoni Gemminger & Harold,ILYBIUS ERICHSONI,ILYBIUS,,
AGABUS ERYTHROPTERUS,AGABUS ERYTROPTERUS,AGABUS,,
AGABUS ERYTROPTERUS,AGABUS ERYTROPTERUS,AGABUS,,
AGABUS FALLI,AGABUS FALLI,AGABUS,,
AGABUS FUSCIPENNIS,AGABUS FUSCIPENNIS,AGABUS,,
AGABUS IMMATURUS,AGABUS IMMATURUS,AGABUS,,
AGABUS INSCRIPTUS,AGABUS INSCRIPTUS,AGABUS,,
Agabus leptapsis,AGABUS LEPTAPSIS,AGABUS,,
Agabus phaeopterus,AGABUS PHAEOPTERUS,AGABUS,,
Agabus phaeopterus (Kirby),AGABUS PHAEOPTERUS,AGABUS,,
AGABUS PUNCTULATUS,AGABUS PUNCTULATUS,AGABUS,,
Agabus semipunctatus,AGABUS SEMIPUNCTATUS,AGABUS,,
Agabus semivittatus,PLATAMBUS,PLATAMBUS,,
Agabus seriatus,ILYBIOSOMA SERIATUM,ILYBIOSOMA,,
Agabus seriatus (Say),ILYBIOSOMA SERIATUM,ILYBIOSOMA,,
Agabus sp,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
Agabus sp.,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
Agabus subfuscatus,AGABUS SUBFUSCATUS,AGABUS,,
AGABUS THOMSONI,AGABUS THOMSONI,AGABUS,,
AGABUS TRISTIS,AGABUS TRISTIS,AGABUS,,
Agabus/Ilybiosoma,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
AGABUS/ILYBIOSOMA SCHMUDE UNPUBL.,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
Agabus/Ilybius,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
Agabus/Ilybius Ilybiosoma sp.,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
Agabus/Ilybius/Ilybiosoma sp.,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,
AGAPETUS,AGAPETUS,AGAPETUS,,
Agapetus avitus,AGAPETUS AVITUS,AGAPETUS,,
AGAPETUS HESSI,AGAPETUS HESSI,AGAPETUS,,
AGAPETUS ROSSI,AGAPETUS ROSSI,AGAPETUS,,
Agapetus sp.,AGAPETUS,AGAPETUS,,
AGAPETUS TOMUS,AGAPETUS TOMUS,AGAPETUS,,
AGARODES,AGARODES,AGARODES,,12 species in NA
Agarodes distinctus,AGARODES DISTINCTUS,AGARODES,,12 species in NA
Agarodes libalis,AGARODES LIBALIS,AGARODES,,12 species in NA
AGNETINA,AGNETINA,AGNETINA,,
Agnetina capitata,AGNETINA CAPITATA,AGNETINA CAPITATA,,
Agnetina capitata (Pictet),AGNETINA CAPITATA,AGNETINA CAPITATA,,
Agnetina flavescens,AGNETINA FLAVESCENS,AGNETINA FLAVESCENS,,
Agnetina sp,AGNETINA,AGNETINA,,
Agnetina sp.,AGNETINA,AGNETINA,,
Agnetina/Paragnetina,PERLIDAE,PERLIDAE,,
Agonum nigriceps Le Conte,DNI,DNI,,TERRESTRIAL
Agonum retractum,DNI,DNI,,TERRESTRIAL
AGRAYLEA,AGRAYLEA,AGRAYLEA,,4 species not all known as larvae
AGRAYLEA COSTELLA,AGRAYLEA COSTELLA,AGRAYLEA,,4 species not all known as larvae
AGRAYLEA MULTIPUNCTATA,AGRAYLEA MULTIPUNCTATA,AGRAYLEA,,4 species not all known as larvae
Agraylea sp,AGRAYLEA,AGRAYLEA,,4 species not all known as larvae
Agraylea sp.,AGRAYLEA,AGRAYLEA,,4 species not all known as larvae
Agrion,AGRION,AGRION,,
Agromyzidae,DNI,DNI,,TERRESTRIAL
Agruites sp.,DNI,DNI,,misspelling; unsure if Limnephilid or beetle
Agrypnia,AGRYPNIA,AGRYPNIA,,10 species not all known as larvae
AGRYPNIA COLORATA,AGRYPNIA COLORATA,AGRYPNIA,,10 species not all known as larvae
AGRYPNIA GLACIALIS,AGRYPNIA GLACIALIS,AGRYPNIA,,10 species not all known as larvae
AGRYPNIA IMPROBA,AGRYPNIA IMPROBA,AGRYPNIA,,10 species not all known as larvae
AGRYPNIA MACDUNNOUGHI,AGRYPNIA MACDUNNOUGHI,AGRYPNIA,,10 species not all known as larvae
Agrypnia sp.,AGRYPNIA,AGRYPNIA,,10 species not all known as larvae
Agrypnia sp. (improba),AGRYPNIA IMPROBA,AGRYPNIA,,10 species not all known as larvae
Agrypnia sp.(improba),AGRYPNIA IMPROBA,AGRYPNIA,,10 species not all known as larvae
AGRYPNIA STRAMINEA,AGRYPNIA STRAMINEA,AGRYPNIA,,10 species not all known as larvae
AGRYPNIA VESTITA,AGRYPNIA VESTITA,AGRYPNIA,,10 species not all known as larvae
aGyrinidae (adults),GYRINIDAE,GYRINIDAE,,
aHaliplidae (adults),HALIPLIDAE,HALIPLIDAE,,
Alaimidae,DNI,DNI,,TERRESTRIAL NEMATODE
Alaimus,DNI,DNI,,TERRESTRIAL NEMATODE
aLampyridae (adults),DNI,DNI,,TERRESTRIAL
ALASMIDONTA,DNI,ALASMIDONTA,,MUSSEL
Alasmidonta marginata,DNI,ALASMIDONTA MARGINATA,,MUSSEL
Alasmidonta viridis,DNI,ALASMIDONTA VIRIDIS,,MUSSEL
Albebesmyia monilis,ABLABESMYIA MONILIS,ABLABESMYIA,,
Albebesmyia peleensis,ABLABESMYIA PELEENSIS,ABLABESMYIA,,
ALBIA,ALBIA,ALBIA,,
ALBOGLOSSIPHONIA,ALBOGLOSSIPHONIA HETEROCLITA,ALBOGLOSSIPHONIA HETEROCLITA,NEARCTIC,
Alboglossiphonia heteroclita,ALBOGLOSSIPHONIA HETEROCLITA,ALBOGLOSSIPHONIA HETEROCLITA,NEARCTIC,
Aleocharinae,DNI,DNI,,
aLimnichidae (adults),DNI,DNI,,
ALISOTRICHIA,ALISOTRICHIA,ALISOTRICHIA ARIZONICA,NEARCTIC,
ALISOTRICHIA ARIZONICA,ALISOTRICHIA ARIZONICA,ALISOTRICHIA ARIZONICA,,
ALLOCAPNIA,ALLOCAPNIA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA FRISONI,ALLOCAPNIA FRISONI,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA GRANULATA,ALLOCAPNIA GRANULATA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA ILLINOENSIS,ALLOCAPNIA ILLINOENSIS,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA MINIMA,ALLOCAPNIA MINIMA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA NIVICOLA,ALLOCAPNIA NIVICOLA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA PYGMAEA,ALLOCAPNIA PYGMAEA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA RECTA,ALLOCAPNIA RECTA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
ALLOCAPNIA RICKERI,ALLOCAPNIA RICKERI,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
Allocapnia sp,ALLOCAPNIA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
Allocapnia sp.,ALLOCAPNIA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
Allocapnia vivipara,ALLOCAPNIA VIVIPARA,ALLOCAPNIA,,NOT ALL LARVAE KNOWN
