Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Anafroptilum,Anafroptilum/Procloeon,yes,Slashed taxon,Anafroptilum/Procloeon,Ephemeroptera
Centroptilum,Anafroptilum/Procloeon,yes,"Slashed taxon, nomenclature",Anafroptilum/Procloeon,Ephemeroptera
Ceraclea,Ceraclea,no,,Ceraclea,Trichoptera
Centroptilum sp.,Anafroptilum/Procloeon,yes,"Slashed taxon, nomenclature",Anafroptilum/Procloeon,Ephemeroptera
Ceratopogonidae,Ceratopogonidae,no,,Ceratopogonidae,Diptera
Ceratopogoninae,Ceratopogoninae,no,,Ceratopogoninae,Diptera
Chaetocladius,Chaetocladius,no,,Chaetocladius,Chironomidae
Procloeon,Anafroptilum/Procloeon,yes,Slashed taxon,Anafroptilum/Procloeon,Ephemeroptera
Procloeon sp.,Anafroptilum/Procloeon,yes,Slashed taxon,Anafroptilum/Procloeon,Ephemeroptera
Anagapetus sp.,Anagapetus,yes,sp.,Anagapetus,Trichoptera
Antocha sp.,Antocha,yes,sp.,Antocha,Diptera
Apatania sp.,Apatania,yes,sp.,Apatania,Trichoptera
Apedilum sp.,Apedilum,yes,sp.,Apedilum,Chironomidae
Apsectrotanypus sp.,Apsectrotanypus,yes,sp.,Apsectrotanypus,Chironomidae
Chelifera/Metachela,Chelifera/Metachela,no,Slashed taxon,Chelifera/Metachela,Diptera
Arctopsyche grandis,Arctopsyche,yes,backed off to genus,Arctopsyche,Trichoptera
Cheumatopsyche,Cheumatopsyche,no,,Cheumatopsyche,Trichoptera
Argia sp.,Argia,yes,sp.,Argia,Odonata
Chimarra,Chimarra,no,,Chimarra,Trichoptera
Asioplax edmundsi,Asioplax,yes,backed off to genus; some people lump to Tricorythodes,Asioplax,Ephemeroptera
Chironomidae,Chironomidae,no,,Chironomidae,Chironomidae
Asioplax sp.,Asioplax,yes,backed off to genus; some people lump to Tricorythodes,Asioplax,Ephemeroptera
Ablabesmyia,Ablabesmyia,no,,Ablabesmyia,Chironomidae
Ablabesmyia sp.,Ablabesmyia,yes,sp.,Ablabesmyia,Chironomidae
Acari,Acari,no,,Acari,Acari
Acari (Acarina),Acari,yes,naming scheme,Acari,Acari
Acentrella,Acentrella,no,,Acentrella,Ephemeroptera
Acentrella insignificans,Acentrella insignificans,no,,Acentrella insignificans,Ephemeroptera
Albertathyas,Acari,yes,mites collapsed to Acari,Albertathyas montana,Acari
Acentrella parvula,Acentrella parvula,no,,Acentrella parvula,Ephemeroptera
Albertathyas montana,Acari,yes,mites collapsed to Acari,Albertathyas montana,Acari
Acentrella turbida,Acentrella turbida,no,,Acentrella turbida,Ephemeroptera
Acerpenna,Acerpenna,no,,Acerpenna,Ephemeroptera
Albia,Acari,yes,mites collapsed to Acari,Albia,Acari
Albia sp.,Acari,yes,mites collapsed to Acari,Albia,Acari
Acilius,Acilius,no,,Acilius,Coleoptera
Acricotopus,Acricotopus,no,,Acricotopus,Chironomidae
Arrenuridae,Acari,yes,mites collapsed to Acari,Arrenuridae,Acari
Arrenurus,Acari,yes,mites collapsed to Acari,Arrenurus,Acari
Arrenurus sp.,Acari,yes,mites collapsed to Acari,Arrenurus,Acari
Atractides,Acari,yes,mites collapsed to Acari,Atractides,Acari
Atractides sp.,Acari,yes,mites collapsed to Acari,Atractides,Acari
Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,no,,Aeshna/Rhionaeschna,Odonata
Aeshnidae,Aeshnidae,no,,Aeshnidae,Odonata
Atractides ,Acari,yes,mites collapsed to Acari,Atractides,Acari
Agabinae,Agabinae,no,,Agabinae,Coleoptera
Aturidae,Acari,yes,mites collapsed to Acari,Aturidae,Acari
Aturus,Acari,yes,mites collapsed to Acari,Aturus,Acari
Agapetus,Agapetus,no,,Agapetus,Trichoptera
Aturus sp.,Acari,yes,mites collapsed to Acari,Aturus,Acari
Agathon,Agathon,no,,Agathon,Diptera
CLATHROSPERCHON,Acari,yes,mites collapsed to Acari,Clathrosperchon,Acari
Agraylea,Agraylea,no,,Agraylea,Trichoptera
Clathrosperchon sp.,Acari,yes,mites collapsed to Acari,Clathrosperchon,Acari
Corticacarus,Acari,yes,mites collapsed to Acari,Corticacarus,Acari
Estelloxus,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Estelloxus sp.,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Eylais,Acari,yes,mites collapsed to Acari,Eylais,Acari
Allocosmoecus partitus,Allocosmoecus partitus,no,monotypic,Allocosmoecus partitus,Trichoptera
Allomyia,Allomyia,no,,Allomyia,Trichoptera
Eylais sp.,Acari,yes,mites collapsed to Acari,Eylais,Acari
Alotanypus,Alotanypus,no,,Alotanypus,Chironomidae
Feltria,Acari,yes,mites collapsed to Acari,Feltria,Acari
Ambrysus,Ambrysus,no,,Ambrysus,Hemiptera
Feltria sp.,Acari,yes,mites collapsed to Acari,Feltria,Acari
Ameletus,Ameletus,no,,Ameletus,Ephemeroptera
Forelia,Acari,yes,mites collapsed to Acari,Forelia,Acari
Hydrachna,Acari,yes,mites collapsed to Acari,Hydrachna,Acari
Hydrodroma,Acari,yes,mites collapsed to Acari,Hydrodroma,Acari
Amiocentrus,Amiocentrus,no,,Amiocentrus,Trichoptera
Hydrodroma sp.,Acari,yes,mites collapsed to Acari,Hydrodroma,Acari
Hydrovolzia,Acari,yes,mites collapsed to Acari,Hydrovolzia,Acari
Hydrovolzia sp.,Acari,yes,mites collapsed to Acari,Hydrovolzia,Acari
Hydrovolziidae,Acari,yes,mites collapsed to Acari,Hydrovolzia,Acari
Amphicosmoecus canax,Amphicosmoecus canax,no,monotypic,Amphicosmoecus canax,Trichoptera
Hydryphantidae,Acari,yes,mites collapsed to Acari,Hydryphantidae,Acari
Amphipoda,Amphipoda,no,,Amphipoda,Crustacea
Amphizoa,Amphizoa,no,,Amphizoa,Coleoptera
Anacaena,Anacaena,no,,Anacaena,Coleoptera
Hygrobates,Acari,yes,mites collapsed to Acari,Hygrobates,Acari
Anafroptilum/Procloeon,Anafroptilum/Procloeon,no,,Anafroptilum/Procloeon,Ephemeroptera
Anagapetus,Anagapetus,no,,Anagapetus,Trichoptera
Hygrobates sp.,Acari,yes,mites collapsed to Acari,Hygrobates,Acari
Hygrobatidae,Acari,yes,mites collapsed to Acari,Hygrobatidae,Acari
Anisoptera,Anisoptera,no,,Anisoptera,Odonata
Hygrobatidae ,Acari,yes,mites collapsed to Acari,Hygrobatidae,Acari
Lebertia,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Anopheles,Anopheles,no,,Anopheles,Diptera
Lebertia sp.,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Antocha,Antocha,no,,Antocha,Diptera
Lebertiidae,Acari,yes,mites collapsed to Acari,Lebertiidae,Acari
Apatania,Apatania,no,,Apatania,Trichoptera
Limnesia,Acari,yes,mites collapsed to Acari,Limnesia,Acari
Apedilum,Apedilum,no,,Apedilum,Chironomidae
Limnesia sp.,Acari,yes,mites collapsed to Acari,Limnesia,Acari
Apsectrotanypus,Apsectrotanypus,no,,Apsectrotanypus,Chironomidae
Limnesiidae,Acari,yes,mites collapsed to Acari,Limnesiidae,Acari
Mesobates,Acari,yes,mites collapsed to Acari,Mesobates,Acari
Mesobates sp.,Acari,yes,mites collapsed to Acari,Mesobates,Acari
Arctopsyche,Arctopsyche,no,,Arctopsyche,Trichoptera
Mideopsidae,Acari,yes,mites collapsed to Acari,Mideopsidae,Acari
Arctopsychinae,Arctopsychinae,no,,Arctopsychinae,Trichoptera
Argia,Argia,no,,Argia,Odonata
Mideopsis,Acari,yes,mites collapsed to Acari,Mideopsis,Acari
Mideopsis sp.,Acari,yes,mites collapsed to Acari,Mideopsis,Acari
Monatractides,Acari,yes,mites collapsed to Acari,Monatractides,Acari
Neumania,Acari,yes,mites collapsed to Acari,Neumania,Acari
Asellidae,Asellidae,no,,Asellidae,Crustacea
Asioplax,Asioplax,no,,Asioplax,Ephemeroptera
Oribatei,Acari,yes,mites collapsed to Acari,Oribatida,Acari
Oribatida,Acari,yes,mites collapsed to Acari,Oribatida,Acari
Oxidae,Acari,yes,mites collapsed to Acari,Oxus,Acari
Atherix,Atherix,no,,Atherix,Diptera
Oxus,Acari,yes,mites collapsed to Acari,Oxus,Acari
Parathyas,Acari,yes,mites collapsed to Acari,Parathyas,Acari
Atractelmis wawona,Atractelmis wawona,no,monotypic,Atractelmis wawona,Coleoptera
Piona,Acari,yes,mites collapsed to Acari,Piona,Acari
Piona sp.,Acari,yes,mites collapsed to Acari,Piona,Acari
Pionidae,Acari,yes,mites collapsed to Acari,Pionidae,Acari
Protzia,Acari,yes,mites collapsed to Acari,Protzia,Acari
Protzia sp.,Acari,yes,mites collapsed to Acari,Protzia,Acari
Attenella,Attenella,no,,Attenella,Ephemeroptera
Attenella margarita,Attenella margarita,no,,Attenella margarita,Ephemeroptera
Protziidae,Acari,yes,mites collapsed to Acari,Hydryphantidae,Acari
Sarcoptiformes,Acari,yes,mites collapsed to Acari,Acari,Acari
Sperchon,Acari,yes,mites collapsed to Acari,Sperchon,Acari
Sperchon sp.,Acari,yes,mites collapsed to Acari,Sperchon,Acari
Sperchonidae,Acari,yes,mites collapsed to Acari,Sperchontidae,Acari
Sperchonopsis,Acari,yes,mites collapsed to Acari,Sperchonopsis,Acari
Sperchonopsis sp.,Acari,yes,mites collapsed to Acari,Sperchonopsis,Acari
Sperchontidae,Acari,yes,mites collapsed to Acari,Sperchontidae,Acari
Stygothrombidiidae,Acari,yes,mites collapsed to Acari,Stygothrombiidae,Acari
Stygothrombiidae,Acari,yes,mites collapsed to Acari,Stygothrombiidae,Acari
Baetidae,Baetidae,no,,Baetidae,Ephemeroptera
Baetis,Baetis,no,,Baetis,Ephemeroptera
Baetis alius,Baetis alius,no,,Baetis alius,Ephemeroptera
Stygothrombium,Acari,yes,mites collapsed to Acari,Stygothrombium,Acari
Baetis bicaudatus complex,Baetis bicaudatus complex,no,,Baetis bicaudatus complex,Ephemeroptera
Stygothrombium sp.,Acari,yes,mites collapsed to Acari,Stygothrombium,Acari
Baetis flavistriga complex,Baetis flavistriga complex,no,,Baetis flavistriga complex,Ephemeroptera
Baetis notos,Baetis notos,no,,Baetis notos,Ephemeroptera
Testudacarus,Acari,yes,mites collapsed to Acari,Testudacarus,Acari
Testudacarus sp.,Acari,yes,mites collapsed to Acari,Testudacarus,Acari
Baetis tricaudatus complex,Baetis tricaudatus complex,no,,Baetis tricaudatus complex,Ephemeroptera
Baetisca,Baetisca,no,,Baetisca,Ephemeroptera
Teutonia,Acari,yes,mites collapsed to Acari,Teutonia,Acari
Belostoma,Belostoma,no,,Belostoma,Hemiptera
Cleptelmis addenda,Cleptelmis addenda,no,monotypic,Cleptelmis addenda,Coleoptera
Branchiobdellidae,Branchiobdellida,yes,naming scheme,Branchiobdellida,Misc. Phyla
Brillia sp.,Brillia,yes,sp.,Brillia,Chironomidae
Clinocera/Trichoclinocera,Clinocera/Trichoclinocera,no,,Clinocera/Trichoclinocera,Diptera
Brundiniella sp.,Brundiniella,yes,sp.,Brundiniella,Chironomidae
Brychius sp.,Brychius,yes,sp.,Brychius,Coleoptera
Bryelmis idahoensis,Bryelmis,yes,backed off to genus,Bryelmis,Coleoptera
Coenagrionidae,Coenagrionidae,no,,Coenagrionidae,Odonata
Caecidotea sp.,Caecidotea,yes,sp.,Caecidotea,Crustacea
Constempellina,Constempellina,no,,Constempellina,Chironomidae
Caenis latipennis,Caenis,yes,backed off to genus,Caenis,Ephemeroptera
Copepoda,Copepoda,no,Copepoda excluded?,Copepoda,Other Non-Insect
Corbicula,Corbicula,no,,Corbicula,Mollusca
Caenis sp.,Caenis,yes,sp.,Caenis,Ephemeroptera
Calineuria,Calineuria californica,yes,monotypic,Calineuria californica,Plecoptera
Corbiculoidea,Corbiculoidea,no,,Corbiculoidea,Mollusca
Cordulegaster,Cordulegaster,no,,Cordulegaster,Odonata
Callibaetis sp.,Callibaetis,yes,sp.,Callibaetis,Ephemeroptera
Caloparyphus sp.,Caloparyphus,yes,sp.,Caloparyphus,Diptera
Corduliidae,Corduliidae,no,,Corduliidae,Odonata
Corixidae,Corixidae,no,NonTarget? Could go either way. Enough calls to keep it in,Corixidae,Hemiptera
Calopteryx (broad winged damsel),Calopteryx,yes,naming scheme,Calopteryx,Odonata
Corynoneura,Corynoneura,no,,Corynoneura,Chironomidae
Cambaridae (large crayfish),Cambaridae,yes,naming scheme,Cambaridae,Crustacea
Camelobaetidius sp.,Camelobaetidius,yes,sp.,Camelobaetidius,Ephemeroptera
Crangonyx,Crangonyx,no,,Crangonyx,Crustacea
Camelobaetidius warreni,Camelobaetidius,yes,backed off to genus,Camelobaetidius,Ephemeroptera
Eucapnopsis brevicauda,Capniidae,yes,nomenclature,Capniidae,Plecoptera
Cricotopus,Cricotopus,no,,Cricotopus,Chironomidae
Thyas sp.,Acari,yes,mites collapsed to Acari,Parathyas,Acari
Torrenticola,Acari,yes,mites collapsed to Acari,Torrenticola,Acari
Torrenticola sp.,Acari,yes,mites collapsed to Acari,Torrenticola,Acari
Torrenticolidae,Acari,yes,mites collapsed to Acari,Torrenticolidae,Acari
Bibiocephala grandis,Bibiocephala grandis,no,,Bibiocephala grandis,Diptera
Trombidiformes,Acari,yes,mites collapsed to Acari,Trombidiformes,Acari
Bilyjomyia,Bilyjomyia,no,,Bilyjomyia,Chironomidae
Tyrrellia,Acari,yes,mites collapsed to Acari,Tyrrellia,Acari
Bivalvia,Bivalvia,no,TOO COARSE,Bivalvia,Mollusca
Blepharicera,Blepharicera,no,,Blepharicera,Diptera
Tyrrellia sp.,Acari,yes,mites collapsed to Acari,Tyrrellia,Acari
Blephariceridae,Blephariceridae,no,,Blephariceridae,Diptera
Boreochlus,Boreochlus,no,,Boreochlus,Chironomidae
Unionicola,Acari,yes,mites collapsed to Acari,Unionicola,Acari
Boreoheptagyia,Boreoheptagyia,no,,Boreoheptagyia,Chironomidae
Unionicola sp.,Acari,yes,mites collapsed to Acari,Unionicola,Acari
Brachycentridae,Brachycentridae,no,,Brachycentridae,Trichoptera
Brachycentrus,Brachycentrus,no,,Brachycentrus,Trichoptera
Utaxatax,Acari,yes,mites collapsed to Acari,Utaxatax,Acari
Brachycentrus americanus complex,Brachycentrus americanus complex,no,,Brachycentrus americanus complex,Trichoptera
Brachycentrus occidentalis,Brachycentrus occidentalis,no,,Brachycentrus occidentalis,Trichoptera
Wandesia,Acari,yes,mites collapsed to Acari,Wandesia,Acari
Wandesia sp.,Acari,yes,mites collapsed to Acari,Wandesia,Acari
Branchiobdellida,Branchiobdellida,no,,Branchiobdellida,Misc. Phyla
Acentrella sp.,Acentrella,yes,sp.,Acentrella,Ephemeroptera
Brillia,Brillia,no,,Brillia,Chironomidae
Acentrella insignificans complex,Acentrella insignificans,yes,naming scheme,Acentrella insignificans,Ephemeroptera
Brundiniella,Brundiniella,no,,Brundiniella,Chironomidae
Acerpenna pygmaea,Acerpenna,yes,backed off to genus,Acerpenna,Ephemeroptera
Brychius,Brychius,no,,Brychius,Coleoptera
Acerpenna sp.,Acerpenna,yes,sp.,Acerpenna,Ephemeroptera
Bryelmis,Bryelmis,no,,Bryelmis,Coleoptera
Acricotopus sp.,Acricotopus,yes,sp.,Acricotopus,Chironomidae
Caecidotea,Caecidotea,no,,Caecidotea,Crustacea
ACTINOBDELLA,Actinobdella,yes,CAPs,Actinobdella,Hemiptera
Caenis,Caenis,no,,Caenis,Ephemeroptera
AEOLOSOMA,Aeolosoma,yes,CAPs,Aeolosoma,Misc. Phyla
Aeolosoma sp.,Aeolosoma,yes,sp.,Aeolosoma,Misc. Phyla
Aeshna sp.,Aeshna/Rhionaeschna,yes,sp.,Aeshna/Rhionaeschna,Odonata
Calineuria californica,Calineuria californica,no,,Calineuria californica,Plecoptera
Callibaetis,Callibaetis,no,,Callibaetis,Ephemeroptera
Aeshnidae (darner dragonflies),Aeshnidae,yes,naming scheme,Aeshnidae,Odonata
Caloparyphus,Caloparyphus,no,,Caloparyphus,Diptera
Agabus,Agabinae,yes,backed off to subfamily,Agabinae,Coleoptera
Agabus sp.,Agabinae,yes,backed off to subfamily,Agabinae,Coleoptera
Calopteryx,Calopteryx,no,,Calopteryx,Odonata
Agapetus sp.,Agapetus,yes,sp.,Agapetus,Trichoptera
Cambaridae,Cambaridae,no,,Cambaridae,Crustacea
Agathon sp.,Agathon,yes,sp.,Agathon,Diptera
Camelobaetidius,Camelobaetidius,no,,Camelobaetidius,Ephemeroptera
Agraylea sp.,Agraylea,yes,sp.,Agraylea,Trichoptera
Allomyia sp.,Allomyia,yes,sp.,Allomyia,Trichoptera
Capniidae,Capniidae,no,,Capniidae,Plecoptera
Cardiocladius,Cardiocladius,no,,Cardiocladius,Chironomidae
Alotanypus sp.,Alotanypus,yes,sp.,Alotanypus,Chironomidae
Ambrysus sp.,Ambrysus,yes,sp.,Ambrysus,Hemiptera
Ameletus sp.,Ameletus,yes,sp.,Ameletus,Ephemeroptera
Caudatella,Caudatella,no,,Caudatella,Ephemeroptera
Caudatella,Caudatella,no,,Caudatella,Ephemeroptera
Caudatella edmundsi,Caudatella edmundsi,no,,Caudatella edmundsi,Ephemeroptera
Amiocentrus aspilus,Amiocentrus,yes,backed off due to COI data,Amiocentrus,Trichoptera
Paracapnia sp.,Capniidae,yes,sp.,Capniidae,Plecoptera
Cricotopus (Isocladius),Cricotopus (Isocladius),no,,Cricotopus (Isocladius),Chironomidae
Cardiocladius albiplumus,Cardiocladius,yes,backed off to genus,Cardiocladius,Chironomidae
Cardiocladius Obscurus Group,Cardiocladius,yes,backed off to genus,Cardiocladius,Chironomidae
Cricotopus (Nostococladius),Cricotopus (Nostococladius),no,,Cricotopus (Nostococladius),Chironomidae
Cardiocladius sp.,Cardiocladius,yes,sp.,Cardiocladius,Chironomidae
Caudatella sp.,Caudatella,yes,sp.,Caudatella,Ephemeroptera
Caudatella heterocaudata,Caudatella heterocaudata complex,yes,naming scheme,Caudatella heterocaudata complex,Ephemeroptera
CAURINELLA,Caurinella,yes,CAPs,Caurinella,Ephemeroptera
Ceraclea sp.,Ceraclea,yes,sp.,Ceraclea,Trichoptera
Bezzia/Palpomyia,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Bezzia/Palpomyia sp.,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Culicoides,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Probezzia,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Probezzia sp.,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Cricotopus/Orthocladius,Cricotopus/Orthocladius,no,,Cricotopus/Orthocladius,Chironomidae
Cryptochia,Cryptochia,no,,Cryptochia,Trichoptera
Stilobezzia,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Cryptochironomus,Cryptochironomus,no,,Cryptochironomus,Chironomidae
Stilobezzia sp.,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Cryptolabis,Cryptolabis,no,,Cryptolabis,Diptera
Chaetocladius sp.,Chaetocladius,yes,sp.,Chaetocladius,Chironomidae
Cryptotendipes,Cryptotendipes,no,,Cryptotendipes,Chironomidae
Chelifera,Chelifera/Metachela,yes,Slashed taxon,Chelifera/Metachela,Diptera
Chelifera (Metachela),Chelifera/Metachela,yes,Slashed taxon,Chelifera/Metachela,Diptera
Chelifera/Metachela sp.,Chelifera/Metachela,yes,Slashed taxon,Chelifera/Metachela,Diptera
Cheumatopsyche sp.,Cheumatopsyche,yes,sp.,Cheumatopsyche,Trichoptera
Chimarra sp.,Chimarra,yes,sp.,Chimarra,Trichoptera
Chironomidae-pupae,Chironomidae,yes,naming scheme,Chironomidae,Chironomidae
Culoptila/Protoptila,Culoptila/Protoptila,no,,Culoptila/Protoptila,Trichoptera
Cultus,Cultus,no,,Cultus,Plecoptera
Chironomus sp.,Chironomus,yes,sp.,Chironomus,Chironomidae
Cystobranchus,Cystobranchus,no,,Cystobranchus,Leeches
Choroterpes sp.,Choroterpes,yes,sp.,Choroterpes,Ephemeroptera
Dasyhelea,Dasyhelea,no,,Dasyhelea,Diptera
Chyranda,Chyrandra,yes,backed off to genus; likely multiple spp.,Chyrandra,Trichoptera
Decapoda,Decapoda,no,,Decapoda,Crustacea
Demicryptochironomus,Demicryptochironomus,no,,Demicryptochironomus,Chironomidae
Chyranda centralis,Chyrandra,yes,backed off to genus; likely multiple spp.,Chyrandra,Trichoptera
Cinygma sp.,Cinygma,yes,sp.,Cinygma,Ephemeroptera
Cinygmula sp.,Cinygmula,yes,sp.,Cinygmula,Ephemeroptera
Claassenia,Claassenia sabulosa,yes,monotypic,Claassenia sabulosa,Plecoptera
Derotanypus,Derotanypus,no,,Derotanypus,Chironomidae
Cladopelma sp.,Cladopelma,yes,sp.,Cladopelma,Chironomidae
Cladotanytarsus sp.,Cladotanytarsus,yes,sp.,Cladotanytarsus,Chironomidae
Cleptelmis,Cleptelmis addenda,yes,monotypic,Cleptelmis addenda,Coleoptera
Cleptelmis A62,Cleptelmis addenda,yes,Cleptelmis addenda (monotypic) in OR/WA. A62 is weird - wonder if this is Bryelmis?,Cleptelmis addenda,Coleoptera
Clinocera,Clinocera/Trichoclinocera,yes,Slashed taxon,Clinocera/Trichoclinocera,Diptera
Despaxia augusta,Despaxia augusta,no,monotypic,Despaxia augusta,Plecoptera
Deuterophlebia,Deuterophlebia,no,,Deuterophlebia,Diptera
Clinocera sp.,Clinocera/Trichoclinocera,yes,Slashed taxon,Clinocera/Trichoclinocera,Diptera
Diamesa,Diamesa,no,,Diamesa,Chironomidae
Trichoclinocera,Clinocera/Trichoclinocera,yes,Slashed taxon,Clinocera/Trichoclinocera,Diptera
Diamesinae,Diamesinae,no,,Diamesinae,Chironomidae
Trichoclinocera sp.,Clinocera/Trichoclinocera,yes,Slashed taxon,Clinocera/Trichoclinocera,Diptera
Dicosmoecus,Dicosmoecus,no,,Dicosmoecus,Trichoptera
Dicosmoecus atripes,Dicosmoecus atripes,no,,Dicosmoecus atripes,Trichoptera
Dicosmoecus gilvipes,Dicosmoecus gilvipes,no,,Dicosmoecus gilvipes,Trichoptera
Amphiagrion sp.,Coenagrionidae,yes,backed off to family,Coenagrionidae,Odonata
Dicranomyia,Dicranomyia,no,,Dicranomyia,Diptera
Dicranota,Dicranota,no,,Dicranota,Diptera
Coenagrion/Enallagma,Coenagrionidae,yes,backed off to family,Coenagrionidae,Odonata
Dicrotendipes,Dicrotendipes,no,,Dicrotendipes,Chironomidae
Coenagrion/Enallagma sp.,Coenagrionidae,yes,backed off to family,Coenagrionidae,Odonata
Coenagrionidae (narrow winged damsel),Coenagrionidae,yes,backed off to family,Coenagrionidae,Odonata
Diphetor hageni,Diphetor hageni,no,monotypic,Diphetor hageni,Ephemeroptera
Diplocladius,Diplocladius,no,,Diplocladius,Chironomidae
Constempellina sp.,Constempellina,yes,sp.,Constempellina,Chironomidae
Diptera,Diptera,no,,Diptera,Diptera
Diura,Diura,no,,Diura,Plecoptera
Corbicula fluminea,Corbicula,yes,backed off to genus,Corbicula,Mollusca
Dixa,Dixa,no,,Dixa,Diptera
Corbicula sp.,Corbicula,yes,sp.,Corbicula,Mollusca
Dixella,Dixella,no,,Dixella,Diptera
Cordulegaster dorsalis,Cordulegaster,yes,backed off to genus,Cordulegaster,Odonata
Dixidae,Dixidae,no,,Dixidae,Diptera
Dolichopodidae,Dolichopodidae,no,,Dolichopodidae,Diptera
Dolophilodes,Dolophilodes,no,,Dolophilodes,Trichoptera
Cordulegaster sp.,Cordulegaster,yes,sp.,Cordulegaster,Odonata
Doncricotopus,Doncricotopus,no,,Doncricotopus,Chironomidae
Sigara sp.,Corixidae,yes,backed off to family; NonTarget? Could go either way,Corixidae,Hemiptera
Doroneuria,Doroneuria,no,,Doroneuria,Plecoptera
Corynoneura sp.,Corynoneura,yes,sp.,Corynoneura,Chironomidae
Drunella,Drunella,no,,Drunella,Ephemeroptera
Drunella Coloradensis Group,Drunella Coloradensis Group,no,,Drunella Coloradensis Group,Ephemeroptera
Crangonyx sp.,Crangonyx,yes,sp.,Crangonyx,Crustacea
Cricotopus (Cricotopus),Cricotopus,yes,backed off to genus,Cricotopus,Chironomidae
Drunella doddsii,Drunella doddsii,no,note some older data may have 'doddsi',Drunella doddsii,Ephemeroptera
Cricotopus sp.,Cricotopus,yes,sp.,Cricotopus,Chironomidae
Drunella Grandis Group,Drunella Grandis Group,no,,Drunella Grandis Group,Ephemeroptera
Cricotopus (Isocladius) Type I,Cricotopus (Isocladius),yes,FORMATTING,Cricotopus (Isocladius),Chironomidae
"Cricotopus (sub-genus, Isocladius) Type 1",Cricotopus (Isocladius),yes,FORMATTING,Cricotopus (Isocladius),Chironomidae
