TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,AirBreather,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TolVal,NOD,AP,HM,POC,SA,SSS,Min_HM1988,Max_HM1988,Mean_HM1988,KBTOLR
AMNICOLA LIMOSA,Species,FALSE,4,4_middle,SC,IA; OK; MN,CB,MN,NA,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,AMNICOLA,5,,,,,,,,,,4
AMPHINEMURA,Genus,FALSE,3,,SH,IA; OK; MN; Tward; NRSA,"SP,CN",MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,,AMPHINEMURA,,,,,,,,,,,
AMPHINEMURA VARSHAVA,Species,FALSE,3,,SH,IA; OK; MN; Tward; NRSA,"SP,CN",MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,,AMPHINEMURA,2,0,2,3,1,2,2,0,3,1.666666667,2
AMPHIPODA,Order,FALSE,,NA,CG,NE; OK; MN,SP,OK; MN,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,,,,,NA,,,,,,,,,,
ANACAENA,Genus,FALSE,4,4_middle,PR,NE; Tward; NRSA,BU,OK; MN; Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,ANACAENA,5,,,,,,,,,,99
ANAX,Genus,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,"multi,uni",NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,ANAX,,,,,,,,,,,
ANAX JUNIUS,Species,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,"multi,uni",NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,ANAX,6,3,4,1,3,3,4,1,4,3,4
ANCYLIDAE,Family,FALSE,4,4_middle,SC,IA; NE; MODNR; OK; MN,CB,OK; MN,uni,NRSA,FALSE,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,ANCYLIDAE,,,,5,,,,,,,,,,
ANCYRONYX,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,"semi,uni",NRSA,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,ANCYRONYX,,,,,,,,,,,
ANCYRONYX VARIEGATUS,Species,FALSE,4,4_middle,CG,IA; NE; MODNR; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,"semi,uni",NRSA,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,ANCYRONYX,5,2,4,1,2,2,1,1,4,2,4
ANOPHELES,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,TRUE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,ANOPHELES,5,5,4,3,4,4,2,2,5,3.666666667,10
ANTHOMYIIDAE,Family,FALSE,,NA,PR,NE; OK,SP,NE,NA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,ANTHOMYIIDAE,,,,NA,3,3,1,3,4,4,1,4,3,
ANTHOPOTAMUS,Genus,FALSE,4,4_worse,CF,IA; MODNR; OK; Tward,BU,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,,ANTHOPOTAMUS,6,,,,,,,,,,5
ANTHOPOTAMUS MYOPS,Species,FALSE,4,4_worse,CF,IA; OK; MN; Tward,BU,MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,,ANTHOPOTAMUS,6,,,,,,,,,,5
APOBAETIS,Genus,FALSE,,NA,CG,IA; NE; MODNR; OK; Tward,SW,IA; MODNR; OK; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,APOBAETIS,NA,3,0,3,0,3,3,0,3,2,4
APSECTROTANYPUS,Genus,FALSE,,NA,PR,NE; MN; Tward; NRSA,BU,MN; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,APSECTROTANYPUS,NA,,,,,,,,,,6
AQUARIUS,Genus,FALSE,4,4_middle,PR,IA; MODNR; MN; Tward; NRSA,SK,MODNR; OK; MN; Tward; NRSA,multi,Tward,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,,AQUARIUS,5,,,,,,,,,,99
AQUARIUS NEBULARIS,Species,FALSE,4,4_middle,PR,Tward; NRSA,SK,Tward; NRSA,multi,Tward,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,,AQUARIUS,5,,,,,,,,,,99
ARACHNIDA,Class,TRUE,,NA,"CG,PR",NE; OK,CB,NE,NA,,FALSE,ARTHROPODA,ARACHNIDA,,,,,,,NA,,,,,,,,,,
ARCHILESTES,Genus,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,ARCHILESTES,,,,,,,,,,,
ARCHILESTES GRANDIS,Species,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,ARCHILESTES,5,3,5,1,3,3,4,1,5,3.166666667,3
ARGIA,Genus,FALSE,4,4_worse,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,"CB,CN",NE; OK; MN; NRSA; Tward; MO,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA,6,2,4,2,3,3,3,2,4,2.833333333,6
ARGIA APICALIS,Species,FALSE,4,4_worse,PR,IA; MN; Tward; NRSA,"CB,CN",MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA,6,3,4,2,3,3,3,2,4,3,6
ARGIA BIPUNCTULATA,Species,FALSE,4,4_worse,PR,NE; OK; MN; Tward; NRSA,"CB,CN",MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA,6,1,4,1,3,3,3,1,4,2.5,6
ARGIA FUMIPENNIS,Species,FALSE,4,4_worse,PR,NE; OK; Tward; NRSA,"CB,CN",NE; NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA,,,,,,,,,,,
ARGIA FUMIPENNIS VIOLACEA,Species,FALSE,4,4_worse,PR,NE; OK; Tward; NRSA,"CB,CN",NE; NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA,6,,,,,,,,,,6
ARGIA MOESTA,Species,FALSE,4,4_worse,PR,IA; OK; MN; Tward; NRSA,"CB,CN",MN; NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ARGIA,6,3,4,3,3,3,4,3,4,3.333333333,6
ARGULUS,Genus,TRUE,,NA,NA,,NA,,NA,,FALSE,ARTHROPODA,MAXILLOPODA,,ARGULOIDA,ARGULIDAE,,,ARGULUS,NA,,,,,,,,,,99
ARIGOMPHUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,BU,IA; NE; MODNR; OK; MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS,5,2,2,1,3,3,5,1,5,2.666666667,4
ARIGOMPHUS LENTULUS,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,BU,Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS,5,2,2,1,3,3,5,1,5,2.666666667,4
ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,Species,FALSE,4,4_middle,PR,NRSA based on genus,BU,Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS,5,,,,,,,,,,
ARIGOMPHUS SUBMEDIANUS,Species,FALSE,4,4_middle,PR,OK; MN; Tward; NRSA,BU,MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,ARIGOMPHUS,5,2,2,1,3,3,5,1,5,2.666666667,4
ASELLIDAE,Family,FALSE,4,4_middle,CG,IA; OK; MN,SP,NE; OK; MN,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,ISOPODA,ASELLIDAE,,,,5,,,,,,,,,,
ASELLUS,Genus,FALSE,4,4_middle,CG,OK; MN; NRSA,SP,NE; OK; MN; NRSA,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,ISOPODA,ASELLIDAE,,,ASELLUS,5,,,,,,,,,,6
ATHERIX,Genus,FALSE,4,4_better,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,ATHERICIDAE,,,ATHERIX,4,2,4,3,3,3,2,2,4,2.833333333,10
ATRICHOPOGON,Genus,FALSE,4,4_middle,"CG,PR",IA; NE; OK; MN; Tward; NRSA,"CN,SP",NRSA; MN; OK; Tward,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,ATRICHOPOGON,5,3,3,2,3,2,2,2,3,2.5,10
ATTANEURIA,Genus,FALSE,3,,PR,IA; MODNR; MN; Tward; NRSA,"CN,SW",MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ATTANEURIA,,,,,,,,,,,
ATTANEURIA RURALIS,Species,FALSE,3,,PR,IA; MODNR; MN; Tward; NRSA,"CN,SW",MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ATTANEURIA,2,1,2,1,1,3,2,1,3,1.666666667,2
AULODRILUS PLURISETA,Species,FALSE,4,4_middle,CG,NE; NRSA,"BU,SP",MN; NRSA; NE,NA,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,AULODRILUS,5,,,,,,,,,,10
AXARUS,Genus,FALSE,4,4_better,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,AXARUS,5,3,3,1,3,3,4,1,4,2.833333333,6
BACTRURUS,Genus,FALSE,,NA,CG,MODNR; OK,NA,,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,CRANGONYCTIDAE,,,BACTRURUS,NA,,,,,,,,,,4
BAETIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,SW,MODNR; OK; MN,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,,5,2,0,2,0,3,3,0,3,1.666666667,
BAETIS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"SW,CN",IA; MODNR; OK; MN; Tward,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,BAETIS,5,2,0,2,0,3,3,0,3,1.666666667,4
BAETIS INTERCALARIS,Species,FALSE,4,4_middle,CG,IA; NE; OK; MN; Tward; NRSA,"SW,CN",NRSA; Tward,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,BAETIS,5,3,0,3,0,4,3,0,4,2.166666667,4
BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,Genus,FALSE,4,4_middle,CG,NRSA based on Baetis,"SW,CN",NRSA; Tward,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,5,,,,,,,,,,
BASIAESCHNA,Genus,FALSE,4,4_better,PR,IA; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; MN; Tward; NRSA; MO,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BASIAESCHNA,,,,,,,,,,,
BASIAESCHNA JANATA,Species,FALSE,4,4_better,PR,IA; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; MN; Tward; NRSA; MO,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BASIAESCHNA,4,2,4,1,3,3,2,1,4,2.5,4
BELOSTOMA,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,OK; MN; Tward; NRSA,"multi,uni",Tward,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,,BELOSTOMA,7,3,4,3,3,3,3,3,4,3.166666667,99
BELOSTOMATIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,CB,OK; MN,multi,NRSA,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,,,7,2,4,2,3,3,3,2,4,2.833333333,
BEROSUS,Genus,FALSE,4,4_middle,"PH,CG",IA; MODNR; OK; NRSA; Tward; MN,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,BEROSUS,5,3,4,3,3,3,3,3,4,3.166666667,99
BEZZIA/PALPOMYIA,Genus,FALSE,4,4_middle,PR,IA; MN,SP,OK; MN,NA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,BEZZIA,5,3,3,3,3,3,4,3,4,3.166666667,10
BIVALVIA,Class,FALSE,,NA,CF,IA; OK; MN,BU,OK,NA,,FALSE,MOLLUSCA,BIVALVIA,,,,,,,NA,,,,,,,,,,
BOYERIA,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BOYERIA,5,1,4,1,3,3,4,1,4,2.666666667,4
BOYERIA VINOSA,Species,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,"CB,CN",IA; NE; MN; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,BOYERIA,5,1,4,1,3,3,4,1,4,2.666666667,4
BRACHYCENTRUS,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; MN; Tward; NRSA,CN,OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,BRACHYCENTRIDAE,,,BRACHYCENTRUS,5,1,3,2,2,3,4,1,4,2.5,4
BRACHYCENTRUS NUMEROSUS,Species,FALSE,4,4_middle,CF,IA; NE; MODNR; MN; Tward; NRSA,CN,MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,BRACHYCENTRIDAE,,,BRACHYCENTRUS,5,1,3,2,2,3,4,1,4,2.5,4
BRACHYCERCUS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,BRACHYCERCUS,5,2,1,3,1,3,3,1,3,2.166666667,4
BRANCHIOBDELLIDAE,Family,TRUE,4,4_middle,CG,NRSA,CB,NRSA,NA,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,,,5,,,,,,,,,,
BRANCHIURA SOWERBYI,Species,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; NRSA,CB,NRSA,NA,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,BRANCHIURA,5,,,,,,,,,,10
BRATISLAVIA,Genus,FALSE,4,4_middle,CG,NE; OK; MN; NRSA,"BU,CN",OK; MN; NRSA; NE,NA,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,BRATISLAVIA,5,,,,,,,,,,10
BRECHMORHOGA,Genus,FALSE,,NA,PR,OK; Tward; NRSA,CN,NRSA,"semi,uni",Tward,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,BRECHMORHOGA,,,,,,,,,,,
BRECHMORHOGA MENDAX,Species,FALSE,,NA,PR,OK; Tward; NRSA,CN,NRSA,"semi,uni",Tward,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,BRECHMORHOGA,NA,,,,,,,,,,4
BRILLIA,Genus,FALSE,4,4_middle,SH,NE; MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,"multi,uni",Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,BRILLIA,5,1,3,0,2,1,2,0,3,1.5,6
BUENOA,Genus,FALSE,,NA,PR,MODNR; MN; Tward; NRSA,SW,MODNR; OK; MN; Tward; NRSA,"multi,uni",NRSA,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,NOTONECTIDAE,,,BUENOA,NA,3,4,3,3,4,3,3,4,3.333333333,99
BUENOA MARGARITACEA,Species,FALSE,,NA,PR,MN; Tward; NRSA,SW,MN; Tward; NRSA,"multi,uni",NRSA,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,NOTONECTIDAE,,,BUENOA,NA,4,4,3,3,4,3,3,4,3.5,99
CAECIDOTEA,Genus,FALSE,4,4_middle,CG,IA; MODNR; OK; MN; NRSA,SP,OK; MN; NRSA,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,ISOPODA,ASELLIDAE,,,CAECIDOTEA,6,,,,,,,,,,6
CAENIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN,SP,NE; OK; MN,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,,5,3,0,3,0,3,3,0,3,2,
CAENIS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,IA; NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,CAENIS,5,3,0,2,0,3,3,0,3,1.833333333,4
CALLIBAETIS,Genus,FALSE,4,4_worse,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward;,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,CALLIBAETIS,6,3,1,3,1,4,2,1,4,2.333333333,4
CALLICORIXA,Genus,FALSE,,NA,PR,NE; MN; Tward,SW,NE; MN; Tward,NA,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,CALLICORIXA,NA,4,4,3,3,4,3,3,4,3.5,99
